distribution_id,database_asset_id,database_name,database_release,distribution_package,schema_profile,schema_version,access_route,access_category,licence_rights,registration,fee,compatible_software,software_version,direction,claimed_tested_status,evidence_url,evidence_as_of,known_constraint_next_test,schema_profile_original,schema_profile_class,schema_profile_alignment_method
DST-0043,LCA-DB-0021,INIES Database,Continuously updated online database,Digitised-data webservice,INIES digital exchange,Webservice established 2013,https://www.inies.fr/en/accueil/,Public/free access; licence or redistribution unclear or mixed,Database terms and declaration-programme rules; Redistribution: Not publicly confirmed,Not publicly confirmed,No fee stated for at least one access route,Building-LCA software subscribed to INIES,Not publicly confirmed,Database to consumer software/tool,Official licensed webservice; schema details not fully public,https://www.inies.fr/en/the-digitised-data-webservice/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",INIES predefined digital webservice; XML/CSV exchanges are documented,INIES,Curated synonym alignment
DST-0044,LCA-DB-0022,PlasticsEurope Eco-profiles,Product-specific packages; methodology version 3.1; selected profiles updated 2026-03,Product-specific eco-profile packages,Report plus datasets in several provider formats,Package-specific,https://plasticseurope.org/sustainability/circularity/life-cycle-thinking/eco-profiles-set/,Public/free access; licence or redistribution unclear or mixed,Package-specific terms not fully confirmed; Redistribution: Not publicly confirmed at collection level,Not required for current public packages,No fee stated for current public packages,General LCA tools; exact package software varies,Not publicly confirmed,Database to consumer software/tool,Official public packages; file schemas must be captured per package,https://plasticseurope.org/sustainability/circularity/life-cycle-thinking/eco-profiles-set/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",Report plus datasets in several provider formats,Document / repository package,Original label retained; curated class assigned
DST-0045,LCA-DB-0022,PlasticsEurope Eco-profiles,Product-specific packages; methodology version 3.1; selected profiles updated 2026-03,Aggregated commercial-library copies,SimaPro/GaBi proprietary libraries; some ecoinvent processes,Database-specific,https://plasticseurope.org/sustainability/circularity/life-cycle-thinking/eco-profiles-set/,Public/free access; licence or redistribution unclear or mixed,Package-specific terms not fully confirmed; Redistribution: Not publicly confirmed at collection level,Not required for current public packages,No fee stated for current public packages,SimaPro; Sphera/GaBi; ecoinvent consumers,Not publicly confirmed,Database to consumer software/tool,Provider-stated secondary availability,https://plasticseurope.org/sustainability/circularity/life-cycle-thinking/eco-profiles-set/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",SimaPro/GaBi proprietary libraries; some ecoinvent processes,ecoSpold family,Original label retained; curated class assigned
DST-0046,LCA-DB-0023,worldsteel Life Cycle Inventory Database,2024 LCI dataset (released 2026-05),Public steel eco-profiles,PDF,2026 release using 2024 data,https://worldsteel.org/wider-sustainability/life-cycle-thinking/life-cycle-inventory-data-and-eco-profiles/,Request/membership-mediated,worldsteel LCI data usage agreement; Redistribution: Full inventories may not be posted publicly or communicated externally without worldsteel agreement,Request form required for full LCI datasets,No fee stated; use agreement applies,PDF reader,Not publicly confirmed,Database to consumer software/tool,Official public summaries,https://worldsteel.org/wider-sustainability/life-cycle-thinking/life-cycle-inventory-data-and-eco-profiles/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",PDF,Document / repository package,Original label retained; curated class assigned
DST-0047,LCA-DB-0023,worldsteel Life Cycle Inventory Database,2024 LCI dataset (released 2026-05),Full steel LCI datasets,Not publicly confirmed,Not publicly confirmed,https://worldsteel.org/wider-sustainability/life-cycle-thinking/lca-lciform/,Request/membership-mediated,worldsteel LCI data usage agreement; Redistribution: Full inventories may not be posted publicly or communicated externally without worldsteel agreement,Request form required for full LCI datasets,No fee stated; use agreement applies,LCA software not publicly specified,Not publicly confirmed,Database to consumer software/tool,Official request route; file format not public,https://worldsteel.org/wider-sustainability/life-cycle-thinking/lca-lciform/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",Not publicly confirmed,Unconfirmed,Curated canonical label
DST-0048,LCA-DB-0024,openIO-Canada,OpenIO v2.11,OpenIO-Canada model generator and outputs,Python model objects / tabular matrices,OpenIO-Canada 2.11.1,https://ciraig.org/index.php/project/open-io-canada/,Open licence confirmed for at least one official distribution,CC BY-SA 4.0; Redistribution: Permitted under CC BY-SA 4.0,Not required,No fee,Python,3.9 recommended,Database to consumer software/tool,Official repository; code-generated database,https://github.com/CIRAIG/OpenIO-Canada,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",Python model objects / tabular matrices,Tabular / matrix,Original label retained; curated class assigned
DST-0049,LCA-DB-0025,Product Social Impact Life Cycle Assessment Database,v4.0.1,PSILCA v4.0.1 openLCA variants,openLCA database package,v4.0.1,https://nexus.openlca.org/ws/dataproviders/9552,Commercial/proprietary,Commercial licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,openLCA,Current openLCA version stated by provider,Database to consumer software/tool,Provider-listed zolca and openLCA library packages; not independently tested,https://nexus.openlca.org/ws/dataproviders/9552,2026-08-25,Retain as an explicit public-information gap; do not infer a format from a web interface or software marketing claim.,openLCA database package,openLCA family,Curated canonical label
DST-0050,LCA-DB-0026,Social Hotspots Database,v6 (2025 update),Social Hotspots Database 2025 system- and unit-process packages,openLCA database package,v6 / 2025 update,https://nexus.openlca.org/ws/dataproviders/151,Commercial/proprietary,Commercial licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,openLCA,2.5 onwards for the latest database,Database to consumer software/tool,Provider-listed zolca/library packages; not independently tested,https://nexus.openlca.org/ws/dataproviders/151,2026-08-25,Retain as an explicit public-information gap; do not infer a format from a web interface or software marketing claim.,openLCA database package,openLCA family,Curated canonical label
DST-0051,LCA-DB-0027,BONSAI Database,2.1.5,Footprint data,CSV,BONSAI 2.1.5,https://www.bonsai.uno/download,Open licence confirmed for at least one official distribution,CC BY 4.0 stated for footprint data; other distributions require file-level confirmation; Redistribution: Permitted for the CC BY 4.0 footprint distribution; other package rights require confirmation,Required for large data-file downloads,No fee stated,Spreadsheet/statistical software,Not publicly confirmed,Database to consumer software/tool,Provider download page; account required for large file,https://www.bonsai.uno/download,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",CSV,Tabular / matrix,Original label retained; curated class assigned
DST-0052,LCA-DB-0027,BONSAI Database,2.1.5,Recipe data,CSV,BONSAI 2.1.5,https://www.bonsai.uno/download,Open licence confirmed for at least one official distribution,CC BY 4.0 stated for footprint data; other distributions require file-level confirmation; Redistribution: Permitted for the CC BY 4.0 footprint distribution; other package rights require confirmation,Required for large data-file downloads,No fee stated,Spreadsheet/statistical software,Not publicly confirmed,Database to consumer software/tool,Provider download page; account required for large file,https://www.bonsai.uno/download,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",CSV,Tabular / matrix,Original label retained; curated class assigned
DST-0053,LCA-DB-0027,BONSAI Database,2.1.5,SimaPro export,SimaPro library / exchange,Introduced in BONSAI 2.1.1,https://www.bonsai.uno/download,Open licence confirmed for at least one official distribution,CC BY 4.0 stated for footprint data; other distributions require file-level confirmation; Redistribution: Permitted for the CC BY 4.0 footprint distribution; other package rights require confirmation,Required for large data-file downloads,No fee stated,SimaPro,Not publicly confirmed,Database to consumer software/tool,Provider release note; not independently tested,https://www.bonsai.uno/download,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",SimaPro exchange output,SimaPro family,Curated synonym alignment
DST-0054,LCA-DB-0028,European Commission Environmental Footprint Data Node,EF 3.1 and retained EF 2.0 data stocks,Environmental Footprint data packages,Environmental Footprint ILCD profile,EF 3.1 and retained EF 2.0,https://eplca.jrc.ec.europa.eu/EF-node/index.xhtml,Public/free access; licence or redistribution unclear or mixed,Dataset-level ownership and use restrictions recorded in ILCD metadata; Redistribution: Not publicly confirmed,Not required for stated public access,No fee stated for at least one access route,ILCD/EF-profile-capable LCA software,Not publicly confirmed,Database to consumer software/tool,Official public node packages,https://eplca.jrc.ec.europa.eu/EF-node/index.xhtml,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",ILCD XML in ZIP; EF profile,Environmental Footprint,Curated synonym alignment
DST-0055,LCA-DB-0029,ICE Database Educational,5.0,ICE Database Educational v5,Spreadsheet/PDF educational resource; machine-readable tab removed,5.0,https://circularecology.com/embodied-carbon-footprint-database.html,"Free access with registration, use restrictions, or third-party dependency","ICE Database Educational v5.0 terms; educational-only, no commercial/professional use; Redistribution: External redistribution prohibited; users must link to the official download page",Form/email confirmation required,No fee for educational download,Spreadsheet/PDF tools,Not publicly confirmed,Database to consumer software/tool,Provider-stated format limitation,https://circularecology.com/embodied-carbon-footprint-database.html,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",Spreadsheet/PDF educational resource; machine-readable tab removed,Tabular / matrix,Original label retained; curated class assigned
DST-0056,LCA-DB-0030,ESU World Food LCA Database,v3,EcoSpold v1 distribution,ecoSpold 1,v3 provider family; synchronization with Nexus package not independently tested,https://esu-services.ch/data/fooddata/,Commercial/proprietary,Commercial ESU licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,EcoSpold v1-capable LCA software,Not publicly confirmed,Database to consumer software/tool,Provider-documented format,https://esu-services.ch/fileadmin/download/tender/ESU-background-databases.pdf | https://nexus.openlca.org/ws/dataproviders/8904,2026-08-25,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",EcoSpold v1 XML,ecoSpold family,Curated synonym alignment
DST-0057,LCA-DB-0030,ESU World Food LCA Database,v3,SimaPro library,SimaPro library / exchange,v3 provider family; synchronization with Nexus package not independently tested,https://esu-services.ch/data/fooddata/,Commercial/proprietary,Commercial ESU licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,SimaPro,Not publicly confirmed,Database to consumer software/tool,Provider-documented format,https://esu-services.ch/fileadmin/download/tender/ESU-background-databases.pdf | https://nexus.openlca.org/ws/dataproviders/8904,2026-08-25,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",SimaPro proprietary library/exchange,SimaPro family,Curated synonym alignment
DST-0058,LCA-DB-0030,ESU World Food LCA Database,v3,Other format delivery,Format on request,Not publicly confirmed,https://esu-services.ch/data/fooddata/,Commercial/proprietary,Commercial ESU licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,Software-specific on request,Not publicly confirmed,Database to consumer software/tool,Provider request route; exact format not public,https://esu-services.ch/data/fooddata/ | https://nexus.openlca.org/ws/dataproviders/8904,2026-08-25,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",Format on request,Unconfirmed,Original label retained; curated class assigned
DST-0059,LCA-DB-0031,Carbonfact Open Source LCA Database for Footwear & Apparel,First public release,Open apparel/footwear impact dataset,CSV,First public release,https://www.carbonfact.com/database,Open licence confirmed for at least one official distribution,CC BY-SA 4.0; Redistribution: Permitted under CC BY-SA 4.0 with attribution/share-alike,Not required,No fee,Spreadsheet/statistical software,Not publicly confirmed,Database to consumer software/tool,Official public CSV; no background inventories,https://zenodo.org/records/21102756,2026-08-22,"Future EcoSpold/openLCA/SimaPro/Brightway support is exploratory, not current compatibility.",CSV,Tabular / matrix,Original label retained; curated class assigned
DST-0060,LCA-DB-0032,CEPE Life Cycle Inventory Database,Second version; no dated release identifier on the public project page,GaBi/Sphera package,Sphera / GaBi proprietary model,Second CEPE version,https://cepe.org/sustainability/lci-project/,Request/membership-mediated,"Membership, valid ecoinvent licence and NDA conditions; Redistribution: Not publicly confirmed",Not publicly confirmed,Not publicly confirmed,Sphera/GaBi,Not publicly confirmed,Database to consumer software/tool,Provider-stated package,https://cepe.org/sustainability/how-to-access-the-database/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",GaBi proprietary database format,Sphera / GaBi family,Curated synonym alignment
DST-0061,LCA-DB-0032,CEPE Life Cycle Inventory Database,Second version; no dated release identifier on the public project page,SimaPro package,SimaPro library / exchange,Second CEPE version,https://cepe.org/sustainability/lci-project/,Request/membership-mediated,"Membership, valid ecoinvent licence and NDA conditions; Redistribution: Not publicly confirmed",Not publicly confirmed,Not publicly confirmed,SimaPro,Not publicly confirmed,Database to consumer software/tool,Provider-stated package,https://cepe.org/sustainability/how-to-access-the-database/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",SimaPro proprietary library/exchange,SimaPro family,Curated synonym alignment
DST-0062,LCA-DB-0032,CEPE Life Cycle Inventory Database,Second version; no dated release identifier on the public project page,Excel package,Excel workbook (XLSX),Second CEPE version,https://cepe.org/sustainability/lci-project/,Request/membership-mediated,"Membership, valid ecoinvent licence and NDA conditions; Redistribution: Not publicly confirmed",Not publicly confirmed,Not publicly confirmed,Spreadsheet/statistical software,Not publicly confirmed,Database to consumer software/tool,Provider-stated package,https://cepe.org/sustainability/how-to-access-the-database/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",XLSX,Tabular / matrix,Curated synonym alignment
DST-0063,LCA-DB-0033,Open CEDA,CEDA 2025,Open CEDA workbook,Excel workbook (XLSX),CEDA 2025,https://openceda.org/,Open licence confirmed for at least one official distribution,CC BY-SA; Redistribution: Permitted under CC BY-SA with attribution/share-alike,Required or account-gated,No fee stated for at least one access route,Spreadsheet/statistical software,Not publicly confirmed,Database to consumer software/tool,Official open workbook,https://registry.opendata.aws/open-ceda/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",XLSX,Tabular / matrix,Curated synonym alignment
DST-0064,LCA-DB-0034,NEEDS Life Cycle Inventory Database,openLCA conversion version 2 documented in 2017,Original NEEDS processes,ecoSpold 1,Original project release,https://nexus.openlca.org/database/NEEDS,"Free access with registration, use restrictions, or third-party dependency",Not publicly confirmed on the accessible documentation; Redistribution: Not publicly confirmed,Required or account-gated,No fee stated for at least one access route,EcoSpold 1-capable LCA software,Not publicly confirmed,Database to consumer software/tool,Historical project format,https://nexus.openlca.org/ws/files/9971,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",EcoSpold 1 XML,ecoSpold family,Curated synonym alignment
DST-0065,LCA-DB-0034,NEEDS Life Cycle Inventory Database,openLCA conversion version 2 documented in 2017,openLCA database package,openLCA database package,openLCA conversion v2,https://nexus.openlca.org/database/NEEDS,"Free access with registration, use restrictions, or third-party dependency",Not publicly confirmed on the accessible documentation; Redistribution: Not publicly confirmed,Required or account-gated,No fee stated for at least one access route,openLCA,Not publicly confirmed,Database to consumer software/tool,Provider conversion package; account route,https://nexus.openlca.org/database/NEEDS,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",ZOLCA,openLCA family,Curated synonym alignment
DST-0066,LCA-DB-0034,NEEDS Life Cycle Inventory Database,openLCA conversion version 2 documented in 2017,openLCA exchange package,openLCA JSON-LD,openLCA conversion v2,https://nexus.openlca.org/database/NEEDS,"Free access with registration, use restrictions, or third-party dependency",Not publicly confirmed on the accessible documentation; Redistribution: Not publicly confirmed,Required or account-gated,No fee stated for at least one access route,openLCA,Not publicly confirmed,Database to consumer software/tool,Provider conversion workflow; exact public file route not verified,https://nexus.openlca.org/ws/files/9971,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",openLCA schema / JSON-LD,openLCA family,Curated synonym alignment
DST-0067,LCA-DB-0035,BATTERS Battery Recycling Inventory Database,January 2026 analysis release,LCA for Experts package,Software-specific proprietary package,January 2026,https://www.batters.fr/en/battery-recycling-inventory/,Commercial/proprietary,Commercial purchase/licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,LCA for Experts,Not publicly confirmed,Database to consumer software/tool,Provider-stated compatibility,https://www.batters.fr/en/battery-recycling-inventory/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",Software-specific proprietary package,Software-native / proprietary,Original label retained; curated class assigned
DST-0068,LCA-DB-0035,BATTERS Battery Recycling Inventory Database,January 2026 analysis release,SimaPro package,SimaPro library / exchange,January 2026,https://www.batters.fr/en/battery-recycling-inventory/,Commercial/proprietary,Commercial purchase/licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,SimaPro,Not publicly confirmed,Database to consumer software/tool,Provider-stated compatibility,https://www.batters.fr/en/battery-recycling-inventory/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",SimaPro proprietary library/exchange,SimaPro family,Curated synonym alignment
DST-0069,LCA-DB-0035,BATTERS Battery Recycling Inventory Database,January 2026 analysis release,openLCA package,openLCA database package,January 2026,https://www.batters.fr/en/battery-recycling-inventory/,Commercial/proprietary,Commercial purchase/licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,openLCA,Not publicly confirmed,Database to consumer software/tool,Provider-stated compatibility,https://www.batters.fr/en/battery-recycling-inventory/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",openLCA database package,openLCA family,Curated canonical label
DST-0070,LCA-DB-0036,BioEnergieDat,ILCD dataset versions commonly 01.00.000,BioEnergieDat download package,ILCD,Dataset-specific 01.00.000 family,https://www.bioenergiedat.de/software.html,Public/free access; licence or redistribution unclear or mixed,Dataset pages state copyright/owner fields; collection-level licence incomplete; Redistribution: Not publicly confirmed,Not required for stated public access,No fee stated for at least one access route,openLCA and other ILCD-capable tools,Not publicly confirmed,Database to consumer software/tool,Official format and openLCA instruction,https://bioenergiedat.de/documents/10156/24192/anleitung-openLCA.pdf,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",ILCD XML in ZIP,ILCD family,Curated synonym alignment
DST-0071,LCA-DB-0036,BioEnergieDat,ILCD dataset versions commonly 01.00.000,BioEnergieDat network service,ILCD network service,Not publicly confirmed,https://www.bioenergiedat.de/software.html,Public/free access; licence or redistribution unclear or mixed,Dataset pages state copyright/owner fields; collection-level licence incomplete; Redistribution: Not publicly confirmed,Not required for stated public access,No fee stated for at least one access route,ILCD network clients,Not publicly confirmed,Database to consumer software/tool,Historical official network route,https://www.bioenergiedat.de/software.html,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",ILCD network service,ILCD family,Original label retained; curated class assigned
DST-0072,LCA-DB-0037,CPM LCA Database,Legacy live database,CPM native database view,SPINE,Legacy live database,https://cpmdatabase.cpm.chalmers.se/AboutDatabase.htm,"Free access with registration, use restrictions, or third-party dependency",Open/free under CPM licence agreement; Redistribution: Not publicly confirmed,Not required for stated public access,No fee stated for at least one access route,SPINE-capable tools,Not publicly confirmed,Database to consumer software/tool,Official database view,https://cpmdatabase.cpm.chalmers.se/AboutDatabase.htm,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",SPINE,SPINE,Curated canonical label
DST-0073,LCA-DB-0037,CPM LCA Database,Legacy live database,ISO/ILCD-oriented view/export,ISO/TS 14048-compatible / ILCD,Legacy live database,https://cpmdatabase.cpm.chalmers.se/AboutDatabase.htm,"Free access with registration, use restrictions, or third-party dependency",Open/free under CPM licence agreement; Redistribution: Not publicly confirmed,Not required for stated public access,No fee stated for at least one access route,ILCD-capable tools,Not publicly confirmed,Database to consumer software/tool,Official database view; exact profile not fixed,https://cpmdatabase.cpm.chalmers.se/AboutDatabase.htm,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",ISO/TS 14048-compatible / ILCD,ILCD family,Original label retained; curated class assigned
DST-0074,LCA-DB-0037,CPM LCA Database,Legacy live database,IA98 view/export,IA98,Legacy live database,https://cpmdatabase.cpm.chalmers.se/AboutDatabase.htm,"Free access with registration, use restrictions, or third-party dependency",Open/free under CPM licence agreement; Redistribution: Not publicly confirmed,Not required for stated public access,No fee stated for at least one access route,IA98-capable tools,Not publicly confirmed,Database to consumer software/tool,Official legacy view,https://cpmdatabase.cpm.chalmers.se/AboutDatabase.htm,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",IA98,IA98,Curated canonical label
DST-0075,LCA-DB-0038,ERASM Surfactant Life Cycle and Ecofootprinting Inventory,2017 SLE release,Surfactant LCI node distribution,ILCD / soda4LCA package,2017 SLE release,https://www.erasm.org/erasm-research/manufacturing/rawmaterial-sourcing/life-cycle-ecofootprinting-sle/,Public/free access; licence or redistribution unclear or mixed,Open publications; dataset-level use terms require confirmation; Redistribution: Not publicly confirmed,Not required for stated public access,No fee stated for at least one access route,ILCD-capable tools,Not publicly confirmed,Database to consumer software/tool,Formal project documentation; former node status,https://www.erasm.org/wp-content/uploads/2017/08/170727-SLE-Summary-Paper-IJLCA-1.pdf,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",ILCD-style node/package,ILCD family,Curated synonym alignment
DST-0076,LCA-DB-0038,ERASM Surfactant Life Cycle and Ecofootprinting Inventory,2017 SLE release,Public inventory fact sheets,PDF,2017 SLE release,https://www.erasm.org/erasm-research/manufacturing/rawmaterial-sourcing/life-cycle-ecofootprinting-sle/,Public/free access; licence or redistribution unclear or mixed,Open publications; dataset-level use terms require confirmation; Redistribution: Not publicly confirmed,Not required for stated public access,No fee stated for at least one access route,PDF reader,Not publicly confirmed,Database to consumer software/tool,Public summary material,https://specialty-chemicals.eu/erasm/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",PDF,Document / repository package,Original label retained; curated class assigned
DST-0077,LCA-DB-0039,CODDE Database,2026-04,CODDE native database,EIME database model,2026-04,https://codde.fr/evenement/eime-nouvelle-base-codde-2026-04,Commercial/proprietary,Commercial EIME licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,EIME,v6/current product family,Database to consumer software/tool,Provider-native compatibility,https://codde.fr/evenement/eime-nouvelle-base-codde-2026-04,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",EIME proprietary database model,EIME,Curated synonym alignment
DST-0078,LCA-DB-0040,IDEMAT Database,Idemat 2026RevB1,Idemat Excel database,Excel workbook (XLSX),2026RevB1,https://www.ecocostsvalue.com/data-tools-books/,"Free access with registration, use restrictions, or third-party dependency",CC BY-NC stated for the Excel database; software/package-specific and ecoinvent terms may apply; Redistribution: Non-commercial licence restrictions apply,Not publicly confirmed,No fee for identified academic download; commercial use restricted,Spreadsheet software,Not publicly confirmed,Database to consumer software/tool,Official academic/non-commercial download,https://www.ecocostsvalue.com/EVR/download.html,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",XLSX,Tabular / matrix,Curated synonym alignment
DST-0079,LCA-DB-0040,IDEMAT Database,Idemat 2026RevB1,Idemat SimaPro import,SimaPro library / exchange,2026RevB1,https://www.ecocostsvalue.com/data-tools-books/,"Free access with registration, use restrictions, or third-party dependency",CC BY-NC stated for the Excel database; software/package-specific and ecoinvent terms may apply; Redistribution: Non-commercial licence restrictions apply,Not publicly confirmed,No fee for identified academic download; commercial use restricted,SimaPro,Not publicly confirmed,Database to consumer software/tool,Provider-stated package,https://www.ecocostsvalue.com/EVR/download.html,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",SimaPro exchange,SimaPro family,Curated synonym alignment
DST-0080,LCA-DB-0040,IDEMAT Database,Idemat 2026RevB1,Idemat openLCA package,openLCA database package,2026RevB1,https://www.ecocostsvalue.com/data-tools-books/,"Free access with registration, use restrictions, or third-party dependency",CC BY-NC stated for the Excel database; software/package-specific and ecoinvent terms may apply; Redistribution: Non-commercial licence restrictions apply,Not publicly confirmed,No fee for identified academic download; commercial use restricted,openLCA,Not publicly confirmed,Database to consumer software/tool,Provider-stated package,https://www.ecocostsvalue.com/EVR/download.html,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",openLCA database package,openLCA family,Curated canonical label
DST-0081,LCA-DB-0041,POLARIIS+,2026 infrastructure release,POLARIIS+ public dataset packages,Zenodo repository package; internal schema not confirmed,2026 infrastructure release,https://ciraig.org/index.php/project/polariis-en/,Public/free access; licence or redistribution unclear or mixed,Dataset-level Zenodo licences; infrastructure terms not fully stated; Redistribution: Not publicly confirmed,Not publicly confirmed,No fee stated for at least one access route,General data-analysis tools,Not publicly confirmed,Database to consumer software/tool,Public repository identified; file-level schema capture pending,https://ciraig.org/index.php/project/polariis-en/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",Zenodo repository package; internal schema not confirmed,Unconfirmed,Original label retained; curated class assigned
DST-0082,LCA-DB-0042,Evah Pigments and Dyes LCI Databases,Current database family; historical Pigments release plus continuing 2026 programme,Evah openLCA package,openLCA database package,Current family,https://evah.institute/services,Commercial/proprietary,Package-specific free/commercial licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,openLCA,Not publicly confirmed,Database to consumer software/tool,Provider-stated plug-in/package,https://evah.institute/services,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",openLCA database package,openLCA family,Curated canonical label
DST-0083,LCA-DB-0042,Evah Pigments and Dyes LCI Databases,Current database family; historical Pigments release plus continuing 2026 programme,Evah SimaPro package,SimaPro library / exchange,Current family,https://evah.institute/services,Commercial/proprietary,Package-specific free/commercial licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,SimaPro,Not publicly confirmed,Database to consumer software/tool,Provider-stated plug-in/package,https://evah.institute/services,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",SimaPro library/exchange,SimaPro family,Curated synonym alignment
DST-0084,LCA-DB-0042,Evah Pigments and Dyes LCI Databases,Current database family; historical Pigments release plus continuing 2026 programme,Evah LCADesign plug-in,LCADesign package,Current family,https://evah.institute/services,Commercial/proprietary,Package-specific free/commercial licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,LCADesign,Not publicly confirmed,Database to consumer software/tool,Provider-stated plug-in/package,https://evah.institute/services,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",LCADesign-specific package,LCADesign,Curated synonym alignment
DST-0085,LCA-DB-0043,EuGeos 15804-IA Database,v4.1; superseded by the openLCA EN15804 add-on,EuGeos 15804+A2_IA v4.1 openLCA database,openLCA database package,v4.1,https://nexus.openlca.org/ws/dataproviders/8251,Commercial/proprietary,Commercial/ecoinvent-dependent licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,openLCA,Legacy package; current compatibility not independently tested,Database to consumer software/tool,Historical provider package; maintenance superseded,https://nexus.openlca.org/ws/dataproviders/8251,2026-08-25,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",openLCA database package,openLCA family,Curated canonical label
DST-0086,LCA-DB-0044,DeforestationFootprint.earth dataset and dashboard,2.1,DeforestationFootprint public data archive,Zenodo dataset package,2.1,https://deforestationfootprint.earth/,Public/free access; licence or redistribution unclear or mixed,CC BY 4.0 for visualisations; dataset/code release licences apply; Redistribution: Not publicly confirmed,Not publicly confirmed,No fee stated for at least one access route,General data-analysis tools,Not publicly confirmed,Database to consumer software/tool,Official open-data package; file-level formats pending,https://deforestationfootprint.earth/about,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise.",Zenodo dataset package,Document / repository package,Original label retained; curated class assigned
