asset_id,official_name,alternative_name_acronym,asset_type,short_description,owner,operator_maintainer,official_url,geographic_coverage,sector_product_process_coverage,intended_users,main_use_cases,language,temporal_coverage,current_version,release_update_date,maintenance_status,access_model,licence_or_usage_rights,commercial_restricted_open_status,registration_requirement,governance_arrangement,long_term_stewardship_information,data_content_type,data_model_or_schema,exchange_format,api_or_machine_readable_interface,nomenclature_classification,identifiers,metadata_approach,versioning_mechanism,documentation_availability,qa_validation_approach,review_procedure,data_quality_documentation,methodological_basis,provenance_information,citation_mechanism,known_limitations,related_assets,relationship_type,evidence_for_relationship,import_export_compatibility,existing_mapping_or_conversion,potential_interoperability_opportunity,known_interoperability_constraint,primary_sources,supporting_sources,evidence_excerpt,access_date,confidence_level,unresolved_questions,public_evidence_status
LCA-SW-0019,EOS — Environmental Operating System,Eaternity EOS,Software / API / tool,Open-source Eaternity platform for reproducible modelling of environmental footprints of food systems.,Eaternity,Eaternity,https://eaternity.org/,Global food-system research with dataset-specific coverage,"Food ingredients, meals, diets and food systems","Scientists, researchers and food-system practitioners","Ingredient/meal LCA, food-system and diet comparison, policy research",English public documentation,Not publicly confirmed,Live platform with public changelog,Not publicly confirmed,Active,Public documentation and source-code link; commercial Eaternity products are separate,Open-source platform; exact repository licence to verify,Open source platform; related commercial services,No registration stated for public documentation/source; hosted functions may vary,Maintained by Eaternity alongside commercial food-impact products,Not publicly confirmed,"Food-system data, calculation models and documentation",Not publicly confirmed,Source repository and web documentation; exact exchange schema pending,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Public changelog and repository history,Public product or technical documentation,Provider states peer-reviewed LCA alignment and reproducibility; independent conformance not reviewed,Not publicly confirmed,Not publicly confirmed,"Life-cycle assessment of food ingredients, meals and diets",Not publicly confirmed,Not publicly confirmed,"Exact database scope, licence and stable release identifiers remain unclear",Eaternity Score; AGRIBALYSE; World Food LCA Database,calculation and sector data use,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Open food modelling can bridge research datasets and consumer-facing tools,Need dataset-level provenance and method-version capture,https://eaternity.org/,Not publicly confirmed,"Eaternity describes EOS as an open-source platform for reproducible LCA of ingredients, meals, food systems and diets, with public documentation and repository links.",2026-08-22,High,"Repository licence, version, data sources and API","Public metadata verified; no registration, login, purchase or restricted-content access used"
LCA-SW-0020,Matter PD,MatterPD,Software / API / tool,Cloud LCA software designed for environmental decision-making early in product development.,EarthShift Global,EarthShift Global,https://earthshiftglobal.com/matter-pd/,Global background data,Cross-sector product design,"Product designers, engineers, educators and sustainability practitioners","Hotspot identification, design comparison, scenario and uncertainty analysis",English public documentation,Not publicly confirmed,Live cloud application,Not publicly confirmed,Active,Public feature pages; 14-day account-based trial and paid subscriptions,Commercial EULA plus ecoinvent rights,Commercial / restricted,Account required; not used,Provider-maintained product,Not publicly confirmed,LCA modelling with ecoinvent cut-off inventory and multiple impact categories,Not publicly confirmed,Cloud project sharing; import/export not fully public,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Continuous cloud updates,Public product or technical documentation,Monte Carlo and underspecification functions; model/data QA not independently tested,Not publicly confirmed,Not publicly confirmed,"IPCC GWP, ReCiPe, CED and ecoinvent methods stated",Not publicly confirmed,Not publicly confirmed,Commercial/account access and embedded ecoinvent licence; simplified design workflow may not expose all modelling choices,ecoinvent; ReCiPe; IPCC GWP,background and method implementation,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Early-design uncertainty modelling can connect LCA evidence with engineering decisions,Closed platform and licensed background data,https://earthshiftglobal.com/matter-pd/,Not publicly confirmed,"EarthShift Global documents cloud product-design LCA with ecoinvent, multiple impact categories, Monte Carlo analysis and a paid account model.",2026-08-22,High,"Current version, export formats and independent validation","Public metadata verified; no registration, login, purchase or restricted-content access used"
LCA-SW-0021,PackageSmart,PackageSmart LCA,Software / API / tool,"Cloud LCA application for comparing packaging systems, materials, transport and end-of-life scenarios.",EarthShift Global,EarthShift Global,https://earthshiftglobal.com/packagesmart,International background data,"Primary, secondary and tertiary packaging","Packaging designers, engineers, managers and educators","Packaging comparison, scenario modelling, cube utilization and recycling analysis",English public documentation,Not publicly confirmed,Live cloud application,Not publicly confirmed,Active,Public product/tutorial pages; commercial account for use,Commercial EULA and embedded-data terms,Commercial / restricted,Account required; not used,Provider-maintained product,Not publicly confirmed,"Provider states more than 8,000 datasets with packaging-system models",Not publicly confirmed,Web application; public export schema not confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Continuously updated cloud application/data,Public product or technical documentation,Industry/academic testing described by provider; independent dataset audit not reviewed,Not publicly confirmed,Not publicly confirmed,Streamlined packaging LCA,Not publicly confirmed,Not publicly confirmed,Provider counts and verification claims not independently tested; closed data/model,PIQET; ecoinvent; packaging EPDs,peer sector software and background data use,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Common packaging parameters could support reusable comparison templates,"Proprietary data, calculations and account access",https://earthshiftglobal.com/packagesmart,Not publicly confirmed,"The provider describes a cloud packaging LCA tool with scenario/comparative analysis and more than 8,000 internationally verified datasets.",2026-08-22,High,"Current method/database versions, export rights and API","Public metadata verified; no registration, login, purchase or restricted-content access used"
LCA-SW-0022,PIQET,Packaging Impact Quick Evaluation Tool,Software / API / tool,Cloud packaging LCA tool for comparing design alternatives and environmental indicators.,The PIQET Consortium / Lifecycles and partners,PIQET service team,https://piqet.com/,Global applications with source-specific datasets,Packaging systems,"Packaging designers, companies and consultants","Packaging design comparison, hotspot analysis and environmental reporting",English public documentation,Not publicly confirmed,Live cloud service,Not publicly confirmed,Active,Public feature information; commercial licence/free trial requires account,Commercial licence; ecoinvent rights embedded,Commercial / restricted,Required for trial/use; not used,Consortium/provider-maintained service,Not publicly confirmed,Packaging LCA models using ecoinvent and continuously updated data,Not publicly confirmed,Web application; export details not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Continuous cloud updates,Public product or technical documentation,Provider methodology/support; independent current validation not reviewed,Not publicly confirmed,Not publicly confirmed,Life-cycle assessment of packaging systems,Not publicly confirmed,Not publicly confirmed,Closed calculation model and subscription data; current version identifier unclear,PackageSmart; ecoinvent,peer sector software; background dependency,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Sector comparison may inform packaging data templates,Commercial access and limited public schema detail,https://piqet.com/,Not publicly confirmed,PIQET's public site identifies a cloud packaging LCA service using ecoinvent and updated data to compare environmental impacts.,2026-08-22,High,"Owner governance, current version, indicators, export and API","Public metadata verified; no registration, login, purchase or restricted-content access used"
LCA-SW-0023,Real-Time LCA,RealTimeLCA,Software / API / tool,"Building-sector platform for measuring, documenting and reducing embodied and operational carbon.",Real-Time LCA,Real-Time LCA,https://docs.realtimelca.com/,Project-specific; international building use,Buildings and construction projects,"Design teams, project managers and building-carbon practitioners","Embodied/operational carbon projects, material libraries, dashboards and integrations",English public documentation,Not publicly confirmed,Live platform,Not publicly confirmed,Active,Public documentation; activated account required for platform use,Commercial/platform terms not fully public,Restricted hosted service; public docs,Required; not used,Provider-maintained platform,Not publicly confirmed,"Building projects, material/construction libraries and carbon results",Not publicly confirmed,Web application; integration-specific formats,Integrations documented at feature level,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Live documentation/product updates,Public product or technical documentation,Public documentation does not establish independent calculation conformance,Not publicly confirmed,Not publicly confirmed,Whole-life building carbon assessment,Not publicly confirmed,Not publicly confirmed,"Method/database versions, licence and exports are not fully described publicly",Speckle; EPD data; building LCA methods,integration and data use,Not publicly confirmed,Speckle connection documented,Not publicly confirmed,Live project integrations may improve traceability from design models,Account-gated calculations and incomplete public methodology,https://docs.realtimelca.com/,Not publicly confirmed,"Public documentation defines Real-Time LCA as a platform for embodied and operational carbon with projects, libraries and integrations.",2026-08-22,Medium,"Owner, calculation methods, databases, version, pricing and export/API","Public metadata verified; no registration, login, purchase or restricted-content access used"
LCA-SW-0024,VoLCA,Volca; VoLCA engine,Software / API / tool,"LCA engine and applications for importing, inspecting, calculating, converting and integrating environmental databases.",VoLCA project,VoLCA maintainers,https://www.volca.run/,Global technical scope,Cross-sector LCI databases and LCIA calculations,"LCA practitioners, developers, data curators and AI/application integrators","Database inspection, LCIA, conversion, APIs, notebooks and agent workflows",English public documentation,Not publicly confirmed,Current web/desktop/open-source release family,Not publicly confirmed,Active,"Browser, desktop, self-hosted, API, Python, CLI and MCP options; public source link",Open-source engine; hosted-service terms apply,Open-source engine with hosted services,Not required for source/docs; hosted login optional,Maintainer-led open-source project,Not publicly confirmed,Calculation and conversion engine plus hosted database interfaces,Not publicly confirmed,"EcoSpold 1/2, SimaPro CSV, ILCD and Brightway Excel","HTTP API, Python, CLI and MCP",Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Source releases and product updates,Public product or technical documentation,"Publishes checksums, structural checks and numerical comparison examples",Not publicly confirmed,Not publicly confirmed,LCI graph calculation and LCIA,Not publicly confirmed,Not publicly confirmed,New project; independent conformance and long-term governance remain to be assessed,openLCA; Lavoisier; Brightway; ILCD; ecoSpold,format conversion and calculation,Not publicly confirmed,Bidirectional imports/exports across listed formats,Not publicly confirmed,One inspectable engine can provide a cross-format calculation layer,Format semantics and database licences remain external,https://www.volca.run/,Not publicly confirmed,"VoLCA publicly documents imports, LCIA, checked exports and browser/desktop/self-host/API/Python/CLI/MCP access with an open-source engine.",2026-08-22,High,"Stable version, software licence, governance and independent test suite","Public metadata verified; no registration, login, purchase or restricted-content access used"
LCA-SW-0025,Capillar Sustainable Cloud,lcaPillar; Capillar Cloud; Capillar-LCA,Software / API / tool,"Chinese cloud platform for product LCA, PCF, EPD, data collection, modelling, analysis and reporting.",Hangzhou Qinglvlan Environmental Digital Technology,Capillar,https://www.lcapillar.com/,China-based with international-standard and supply-chain use cases,Manufacturing products and supply chains,"Manufacturers, R&D, procurement, auditors and sustainability teams","Cradle-to-gate/grave LCA, PCF, EPD, scenarios, supplier data and disclosure",Chinese public pages,Not publicly confirmed,Live cloud platform,Not publicly confirmed,Active,Public product description; trial/application required for use,Commercial service terms,Commercial / restricted,Application/account required; not used,Provider-maintained SaaS,Not publicly confirmed,"Product models, emission factors, supplier data and reports",Not publicly confirmed,Web reporting and integrations; exact exchange schema not public,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Continuous cloud updates,Public product or technical documentation,Supports validation/audit workflows as described; independent conformance not reviewed,Not publicly confirmed,Not publicly confirmed,"ISO 14040-series, PCF, water footprint and multiple reporting frameworks as described",Not publicly confirmed,Not publicly confirmed,"Technical version, factor provenance and exchange formats are not fully public",EPD frameworks; GHG Protocol; Chinese PCF standards,method implementation and enterprise workflow,Not publicly confirmed,Multi-source/multi-output workflow; exact formats unconfirmed,Not publicly confirmed,Adds Chinese-language manufacturing and supplier collaboration coverage,Commercial access and incomplete public technical schema,https://www.lcapillar.com/,Not publicly confirmed,"The official site describes Capillar as a one-stop cloud service for product LCA/PCF from data collection and modelling through analysis, scenarios, audit and reports.",2026-08-22,High,"Current release, factor sources, APIs, export formats and licence","Public metadata verified; no registration, login, purchase or restricted-content access used"
LCA-SW-0026,EcoSemantic,EcoSemantic MCP Server; EcoSemantic Workspace,Software / API / tool,AI-oriented LCA platform connecting assistants and a visual workspace to professional environmental databases and calculation tools.,Kimel Tech SpA,EcoSemantic,https://docs.ecosemantic.com/,Global technical use; ecoinvent geography,Cross-sector LCA modelling,"LCA practitioners, analysts and application/assistant developers","Natural-language search, LCA calculation, hotspot analysis, graph modelling and integration",English public documentation,Not publicly confirmed,Live service; public documentation ©2025,Not publicly confirmed,Active,Public docs; account and usage credits for service,Commercial credit terms; underlying ecoinvent licence conditions,Commercial hosted service; public documentation,Required for service; not used,Provider-maintained platform,Not publicly confirmed,"31+ documented tools and access to 21,000+ ecoinvent activities as stated",Not publicly confirmed,Streamable HTTP MCP and project exports,MCP endpoint plus visual workspace,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Live documentation and service updates,Public product or technical documentation,Method/unit validation tools and real-time model validation are documented; independent audit not reviewed,Not publicly confirmed,Not publicly confirmed,Brightway/ecoinvent-based LCA modelling,Not publicly confirmed,Not publicly confirmed,"Account, credits and licensed database; AI-layer outputs need traceable review",ecoinvent; Brightway; MCP,database access and calculation interface,Not publicly confirmed,MCP clients and project export,Not publicly confirmed,Standard tool calls can expose provenance-aware LCA functions to assistants,"Service dependence, credit model and licensed data",https://docs.ecosemantic.com/,Not publicly confirmed,"Public docs identify an MCP server and visual LCA workspace with search, calculation, validation, graph and hotspot tools backed by ecoinvent.",2026-08-22,High,"Current version, exact software/data licences, export schema and audit evidence","Public metadata verified; no registration, login, purchase or restricted-content access used"
LCA-SW-0027,LCA CARE Tool,LCA Care,Software / API / tool,EU-funded open-access cloud tool helping agri-food SMEs assess life-cycle impacts and test improvement actions.,LCA CARE project consortium,EU project 101139959 consortium,https://lca-care.eu/lca-care-tool/,European partner countries with broader SME relevance,Agri-food SMEs,Small and medium agri-food enterprises and trainers,"Process flowcharts, environmental assessment, benchmarking, scenario simulation and action planning",English public documentation,Not publicly confirmed,Public tool announced/launched 2025,Not publicly confirmed,Active project output,Free/open-access tool; login/account required for hosted use,Project documents use stated open terms; hosted tool terms require confirmation,Free hosted tool; public documentation,Required for tool use; not used,"EU-funded project consortium, project number 101139959",Not publicly confirmed,"Cloud assessment workflows, data entry, benchmarks, recommendations and training",Not publicly confirmed,"Web, iOS and Android interfaces stated",BPMN integration stated; no public API confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Project releases/news,Public product or technical documentation,"Provider states editable data, benchmarking and support; calculation validation not independently established",Not publicly confirmed,Not publicly confirmed,LCA and broader sustainability assessment for agri-food SMEs,Not publicly confirmed,Not publicly confirmed,"Method database, exact algorithms, tool licence and stable version are incompletely public",AGRIBALYSE; food LCA databases; BPMN,sector method/tool implementation,Not publicly confirmed,BPMN 4.0 integration claimed,Not publicly confirmed,Low-cost SME workflow may broaden primary-data collection,Account-gated operation and limited technical documentation,https://lca-care.eu/lca-care-tool/,Not publicly confirmed,"The project describes a free cloud tool for agri-food SMEs covering life-cycle assessment, process flowcharts, benchmarks and scenarios.",2026-08-22,Medium,"Release identifier, algorithm/data sources, licence, export and BPMN implementation","Public metadata verified; no registration, login, purchase or restricted-content access used"
LCA-FMT-0012,IDTA Carbon Footprint Submodel Template,IDTA 02023 Carbon Footprint; AAS Carbon Footprint SMT,Data schema / exchange format,Official Asset Administration Shell submodel template for product carbon-footprint information.,Industrial Digital Twin Association,IDTA office and admin-shell-io repository,https://github.com/admin-shell-io/submodel-templates,Global industrial digital-twin scope,Manufactured products and industrial assets,"Manufacturers, DPP/digital-twin implementers and software developers",Machine-readable PCF representation in Asset Administration Shells,English public documentation,Not publicly confirmed,1.0.1,Not publicly confirmed,Published and maintained,Public repository and specification,CC BY 4.0 repository licence,Open,No,Officially released/registered by IDTA; maintained by IDTA office,Not publicly confirmed,"Semantic submodel template, documentation and machine-readable files",Not publicly confirmed,Asset Administration Shell submodel representations,Repository files and AAS toolchain,Not publicly confirmed,IDTA 02023,Not publicly confirmed,Published and deprecated folders; prior version moved after six months,Public product or technical documentation,Official publication/registration and issue tracking,Not publicly confirmed,Not publicly confirmed,Product carbon footprint representation aligned with LCA standards,Not publicly confirmed,Not publicly confirmed,A data model does not validate upstream PCF calculations; mapping to other PCF schemas remains version-specific,Asset Administration Shell; Catena-X PCF Data Model; PACT Technical Specifications,semantic representation and potential mapping,Not publicly confirmed,AAS submodel implementations,Not publicly confirmed,Provides a governed manufacturing-digital-twin carrier for PCF data,"Cross-schema term, unit, boundary and version mappings are required",https://github.com/admin-shell-io/submodel-templates ; https://industrialdigitaltwin.org/en/wp-content/uploads/sites/2/2025/03/IDTA-02023_Submodel_CarbonFootprint.pdf,Not publicly confirmed,IDTA's official repository lists Carbon Footprint v1.0.1 as a published submodel template and documents maintenance/deprecation rules.,2026-08-22,High,Formal mapping coverage with PACT and Catena-X current releases,"Public metadata verified; no registration, login, purchase or restricted-content access used"
LCA-PLT-0004,Digital Product Passport Vocabulary Hub,DPP Vocabulary Hub; Semantic Treehouse DPP Hub,Platform / repository / network,"Collaborative public platform for publishing, browsing and exporting data models used in the EU Digital Product Passport ecosystem.",CIRPASS-2 and partner initiatives,Vocabulary Hub / Semantic Treehouse maintainers,https://dpp.vocabulary-hub.eu/,European Union with global interoperability relevance,Digital product passports across product groups,"Ontology developers, DPP implementers, regulators and researchers","Publish, compare, visualize and export DPP vocabularies including LCA modules",English public documentation,Not publicly confirmed,Live hub; EUDPP core v2 releases in 2026,2026-06-03 LCA module displayed,Active,"Public browsing, graph/tree views and TTL exports",Specification-level licences; current EUDPP modules Apache 2.0,Open,No for viewing/export,EU innovation-project collaboration including CIRPASS-2 and CircPlastX,Not publicly confirmed,"Ontologies, modules, versions, licence metadata and exports",Not publicly confirmed,RDF/OWL/Turtle,Public web exports; API not confirmed,Not publicly confirmed,Versioned specification records and w3id.org/eudpp identifiers,Not publicly confirmed,"Version, publication date and deprecated/development labels",Public product or technical documentation,Publication metadata and version states; formal conformance process not confirmed,Not publicly confirmed,Not publicly confirmed,Semantic modelling for DPP data,Not publicly confirmed,Not publicly confirmed,Hub includes proposals and development versions; publication does not equal regulatory adoption,EUDPP Core Ontology LCA Module; IDTA submodels; Catena-X,hosts and publishes,Not publicly confirmed,Turtle/RDF ontology tools,Not publicly confirmed,Central versioned vocabulary registry can expose LCA concepts to DPP systems,Multiple overlapping DPP ontologies and changing regulation,https://dpp.vocabulary-hub.eu/,Not publicly confirmed,"The hub publicly lists versioned, licensed DPP ontologies with graph/tree views and TTL exports, including an LCA module.",2026-08-22,High,"Long-term host governance, API, persistent version URIs and regulatory status","Public metadata verified; no registration, login, purchase or restricted-content access used"
LCA-NOM-0008,EUDPP Core Ontology Life Cycle Assessment Module,EUDPP LCA module,Nomenclature / classification,LCA ontology module in the proposed EU Digital Product Passport core ontology.,CIRPASS-2 European project,EUDPP ontology contributors via DPP Vocabulary Hub,https://dpp.vocabulary-hub.eu/,European DPP scope,Cross-sector digital product passports,DPP data-model designers and interoperability developers,Represent LCA information within modular DPP ontologies,English public documentation,Not publicly confirmed,v2.0.maki,2026-06-03,Active proposal/release,Public graph/tree views and TTL export,Apache 2.0,Open,No,CIRPASS-2 proposed ontology published through Vocabulary Hub,Not publicly confirmed,RDF/OWL classes and properties for LCA within EUDPP,Not publicly confirmed,Turtle/RDF/OWL,Download/export through public hub,Not publicly confirmed,w3id.org/eudpp namespace family,Not publicly confirmed,Version/date labels and module imports,Public product or technical documentation,Module release metadata; formal standards validation not established,Not publicly confirmed,Not publicly confirmed,Semantic representation of DPP LCA information,Not publicly confirmed,Not publicly confirmed,Proposed ontology with evolving module names/versions; no guarantee of regulatory adoption,Digital Product Passport Vocabulary Hub; EUDPP Core; IDTA Carbon Footprint Submodel,hosted module and semantic mapping,Not publicly confirmed,RDF/OWL tooling,Not publicly confirmed,"Can link LCA results to product-passport actors, substances and compliance information",Semantic overlap and version drift with other DPP/PCF schemas,https://dpp.vocabulary-hub.eu/,Not publicly confirmed,The public hub lists an EUDPP LCA module v2.0.maki dated 2026-06-03 under Apache 2.0 with graph/tree and TTL export.,2026-08-22,High,"Stable semantic version, competency questions, mappings and adoption","Public metadata verified; no registration, login, purchase or restricted-content access used"
LCA-PLT-0005,GBDI Open Building Data Platform,Global Building Data Initiative platform,Platform / repository / network,"Open building data platform for whole-life carbon benchmarking, prospective LCA and policy/portfolio analysis.",Global Building Data Initiative under GLOBE,GBDI consortium,https://www.gbdi.io/platform,"Global, with stated Global South inclusion",Buildings and construction portfolios,"Policy makers, portfolio managers, building designers and researchers","Whole-life carbon benchmarking, prospective LCA, MRV and decarbonization strategy",English public documentation,Not publicly confirmed,Live platform launched 2025,2025-02-26 launch event,Active,Public descriptions; account required to use platform,Open-source/open-data orientation; platform terms apply,Open platform mission with account-based access,Required for platform use; not used,"GBDI under GLOBE, supported by international construction associations",Not publicly confirmed,"Building-level whole-life-cycle data, benchmarks and analytics",Not publicly confirmed,openBDF,Open API integration described,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Live platform and evolving openBDF releases,Public product or technical documentation,Systematic protocol and high-quality data objectives; contribution validation details incomplete,Not publicly confirmed,Not publicly confirmed,Whole-life building carbon and prospective LCA,Not publicly confirmed,Not publicly confirmed,Platform content cannot be inspected without account; public claims and targets are not achieved counts,openBDF; LCAx; RICS; ECHO; SLiCE,native format and aligned initiatives,Not publicly confirmed,openBDF and API integrations,Not publicly confirmed,Global benchmark exchange using an open building schema,"Account access, contribution confidentiality and schema evolution",https://www.gbdi.io/platform ; https://www.gbdi.io/about,Not publicly confirmed,"GBDI describes an open platform for global building whole-life carbon data, prospective LCA, benchmarking, openBDF exchange and API integration.",2026-08-22,High,"Dataset count, licence, validation protocol, API and public download scope","Public metadata verified; no registration, login, purchase or restricted-content access used"
LCA-FMT-0013,open Building Data Format,openBDF,Data schema / exchange format,Open protocol and schema for interoperable exchange of building life-cycle and whole-life-carbon data.,Global Building Data Initiative,GBDI technical community,https://www.gbdi.io/open-data-format,Global,Buildings and construction,"Building LCA platforms, designers, researchers and policy data systems","Exchange, storage and analysis of comparable building life-cycle data",English public documentation,Not publicly confirmed,Current public version; new version under development,Not publicly confirmed,Active/evolving,Public documentation and GitHub links,Presented as open/free; repository-level licence to confirm,Open,No for public documentation,GBDI open technical development,Not publicly confirmed,"Protocol, schema and Python/JSON integrations",Not publicly confirmed,Uses the LCAx data schema with building-specific protocol,Open interfaces and code,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Current version plus announced new version,Public product or technical documentation,"Alignment with RICS, ECHO and SLiCE stated; conformance suite not confirmed",Not publicly confirmed,Not publicly confirmed,Building whole-life-carbon reporting structure,Not publicly confirmed,Not publicly confirmed,Built on LCAx and still evolving; boundaries between format and profile need governance clarity,LCAx exchange format; GBDI platform; RICS; ECHO; SLiCE,schema reuse and alignment,Not publicly confirmed,JSON/Python and LCAx-compatible implementations,Not publicly confirmed,A common building-project envelope can enable global benchmarking,Method/profile alignment and version-specific field mapping,https://www.gbdi.io/open-data-format,Not publicly confirmed,"GBDI defines openBDF as an open, global, documented building-data protocol using the LCAx schema and providing protocol, schema and Python/JSON integrations.",2026-08-22,High,"Canonical repository, licence, schema version and conformance tests","Public metadata verified; no registration, login, purchase or restricted-content access used"
LCA-DB-0035,BATTERS Battery Recycling Inventory Database,BATTERS database,Database / dataset,Commercial LCI database for lithium-ion battery recycling processes and recycled materials.,BATTERS,BATTERS / WELOOP experts,https://www.batters.fr/en/battery-recycling-inventory/,Configurable electricity/geography; European regulatory context,Lithium-ion battery recycling and recovered metals,"Industry, consultants, researchers and decision-makers","Battery LCA/PCF, recycling-technology comparison and regulatory alternative scenarios",English public documentation,Not publicly confirmed,January 2026 analysis release,2026-01,Active,"Public description; aggregated, unit-process or tailored inventories for purchase",Commercial purchase/licence,Commercial / restricted,Contact/purchase required; not used,Provider-maintained sector database,Not publicly confirmed,"Five recycling-process families including black mass, hydrometallurgy and pyrometallurgy",Not publicly confirmed,"Packages compatible with LCA for Experts, SimaPro and openLCA",Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Release/analysis dates and tailored variants,Public product or technical documentation,"Provider describes reliable, transparent industrial data; independent review evidence not captured",Not publicly confirmed,Not publicly confirmed,"LCA/PCF inventories with configurable composition, electricity and allocation",Not publicly confirmed,Not publicly confirmed,Underlying inventories and representativeness cannot be checked without purchase,EU Battery Regulation; Sphera LCA for Experts; SimaPro; openLCA,software distribution and regulatory use,Not publicly confirmed,"LCA for Experts, SimaPro and openLCA",Not publicly confirmed,Fills a specific recycling-data gap and exposes key scenario variables,Commercial access and custom variants reduce comparability,https://www.batters.fr/en/battery-recycling-inventory/,Not publicly confirmed,"The provider documents purchasable system/unit inventories for five battery-recycling processes with configurable black-mass composition, electricity and allocation.",2026-08-22,High,"Dataset count, reference years, review report, licence and exact exchange formats","Public metadata verified; no registration, login, purchase or restricted-content access used"
LCA-DB-0036,BioEnergieDat,BioEnergieDat database,Database / dataset,Legacy German ILCD database of bioenergy supply and conversion processes developed through a public research project.,BioEnergieDat project consortium,Legacy project portal; dataset owners include KIT and partners,https://www.bioenergiedat.de/software.html,Germany,"Biomass supply, biofuels, biogas and bioenergy conversion",LCA researchers and bioenergy analysts,German bioenergy LCI modelling and technology comparison,German,Not publicly confirmed,ILCD dataset versions commonly 01.00.000,Project data centred on 2010–2012,Legacy; public portal remains partly accessible,Public ILCD browsing/download instructions and historical node access,Dataset pages state copyright/owner fields; collection-level licence incomplete,Free legacy public data with unclear current stewardship,No registration indicated for public records/downloads,German public research consortium; long-term maintainer unclear,Not publicly confirmed,Parameterized unit processes and flows for biomass supply and conversion,Not publicly confirmed,ILCD ZIP and ILCD network services,Historical soda4LCA/ILCD node,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Dataset-level ILCD versions,Public product or technical documentation,Project review workflow and metadata; many records retain old reference years,Not publicly confirmed,Not publicly confirmed,Life-cycle inventory with a documented perspectives/parameter concept,Not publicly confirmed,Not publicly confirmed,"Old 2010-era data, uncertain node continuity and incomplete collection-level licence/update policy",openLCA; soda4LCA; ILCD Data Format; openLCA Nexus,"native format, modelling software and node infrastructure",Not publicly confirmed; Public openLCA Nexus metadata lists BioEnergieDat with openLCA-oriented groups/packages and formats (https://nexus.openlca.org/ws/dataproviders/256),ILCD import to openLCA,Not publicly confirmed,Preserved transparent unit processes can support historical/technology comparisons,"Age, German-only metadata and uncertain stewardship",https://www.bioenergiedat.de/software.html ; https://bioenergiedat.de/documents/10156/24192/anleitung-openLCA.pdf,Not publicly confirmed; https://nexus.openlca.org/ws/dataproviders/256; https://nexus.openlca.org/databases,"The legacy project publicly documents its bioenergy database, ILCD ZIP/node distribution, openLCA integration and parameterized modelling functions.",2026-08-22,Medium,"Current download completeness, total process count, licence and responsible maintainer","Public metadata verified; no registration, login, purchase or restricted-content access used"
LCA-DB-0037,CPM LCA Database,SPINE@CPM; Swedish national LCA database,Database / dataset,Open Swedish database of reviewed industrial LCI and impact-assessment data built on the SPINE information model.,Swedish Life Cycle Center,"Chalmers University of Technology, Environmental Systems Analysis",https://cpmdatabase.cpm.chalmers.se/AboutDatabase.htm,Sweden with dataset-specific industrial scope,"Industrial processes, products, materials and supply chains",Researchers and LCA practitioners,"LCI reuse, transparent documentation and impact calculation",English public documentation,Not publicly confirmed,Legacy live database,Not publicly confirmed,Legacy/project-dependent; no stable funding since 2006,Public free viewing/download under licence agreement,Open/free under CPM licence agreement,Open with use conditions,No registration stated,Owned by Swedish Life Cycle Center; maintained by Chalmers,Not publicly confirmed,"LCI datasets plus EPS, EDIP and Eco-indicator IA98 records",Not publicly confirmed,"SPINE, ISO/TS 14048-compatible view, ILCD and IA98",Web database; no modern API confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Dataset and project updates,Public product or technical documentation,Documented review routine and quality requirements,Not publicly confirmed,Not publicly confirmed,SPINE information model and ISO/TS 14048 documentation criteria,Not publicly confirmed,Not publicly confirmed,Funding and development have been intermittent since 2006; legacy formats and methods,SPINE; ILCD; ISO/TS 14048; EPS; EDIP,native information model and format mappings,Not publicly confirmed,SPINE and ILCD views; IA98,Not publicly confirmed,Rich transparent documentation can inform modern provenance models,"Legacy identifiers, encoding and uncertain update cadence",https://cpmdatabase.cpm.chalmers.se/AboutDatabase.htm,Not publicly confirmed,"Chalmers documents an open/free reviewed LCA database owned by the Swedish Life Cycle Center with SPINE, ISO/TS 14048-compatible and ILCD representations.",2026-08-22,High,"Current dataset count, last content update and migration path","Public metadata verified; no registration, login, purchase or restricted-content access used"
