release_record_id,asset_id,asset_name,asset_type,release_line,first_development_release_year,version,release_date,lifecycle_status,predecessor_release,successor_release,release_evidence_urls,evidence_status,evidence_as_of,notes
RLS-0073,LCA-DB-0021,INIES Database,Database / dataset,Current public service snapshot,Public database predates 2013; exact first year not confirmed,Continuously updated public catalogue,Current at 2026-08-22,Current continuously updated service,Digitised-data webservice established,None recorded after evidence cut-off,https://www.inies.fr/en/the-digitised-data-webservice/ | https://www.inies.fr/en/accueil/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0074,LCA-DB-0022,PlasticsEurope Eco-profiles,Database / dataset,Database/publication family launch,1993,First Eco-profiles,1993,Historical release,None recorded in verified milestone set,Methodology v3.1 and current product packages,https://plasticseurope.org/sustainability/circularity/life-cycle-thinking/eco-profiles-set/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0075,LCA-DB-0022,PlasticsEurope Eco-profiles,Database / dataset,Product-package releases,1993,Selected polyolefin/PVC package updates,2026-03,Current heterogeneous package family,Methodology v3.1 and current product packages,None recorded after evidence cut-off,https://plasticseurope.org/sustainability/circularity/life-cycle-thinking/eco-profiles-set/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0076,LCA-DB-0022,PlasticsEurope Eco-profiles,Database / dataset,Methodology/database milestone,1993,Methodology v3.1 and current product packages,Current methodology line at 2026-08-22,Historical release,First Eco-profiles,Selected polyolefin/PVC package updates,https://plasticseurope.org/sustainability/circularity/life-cycle-thinking/eco-profiles-set/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0077,LCA-DB-0023,worldsteel Life Cycle Inventory Database,Database / dataset,Database-generation study,1996 study,First global LCI study,1996,Historical release,None recorded in verified milestone set,2000 update,https://worldsteel.org/wider-sustainability/life-cycle-thinking/life-cycle-inventory-data-and-eco-profiles/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0078,LCA-DB-0023,worldsteel Life Cycle Inventory Database,Database / dataset,Database update,1996 study,2000 update,2000,Historical release,First global LCI study,2010 update,https://worldsteel.org/wider-sustainability/life-cycle-thinking/life-cycle-inventory-data-and-eco-profiles/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0079,LCA-DB-0023,worldsteel Life Cycle Inventory Database,Database / dataset,Database update,1996 study,2010 update,2010,Historical release,2000 update,2017 update,https://worldsteel.org/wider-sustainability/life-cycle-thinking/life-cycle-inventory-data-and-eco-profiles/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0080,LCA-DB-0023,worldsteel Life Cycle Inventory Database,Database / dataset,Database update,1996 study,2017 update,2017,Historical release,2010 update,2018 update,https://worldsteel.org/wider-sustainability/life-cycle-thinking/life-cycle-inventory-data-and-eco-profiles/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0081,LCA-DB-0023,worldsteel Life Cycle Inventory Database,Database / dataset,Database update,1996 study,2018 update,2018,Historical release,2017 update,2019 update,https://worldsteel.org/wider-sustainability/life-cycle-thinking/life-cycle-inventory-data-and-eco-profiles/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0082,LCA-DB-0023,worldsteel Life Cycle Inventory Database,Database / dataset,Database update,1996 study,2019 update,2019,Historical release,2018 update,2024 LCI dataset,https://worldsteel.org/wider-sustainability/life-cycle-thinking/life-cycle-inventory-data-and-eco-profiles/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0083,LCA-DB-0023,worldsteel Life Cycle Inventory Database,Database / dataset,Database release,1996 study,2024 LCI dataset,2026-05,Current release,2019 update,None recorded after evidence cut-off,https://worldsteel.org/wider-sustainability/life-cycle-thinking/life-cycle-inventory-data-and-eco-profiles/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0084,LCA-DB-0024,openIO-Canada,Database / dataset,Database/code release,Public repository lineage predates current v2 line; exact first year not confirmed,v2.11.1,Current at 2026-08-22; exact tag date not captured,Current release,None recorded in verified milestone set,None recorded after evidence cut-off,https://github.com/CIRAIG/OpenIO-Canada,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0085,LCA-DB-0025,Product Social Impact Life Cycle Assessment Database,Database / dataset,Documented database release,Version 3 publicly documented in 2020,v3,2020-06,Historical release,None recorded in verified milestone set,v3.1.1,https://psilca.net/wp-content/uploads/2020/06/PSILCA_documentation_v3.pdf | https://psilca.net/wp-content/uploads/2025/08/PSILCA_manual_for-v.4_01082025.pdf,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0086,LCA-DB-0025,Product Social Impact Life Cycle Assessment Database,Database / dataset,Database release,Version 3 publicly documented in 2020,v4.0.1,2026-01,Current release,v4.0,None recorded after evidence cut-off,https://nexus.openlca.org/ws/dataproviders/9552,Current public provider release verified,2026-08-25,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0087,LCA-DB-0025,Product Social Impact Life Cycle Assessment Database,Database / dataset,Database release,Version 3 publicly documented in 2020,v3.1.1,Predecessor documented in v4 manual; date not publicly confirmed,Historical release,v3,v4.0,https://psilca.net/wp-content/uploads/2020/06/PSILCA_documentation_v3.pdf | https://psilca.net/wp-content/uploads/2025/08/PSILCA_manual_for-v.4_01082025.pdf,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0088,LCA-DB-0026,Social Hotspots Database,Database / dataset,Current known release snapshot,Not publicly confirmed,v6 (2025 update),2026-02-05 Nexus package release,Current commercial release,Not publicly confirmed,Not publicly confirmed,https://nexus.openlca.org/ws/dataproviders/151,Current public provider version and package release verified,2026-08-25,Provider labels the data update as 2025/version 6; the current Nexus package is dated 2026-02-05.
RLS-0089,LCA-DB-0027,BONSAI Database,Database / dataset,Database family launch,2023,v1.0.0,2023-12-06,Historical release,None recorded in verified milestone set,v2.0.0,https://www.bonsai.uno/download,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0090,LCA-DB-0027,BONSAI Database,Database / dataset,Database release,2023,v2.0.0,2025-11-27,Historical release,v1.0.0,v2.0.1,https://www.bonsai.uno/download,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0091,LCA-DB-0027,BONSAI Database,Database / dataset,Database release,2023,v2.0.1,2025-11-28,Historical release,v2.0.0,v2.0.2,https://www.bonsai.uno/download,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0092,LCA-DB-0027,BONSAI Database,Database / dataset,Database release,2023,v2.0.2,2025-12-11,Historical release,v2.0.1,v2.1.0,https://www.bonsai.uno/download,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0093,LCA-DB-0027,BONSAI Database,Database / dataset,Database release,2023,v2.1.0,2026-01-30,Historical release,v2.0.2,v2.1.1,https://www.bonsai.uno/download,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0094,LCA-DB-0027,BONSAI Database,Database / dataset,Database release,2023,v2.1.1,2026-02-13,Historical release,v2.1.0,v2.1.2,https://www.bonsai.uno/download,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0095,LCA-DB-0027,BONSAI Database,Database / dataset,Database release,2023,v2.1.2,2026-02-20,Historical release,v2.1.1,v2.1.3,https://www.bonsai.uno/download,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0096,LCA-DB-0027,BONSAI Database,Database / dataset,Database release,2023,v2.1.3,2026-03-01,Historical release,v2.1.2,v2.1.4,https://www.bonsai.uno/download,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0097,LCA-DB-0027,BONSAI Database,Database / dataset,Database release,2023,v2.1.4,2026-03-23,Historical release,v2.1.3,v2.1.5,https://www.bonsai.uno/download,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0098,LCA-DB-0027,BONSAI Database,Database / dataset,Database release,2023,v2.1.5,2026-03-28,Current release,v2.1.4,None recorded after evidence cut-off,https://www.bonsai.uno/download,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0099,LCA-DB-0028,European Commission Environmental Footprint Data Node,Database / dataset,Current known release snapshot,Not publicly confirmed,EF 3.1 and retained EF 2.0 data stocks,Not publicly confirmed,Active public node,Not publicly confirmed,Not publicly confirmed,https://eplca.jrc.ec.europa.eu/EF-node/index.xhtml | https://eplca.jrc.ec.europa.eu/EnvironmentalFootprint.html,Current snapshot retained; a public milestone history was not found in this review pass,2026-08-22,Coverage row only. Exact first-release and intermediate-version dates remain a documented public-evidence gap.
RLS-0100,LCA-DB-0029,ICE Database Educational,Database / dataset,Database family launch,2005,v1,2005,Historical release,None recorded in verified milestone set,v2,https://circularecology.com/wp-content/uploads/2025/04/ICE-Database-Insights-2-ICE-Analytical-Review-Processes-Slides.pdf | https://circularecology.com/embodied-carbon-footprint-database.html,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0101,LCA-DB-0029,ICE Database Educational,Database / dataset,Database release,2005,v2,2011,Historical release,v1,v3,https://circularecology.com/wp-content/uploads/2025/04/ICE-Database-Insights-2-ICE-Analytical-Review-Processes-Slides.pdf | https://circularecology.com/embodied-carbon-footprint-database.html,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0102,LCA-DB-0029,ICE Database Educational,Database / dataset,Database release,2005,v3,2019,Historical release,v2,v4.0,https://circularecology.com/wp-content/uploads/2025/04/ICE-Database-Insights-2-ICE-Analytical-Review-Processes-Slides.pdf | https://circularecology.com/embodied-carbon-footprint-database.html,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0103,LCA-DB-0029,ICE Database Educational,Database / dataset,Database release,2005,v4.0,2024-11,Historical release,v3,v5.0 Educational,https://circularecology.com/wp-content/uploads/2025/04/ICE-Database-Insights-2-ICE-Analytical-Review-Processes-Slides.pdf | https://circularecology.com/embodied-carbon-footprint-database.html,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0104,LCA-DB-0029,ICE Database Educational,Database / dataset,Database release,2005,v5.0 Educational,2026-06,Current release,v4.0,None recorded after evidence cut-off,https://circularecology.com/wp-content/uploads/2025/04/ICE-Database-Insights-2-ICE-Analytical-Review-Processes-Slides.pdf | https://circularecology.com/embodied-carbon-footprint-database.html,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0105,LCA-DB-0030,ESU World Food LCA Database,Database / dataset,Current known release snapshot,Not publicly confirmed,v3,2026-03-10,Current commercial release,Not publicly confirmed,Not publicly confirmed,https://nexus.openlca.org/ws/dataproviders/8904,Current public Nexus package release verified,2026-08-25,Both system-process and unit-process packages are labelled v3; the unit-process description retains a BAFU:2025+ESU background dependency.
RLS-0106,LCA-DB-0031,Carbonfact Open Source LCA Database for Footwear & Apparel,Database / dataset,Database family launch,2026,First public release,2026-07-01,Current release,None recorded in verified milestone set,None recorded after evidence cut-off,https://www.carbonfact.com/blog/platform/carbonfact-releases-database | https://www.carbonfact.com/database,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0107,LCA-DB-0032,CEPE Life Cycle Inventory Database,Database / dataset,Development milestone,2011 project start,LCI project start,2011,Development milestone,None recorded in verified milestone set,Second database version,https://cepe.org/sustainability/lci-project/ | https://cepe.org/sustainability/how-to-access-the-database/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0108,LCA-DB-0032,CEPE Life Cycle Inventory Database,Database / dataset,Current public project snapshot,2011 project start,Second database version,Current at 2026-08-22; exact release date not public,Current release,LCI project start,None recorded after evidence cut-off,https://cepe.org/sustainability/lci-project/ | https://cepe.org/sustainability/how-to-access-the-database/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0109,LCA-DB-0033,Open CEDA,Database / dataset,Database family launch,2025,CEDA 2025,2025,Current release,None recorded in verified milestone set,None recorded after evidence cut-off,https://registry.opendata.aws/open-ceda/ | https://openceda.org/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0110,LCA-DB-0034,NEEDS Life Cycle Inventory Database,Database / dataset,Project/database-generation milestone,EU NEEDS project 2004–2008,NEEDS project database,2004–2008,Historical release,None recorded in verified milestone set,openLCA conversion v2,https://cordis.europa.eu/project/id/502687 | https://nexus.openlca.org/ws/files/9971,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0111,LCA-DB-0034,NEEDS Life Cycle Inventory Database,Database / dataset,Conversion/package release,EU NEEDS project 2004–2008,openLCA conversion v2,2017-01-17,Current retained conversion,NEEDS project database,None recorded after evidence cut-off,https://cordis.europa.eu/project/id/502687 | https://nexus.openlca.org/ws/files/9971,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0112,LCA-DB-0035,BATTERS Battery Recycling Inventory Database,Database / dataset,Database family launch,2026,January 2026 analysis release,2026-01,Current release,None recorded in verified milestone set,None recorded after evidence cut-off,https://www.batters.fr/en/battery-recycling-inventory/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0113,LCA-DB-0036,BioEnergieDat,Database / dataset,Database/project milestone,Project completed 2013,Project database completion,2013,Current retained legacy dataset,None recorded in verified milestone set,None recorded after evidence cut-off,https://www.bioenergiedat.de/software.html,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0114,LCA-DB-0037,CPM LCA Database,Database / dataset,Database family launch,1996 programme/database origin,CPM programme/database origin,1996,Historical release,None recorded in verified milestone set,Legacy live database,https://cpmdatabase.cpm.chalmers.se/AboutDatabase.htm | https://www.lifecyclecenter.se/about-us/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0115,LCA-DB-0037,CPM LCA Database,Database / dataset,Current public service snapshot,1996 programme/database origin,Legacy live database,Current at 2026-08-22,Current retained legacy dataset,CPM programme/database origin,None recorded after evidence cut-off,https://cpmdatabase.cpm.chalmers.se/AboutDatabase.htm | https://www.lifecyclecenter.se/about-us/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0116,LCA-DB-0038,ERASM Surfactant Life Cycle and Ecofootprinting Inventory,Database / dataset,Database family launch,2017,SLE release,2017,Current retained sector dataset,None recorded in verified milestone set,None recorded after evidence cut-off,https://www.erasm.org/wp-content/uploads/2017/08/170727-SLE-Summary-Paper-IJLCA-1.pdf,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0117,LCA-DB-0039,CODDE Database,Database / dataset,Database family launch,1996,Database origin,1996,Historical release,None recorded in verified milestone set,LCIE/Bureau Veritas takeover,https://codde.fr/evenement/eime-nouvelle-base-codde-2026-04 | https://codde.fr/en/contact-us/contact,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0118,LCA-DB-0039,CODDE Database,Database / dataset,Ownership/maintenance milestone,1996,LCIE/Bureau Veritas takeover,2007,Historical release,Database origin,2026-04,https://codde.fr/evenement/eime-nouvelle-base-codde-2026-04 | https://codde.fr/en/contact-us/contact,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0119,LCA-DB-0039,CODDE Database,Database / dataset,Database release,1996,2026-04,2026-04-15,Current release,LCIE/Bureau Veritas takeover,None recorded after evidence cut-off,https://codde.fr/evenement/eime-nouvelle-base-codde-2026-04 | https://codde.fr/en/contact-us/contact,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0120,LCA-DB-0040,IDEMAT Database,Database / dataset,Current known release snapshot,Not publicly confirmed,Idemat 2026RevB1,2026,Active periodic releases,Not publicly confirmed,Not publicly confirmed,https://www.ecocostsvalue.com/data-tools-books/ | https://www.ecocostsvalue.com/,Current snapshot retained; a public milestone history was not found in this review pass,2026-08-22,Coverage row only. Exact first-release and intermediate-version dates remain a documented public-evidence gap.
RLS-0121,LCA-DB-0041,POLARIIS+,Database / dataset,Current known release snapshot,Not publicly confirmed,2026 infrastructure release,2026,Active development,Not publicly confirmed,Not publicly confirmed,https://ciraig.org/index.php/project/polariis-en/,Current snapshot retained; a public milestone history was not found in this review pass,2026-08-22,Coverage row only. Exact first-release and intermediate-version dates remain a documented public-evidence gap.
RLS-0122,LCA-DB-0042,Evah Pigments and Dyes LCI Databases,Database / dataset,Current known release snapshot,Not publicly confirmed,Current database family; historical Pigments release plus continuing 2026 programme,Not publicly confirmed,Active provider; versioned package metadata incomplete,Not publicly confirmed,Not publicly confirmed,https://evah.institute/services | https://evah.institute/,Current snapshot retained; a public milestone history was not found in this review pass,2026-08-22,Coverage row only. Exact first-release and intermediate-version dates remain a documented public-evidence gap.
RLS-0123,LCA-DB-0043,EuGeos 15804-IA Database,Database / dataset,Current known release snapshot,Not publicly confirmed,v4.1,2020-03-31,Legacy/superseded,v3.1,openLCA EN15804 add-on,https://nexus.openlca.org/ws/dataproviders/8251,Last public version and superseded status verified,2026-08-25,Coverage row only. Exact first-release and intermediate-version dates remain a documented public-evidence gap.
RLS-0124,LCA-DB-0044,DeforestationFootprint.earth dataset and dashboard,Database / dataset,Dataset/dashboard release,Public first version not yet confirmed,v2.1,2026-03-11,Current release,None recorded in verified milestone set,None recorded after evidence cut-off,https://deforestationfootprint.earth/about,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0125,LCA-DB-0045,FOODTURE European Food LCI Database,Database / dataset,Development milestone,2025 project start; no database release yet,Horizon Europe development period,2025–2028,Under development,None recorded in verified milestone set,None recorded after evidence cut-off,https://foodture-project.eu/work-packages/ | https://foodture-project.eu/about/,Verified public milestone; official/provider or formal project source,2026-08-22,No public database release was found by the evidence cut-off.
RLS-0126,LCA-DB-0046,HiQLCD,Database / dataset,Current known release snapshot,Not publicly confirmed,Live platform; public release identifier not confirmed,Not publicly confirmed,Active,Not publicly confirmed,Not publicly confirmed,https://www.hiq.earth/ | https://www.hiqlcd.com/about,Current snapshot retained; a public milestone history was not found in this review pass,2026-08-22,Coverage row only. Exact first-release and intermediate-version dates remain a documented public-evidence gap.
RLS-0127,LCA-DB-0047,Minviro Battery Materials Database,Database / dataset,Current known release snapshot,Not publicly confirmed,Current integrated database; release identifier not public,Not publicly confirmed,Active,Not publicly confirmed,Not publicly confirmed,https://www.minviro.com/xycle | https://www.minviro.com/contact,Current snapshot retained; a public milestone history was not found in this review pass,2026-08-22,Coverage row only. Exact first-release and intermediate-version dates remain a documented public-evidence gap.
RLS-0128,LCA-DB-0048,OpenEPD Database,Database / dataset,Current known release snapshot,Not publicly confirmed,"Live database; provider reports more than 400,000 records",Not publicly confirmed,Active,Not publicly confirmed,Not publicly confirmed,https://www.openepddatabase.com/ | https://wapsustainability.com/contact/,Current snapshot retained; a public milestone history was not found in this review pass,2026-08-22,Coverage row only. Exact first-release and intermediate-version dates remain a documented public-evidence gap.
RLS-0129,LCA-DB-0049,Athena LCA Databases,Database / dataset,Current known release snapshot,Not publicly confirmed,Maintained database family; public release identifier not confirmed,Not publicly confirmed,Active,Not publicly confirmed,Not publicly confirmed,https://www.athenasmi.org/our-software-data/lca-databases/ | https://www.athenasmi.org/,Current snapshot retained; a public milestone history was not found in this review pass,2026-08-22,Coverage row only. Exact first-release and intermediate-version dates remain a documented public-evidence gap.
RLS-0130,LCA-DB-0050,European Aluminium Environmental Profile LCI datasets,Database / dataset,Current known release snapshot,Not publicly confirmed,"Environmental Profile Report 2024, issued May 2025",Not publicly confirmed,Active periodic reporting,Not publicly confirmed,Not publicly confirmed,https://european-aluminium.eu/blog/environmental-profile-reports/,Current snapshot retained; a public milestone history was not found in this review pass,2026-08-22,Coverage row only. Exact first-release and intermediate-version dates remain a documented public-evidence gap.
RLS-0131,LCA-DB-0051,JLCA Database,Database / dataset,Current known release snapshot,Not publicly confirmed,Live member database; current release identifier not public,Not publicly confirmed,Active member resource,Not publicly confirmed,Not publicly confirmed,https://www.lca-forum.org/database/,Current snapshot retained; a public milestone history was not found in this review pass,2026-08-22,Coverage row only. Exact first-release and intermediate-version dates remain a documented public-evidence gap.
RLS-0132,LCA-DB-0052,MexiLCA,Database / dataset,Current known release snapshot,Not publicly confirmed,Live platform; around 250 connected datasets stated,Not publicly confirmed,Active/emerging,Not publicly confirmed,Not publicly confirmed,https://ciclodevida.mx/,Current snapshot retained; a public milestone history was not found in this review pass,2026-08-22,Coverage row only. Exact first-release and intermediate-version dates remain a documented public-evidence gap.
RLS-0133,LCA-DB-0053,EUROFER Stainless LCI Data,Database / dataset,Current known release snapshot,Not publicly confirmed,Current request-based dataset; page updated 2026-07-06,Public page updated 2026-07-06,Active request-based distribution,Not publicly confirmed,Not publicly confirmed,https://www.eurofer.eu/issues/eurofer-stainless-and-specialty-steel/life-cycle-inventory-lci-enquiries,Current snapshot retained; a public milestone history was not found in this review pass,2026-08-22,Coverage row only. Exact first-release and intermediate-version dates remain a documented public-evidence gap.
RLS-0134,LCA-PLT-0002,HESTIA Data Platform,Platform / repository / network,Platform/data release,2025 first public release,v1.0,2025-05-01,Current open-access release,None recorded in verified milestone set,v1.2,https://www.hestia.earth/releases | https://www.hestia.earth/guide/guide-accessing-data-data-releases/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0135,LCA-PLT-0002,HESTIA Data Platform,Platform / repository / network,Platform/data release,2025 first public release,v1.2,2026-04-30,Latest release; priority access until 2026-10-29,v1.0,None recorded after evidence cut-off,https://www.hestia.earth/releases | https://www.hestia.earth/guide/guide-accessing-data-data-releases/,Verified public milestone; official/provider or formal project source,2026-08-22,The release page states v1.2 becomes freely available on 2026-10-29; v1.0 remains the open-access release at the evidence cut-off.
RLS-0136,LCA-PLT-0005,GBDI Open Building Data Platform,Platform / repository / network,Platform launch,2025 beta launch,Open Building Data Platform Beta,2025-02-26,Current beta/live platform,None recorded in verified milestone set,None recorded after evidence cut-off,https://www.gbdi.io/launch-webinar | https://www.gbdi.io/platform,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0137,LCA-REP-0004,International EPD System Data Hub,Platform / repository / network,Programme/data-corpus origin,1998 programme/first EPD; digital portal 2021,First EPD in the programme,1998-01-31,Historical release,None recorded in verified milestone set,New digital EPD Portal,https://www.environdec.com/news/a-quarter-decade-since-the-first-epd | https://www.environdec.com/news/launching-the-new-website-and-epd-portal-january-13,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0138,LCA-REP-0004,International EPD System Data Hub,Platform / repository / network,Digital repository milestone,1998 programme/first EPD; digital portal 2021,New digital EPD Portal,2021-01-13,Historical release,First EPD in the programme,Current Data Hub,https://www.environdec.com/news/a-quarter-decade-since-the-first-epd | https://www.environdec.com/news/launching-the-new-website-and-epd-portal-january-13,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0139,LCA-REP-0004,International EPD System Data Hub,Platform / repository / network,Current public service snapshot,1998 programme/first EPD; digital portal 2021,Current Data Hub,Current at 2026-08-22,Current continuously updated service,New digital EPD Portal,None recorded after evidence cut-off,https://www.environdec.com/news/a-quarter-decade-since-the-first-epd | https://www.environdec.com/news/launching-the-new-website-and-epd-portal-january-13,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0140,LCA-REP-0005,Textile Exchange Life Cycle Inventory Library,Platform / repository / network,Repository launch,2024,LCI Library launch,2024,Current continuously updated library,None recorded in verified milestone set,None recorded after evidence cut-off,https://textileexchange.org/app/uploads/2025/06/Textile-Exchange_Annual-Report-2024.pdf | https://textileexchange.org/lci-library/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0141,LCA-REP-0007,AssessCCUS,Platform / repository / network,Current public evidence snapshot,Not publicly confirmed,Live 2026 repository,Not publicly confirmed,Active,Not publicly confirmed,Not publicly confirmed,https://assessccus.globalco2initiative.org/ | https://assessccus.globalco2initiative.org/contact/,Current snapshot retained; a public milestone history was not found in this review pass,2026-08-22,Coverage row only. Exact first-release and intermediate-version dates remain a documented public-evidence gap.
RLS-0142,LCA-REP-0009,product impact,Platform / repository / network,Current public evidence snapshot,Not publicly confirmed,Live beta platform,Not publicly confirmed,Active beta,Not publicly confirmed,Not publicly confirmed,https://productimpact.info/ | https://productimpact.info/case-study/rain-jacket | https://productimpact.info/terms-of-use.pdf,Current snapshot retained; a public milestone history was not found in this review pass,2026-08-22,Coverage row only. Exact first-release and intermediate-version dates remain a documented public-evidence gap.
RLS-0143,LCA-REP-0010,EPD Australasia EPD Database,Platform / repository / network,Programme/repository launch,2014,Australasian EPD Programme launch,2014-09-02,Historical release,None recorded in verified milestone set,Current EPD database,https://epd-australasia.com/2014/09/launch-of-the-australasian-epd-programme/ | https://epd-australasia.com/epd-search/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0144,LCA-REP-0010,EPD Australasia EPD Database,Platform / repository / network,Current public service snapshot,2014,Current EPD database,Current at 2026-08-22,Current continuously updated service,Australasian EPD Programme launch,None recorded after evidence cut-off,https://epd-australasia.com/2014/09/launch-of-the-australasian-epd-programme/ | https://epd-australasia.com/epd-search/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0145,LCA-REP-0011,EPDItaly EPD Database,Platform / repository / network,Programme/repository launch,2015,EPDItaly programme launch,2015,Historical release,None recorded in verified milestone set,ECO Platform recognition,https://www.epditaly.it/en/2025/12/11/ten-years-of-epditaly-a-program-that-set-a-precedent/ | https://www.epditaly.it/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
