evidence_id,asset_id,source_title,publisher_maintainer,url_or_file,source_type,access_date,supported_fields,evidence_excerpt,source_reliability,access_restriction,publicly_accessed,notes
EVD-0076,LCA-FMT-0008,PACT Technical Specifications,WBCSD / PACT,https://wbcsd.github.io/data-exchange-protocol/,Official technical specification index,2026-08-22,Identity; owner; versions; data model; API; methodology relationship; releases,"PACT publishes current and archived product-carbon-footprint data models, OpenAPI schemas and REST exchange specifications.",A — standards owner official repository,None for public specification,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0077,LCA-STD-0007,ISO 14044:2006 catalogue record,International Organization for Standardization,https://www.iso.org/standard/38498.html,Official standards catalogue,2026-08-22,Identity; status; edition; confirmation; amendments; scope; governance,"ISO lists the first 2006 edition as published and current after 2022 confirmation, with amendments from 2017 and 2020.",A — standards owner official catalogue,Full standard requires purchase; not accessed,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0078,LCA-MTH-0011,LCA resources at CML-IE,Leiden University / CML,https://web.universiteitleiden.nl/cml/ssp/projects/lca2/,Official archival method page,2026-08-22,Identity; owner; factors; guide; review; access,CML's official archival site provides LCA guide and characterisation-factor resources and notes internal and external review.,B — owner archival page,Current release/licence metadata incomplete,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0079,LCA-MTH-0012,GLAM — Global LCIA Method,UNEP-hosted Life Cycle Initiative,https://www.lifecycleinitiative.org/activities/life-cycle-assessment-data-and-methods/global-guidance-for-life-cycle-impact-assessment-indicators-and-methods-glam/,Official programme/method page,2026-08-22,Identity; owner; version; scope; factors; governance; access; maintenance,"GLAM 1.0.2024.10 is a public consensus-based global LCIA method with midpoint/damage factors, normalization and weighting, now under stewardship.",A — programme owner official page,File-level licence to be confirmed,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0080,LCA-QA-0002,Guidance on Data Quality Assessment for Life Cycle Inventory Data,US EPA,https://cfpub.epa.gov/si/si_public_record_report.cfm?Lab=NRMRL&dirEntryId=321834,Official government report record,2026-08-22,Identity; owner; report number; date; indicators; scope; purpose; access,EPA/600/R-16/096 defines flow- and unit-process-level pedigree indicators to support reproducible LCI data-quality assessment.,A — government owner official record,None for public report,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0081,LCA-QA-0003,Commission Recommendation (EU) 2021/2279 on Environmental Footprint methods,European Commission,https://op.europa.eu/en/publication-detail/-/publication/867f763f-01d7-11ed-acce-01aa75ed71a1,Official EU publication,2026-08-22,Identity; owner; date; method basis; access; DQR framework,The public Commission Recommendation establishes the Environmental Footprint methods and their data-quality requirements for products and organisations.,A — government/owner official publication,None for public publication,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0082,LCA-NET-0005,"Life Cycle Initiative mission, vision and approach",UNEP-hosted Life Cycle Initiative,https://www.lifecycleinitiative.org/about/our-mission-vision-and-approach/,Official programme page,2026-08-22,Identity; owner; history; governance; mission; scope; strategy,The initiative is a UNEP-hosted global partnership launched with SETAC in 2002 to advance and disseminate life-cycle knowledge.,A — programme owner official page,None for public programme metadata,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0083,LCA-SW-0010,LCA as Code product and download page,LCA as Code,https://lca-as-code.com/,Official software page,2026-08-22,Identity; purpose; version; access; features; formats; users,LCA as Code provides a domain-specific language and IDE for parameterized LCA models and lists version 1.7.12 with major import/export formats.,A — owner/maintainer official page,Full licence and commercial deployment terms unclear,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0084,LCA-FMT-0009,LCAx schema and source repository,LCAx contributors,https://github.com/ocni-dtu/lcax,Official source repository,2026-08-22,Identity; purpose; schema; licence; tests; language implementations,"The repository defines an Apache-2.0 open LCA exchange format with JSON schema, validation schema and tests.",A — official source repository,None for public schema/source,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0085,LCA-SW-0011,LCAx documentation,LCAx contributors,https://docs.lcax.org/,Official software documentation,2026-08-22,Identity; toolkit functions; languages; conversion; validation; calculation,"The documentation presents a multi-language toolkit implementing common-format exchange, conversion, validation, impact analysis and EPD support.",A — official project documentation,None for public source/docs,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0086,LCA-SW-0012,LCIA Formatter source and paper,Federal LCA Commons / US EPA-supported team,https://github.com/FLCAC-admin/LCIAformatter,Official source repository,2026-08-22,Identity; purpose; source; mappings; outputs; governance; QA,"LCIA Formatter transparently acquires source methods, maps them to FEDEFL and exports interoperable LCIA datasets for the federal LCA ecosystem.",A — official government ecosystem repository,None for public source,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0087,LCA-SW-0013,soda4LCA project overview,soda4LCA maintainers,https://soda4lca.io/,Official software page,2026-08-22,Identity; purpose; format; API; federation; open-source status; maintenance,The project describes a web database and REST service for ILCD LCI/LCIA data whose nodes can be federated for search.,A — maintainer official page,Node-specific credentials and terms vary,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0088,LCA-SW-0014,premise source and current documentation,premise contributors,https://github.com/polca/premise,Official source repository,2026-08-22,Identity; purpose; dependencies; versions; scenarios; limits; reproducibility,"premise is a Python tool that transforms ecoinvent with IAM scenarios; the project documents supported versions, sector scope and reproducibility dependencies.",A — official source repository,ecoinvent licence and some IAM scenario keys are separate; not accessed,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0089,LCA-DB-0024,OpenIO-Canada project and repository,CIRAIG,https://github.com/CIRAIG/OpenIO-Canada,Official source repository,2026-08-22,Identity; owner; purpose; geography; classifications; versions; access,The repository builds Canadian symmetric environmentally extended input-output tables and lists OpenIO v2.11 as the latest release.,A — project official repository,None for public source; source-data terms require review,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0090,LCA-DB-0025,PSILCA official database overview,GreenDelta,https://psilca.net/,Official database page,2026-08-22,Identity; owner; version; geography; sectors; indicators; variants; access; QA,The provider describes PSILCA 4.0 as a global Social-LCA database with 189-country MRIO coverage and three commercial variants.,A — owner/maintainer official page,Commercial licence; not accessed,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0091,LCA-DB-0026,Social Hotspots Database official site,Social Hotspots Database,https://www.socialhotspot.org/,Official database page,2026-08-22,Identity; purpose; users; software access; commercial model,"SHDB is presented as a global social-risk database used with LCA software for social footprints, due diligence and hotspot analysis.",A — owner/maintainer official page,Commercial licence; detailed public metadata incomplete,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0092,LCA-MTH-0013,PACT Methodology Version 3.0,WBCSD / PACT,https://wbcsd.github.io/tr/methodology/3.0/pact-methodology-v3.0.pdf,Official methodology,2026-08-22,Identity; owner; version; scope; standards basis; access; governance,Version 3 is public cross-sector guidance for accurate and transparent product-carbon calculations and underpins the PACT exchange specification.,A — method owner official release,None for public document,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0093,LCA-PLT-0003,BONSAI platform and foundation,BONSAI association,https://bonsai.uno/,Official platform page,2026-08-22,Identity; governance; scope; access; data/software licences; API; mission,"BONSAI provides open product footprints, data downloads, public API and MIT-licensed software under a not-for-profit association.",A — owner/maintainer official page,None for public platform and downloads,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0094,LCA-DB-0027,BONSAI database download,BONSAI association,https://www.bonsai.uno/download,Official database download page,2026-08-22,Identity; access; release status; scope; features; licence context,"The BONSAI download page presents the first open database release with supply-use, production-function and waste-modelling features.",A — owner/maintainer official page,None for public download,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0095,LCA-MTH-0014,Catena-X further guidance documents for PCF,Catena-X Automotive Network,https://catena-x.net/further-guidance-documents-for-pcf/,Official standards/guidance library,2026-08-22,Identity; owner; current release; scope; supporting modules; access,"The library publishes current PCF calculation guidance and related DQR, data-model, allocation, recycling and logistics documents dated July 2026.",A — owner/maintainer official page,None for public downloads,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0096,LCA-QA-0004,Catena-X Data Quality Rating Guidance,Catena-X Automotive Network,https://catena-x.net/further-guidance-documents-for-pcf/,Official guidance library,2026-08-22,Identity; indicators; scope; release date; access,"The official library describes DQR guidance using technological, geographical and temporal representativeness indicators for PCF data.",A — owner/maintainer official page,None for public download,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0097,LCA-FMT-0010,Catena-X PCF Data Model Guidance,Catena-X Automotive Network,https://catena-x.net/further-guidance-documents-for-pcf/,Official data-model guidance,2026-08-22,Identity; purpose; attributes; lifecycle; release; access,The guidance defines the functional PCF data model and lifecycle/time-period attributes for Catena-X exchange.,A — owner/maintainer official page,None for public guidance,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0098,LCA-MTH-0015,TfS PCF Guideline,Together for Sustainability,https://www.tfs-initiative.com/pcf-guideline,Official programme/guideline page,2026-08-22,Identity; owner; version; sector; languages; access; governance; related assets,TfS publishes an open chemical-sector Product Carbon Footprint Guideline v3.0 and linked reporting and verification resources.,A — owner/maintainer official page,None for public downloads,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0099,LCA-FMT-0011,TfS PCF Data Model,Together for Sustainability,https://www.tfs-initiative.com/pcf-guideline,Official data-model page,2026-08-22,Identity; owner; purpose; fields; nomenclature; access; relation to method,"TfS publishes a separate technical model describing how chemical PCFs are reported through data fields, nomenclature and formatting.",A — owner/maintainer official page,None for public download,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0100,LCA-QA-0005,TfS PCF Verification and Program Certification Framework,Together for Sustainability,https://www.tfs-initiative.com/pcf-guideline,Official verification-framework page,2026-08-22,Identity; owner; version; scope; roles; purpose; access,"Framework v2 defines a scalable system for PCF verification, programme certification and appointment of trusted verifiers and certifiers.",A — owner/maintainer official page,Operational appointment/certification is controlled,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0101,LCA-NET-0006,About the Plastic Footprint Network,Plastic Footprint Network,https://www.plasticfootprint.earth/about/,Official network page,2026-08-22,Identity; convener; history; purpose; scope; relationship to method,PFN emerged to harmonize plastic-pollution assessment and mitigation methods and is convened by EA – Earth Action.,A — network official page,None for public metadata,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0102,LCA-MTH-0016,PFN Assessment Methodology,Plastic Footprint Network,https://www.plasticfootprint.earth/assessment-methodology/,Official methodology library,2026-08-22,Identity; scope; modules; users; governance; access; maturity,"The library provides strategic and technical modules for plastic leakage and impact assessment, including downloadable calculation spreadsheets.",A — method owner official page,Some modules remain under consultation,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0103,LCA-MTH-0017,IPCC AR6 WGI Chapter 7 and supplementary emission metrics,Intergovernmental Panel on Climate Change,https://www.ipcc.ch/report/ar6/wg1/chapter/chapter-7/,Official scientific assessment,2026-08-22,Identity; owner; metric definitions; current report; factors; review; access,AR6 Working Group I documents GWP and GTP metrics and provides current gas-specific characterization values and time horizons.,A — authoritative assessment owner,None for public report,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0104,LCA-SW-0006,Lavoisier source repository,Lavoisier project maintainers,https://github.com/JosePauloSavioli/Lavoisier,Official source repository,2026-08-22,Identity; purpose; formats; installation; API; licence; maintenance statement; governance support,"The repository describes a GPL-3.0 Python library for bidirectional EcoSpold 2 and ILCD 1 conversion, including tests, documentation and optional API dependencies.",A — official source repository,None observed for public source and documentation,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0105,LCA-DB-0028,European Commission Environmental Footprint Data Node,European Commission Joint Research Centre,https://eplca.jrc.ec.europa.eu/EF-node/index.xhtml,Government data node,2026-08-22,Identity; owner; stocks; versions; data types; formats; public access; method linkage,"The official node publishes EF 2.0 and EF 3.1 representative-product and background-process stocks with public browse, ZIP and XML access.",A — owner/operator official data node,Dataset-level rights and validity conditions vary,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0106,LCA-REP-0004,International EPD System Data Hub,EPD International AB,https://data.environdec.com/index.xhtml,Official programme data node,2026-08-22,Identity; operator; stocks; node software; public access; content type,The public International EPD System hub lists five digital-EPD/reference data stocks and identifies its soda4LCA deployment.,A — operator official data node,Programme and declaration-level terms apply,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0107,LCA-DB-0029,Embodied Carbon — the ICE Database,Circular Ecology,https://circularecology.com/embodied-carbon-footprint-database.html,Official database page,2026-08-22,Identity; owner; current version; scope; access; licence; transition; version history,"ICE Educational v5.0 was released in June 2026 for educational use, covers more than 200 construction materials and replaces professional ICE use with the licensed IC+ route.",A — owner/maintainer official page,Download form required; educational-only use; form not submitted,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0108,LCA-DB-0030,ESU World Food Database,ESU-services Ltd.,https://esu-services.ch/data/fooddata/,Official database page,2026-08-22,Identity; owner; scope; dataset count; background; formats; uncertainty; access; price,"The official page describes more than 2,600 transparent food LCIs using BAFU:2025+ESU backgrounds, distributed commercially in EcoSpold v1 and SimaPro forms.",A — owner/maintainer official page,Commercial purchase or request required; not used,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0109,LCA-DB-0031,Open Source LCA Database for Footwear & Apparel,"Carbonfact / Kanso, Inc.",https://www.carbonfact.com/database,Official database page,2026-08-22,Identity; owner; scope; dataset counts; indicators; licence; format; QA; geography; updates,"The first release offers 300+ disaggregated LCIs and 4,800+ PEFCR impact scores as CSV under CC BY-SA 4.0, initially using a global energy mix.",A — owner/maintainer official page,None stated for public database; share-alike licence applies,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0110,LCA-DB-0032,CEPE LCI Project,CEPE,https://cepe.org/sustainability/lci-project/,Official industry database page,2026-08-22,Identity; owner; scope; dataset count; geography; formats; maintenance; access,"CEPE's second database version covers 323 European-average raw materials, is regularly updated and is distributed in GaBi, SimaPro and Excel under member access controls.",A — owner/maintainer official page,"CEPE membership, valid ecoinvent licence and NDA/access process required",Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0111,LCA-DB-0033,Open CEDA by Watershed,AWS Registry of Open Data / Watershed Technology,https://registry.opendata.aws/open-ceda/,Official public-data registry record,2026-08-22,Identity; owner; version; coverage; base year; licence; format; access; update frequency,"Open CEDA 2025 is a CC BY-SA global MR-EEIO model with 148-country and 400-sector coverage, distributed as XLSX through a no-account public S3 bucket.",A — maintainer-managed public-data registry,None for public download; CC BY-SA applies,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0112,LCA-DB-0034,NEEDS in openLCA,GreenDelta,https://nexus.openlca.org/ws/files/9971,Official distributor technical note,2026-08-22,Identity; scope; scenarios; process counts; formats; conversion; QA issues; distribution,"The 2017 note documents NEEDS version 2 with 794 system and 139 unit processes for future electricity, materials and transport scenarios, plus openLCA conversion corrections.",B — official distributor technical documentation,Nexus registration required for database download; current licence not publicly confirmed,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0113,LCA-REP-0005,Life Cycle Inventory Library,Textile Exchange,https://textileexchange.org/lci-library/,Official sector repository page,2026-08-22,Identity; owner; partner; scope; access; update frequency; QA; limitations; use cases,"The library provides open textile-sector LCI inputs for raw-material production and initial processing, with biannual updates and completeness checks but no data verification.",A — owner/operator official page,Dataset-level source permissions and terms require checking,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0114,LCA-SW-0015,2050 Materials Sustainability Data API,2050 Materials,https://2050-materials.com/sustainability-data-api/,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,"The provider documents an API aggregating construction EPDs, declarations and factors, with product/material/matching endpoints and plan-specific access.",A — owner/maintainer or authoritative public source,API access requires account and plan,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0115,LCA-SW-0016,Climatiq Carbon Intelligence Platform,Climatiq,https://www.climatiq.io/,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,"Climatiq publicly documents PCF Studio, Data Studio and a REST API backed by a large multi-source emission-factor catalogue.",A — owner/maintainer or authoritative public source,Use requires an account or commercial plan,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0116,LCA-SW-0017,Higg Index,Cascale; exclusively delivered on Worldly,https://cascale.org/tools-programs/higg-index-tools/,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,Cascale identifies five Higg tools and distinguishes the Higg PM/MSI product modules; access is exclusively through Worldly.,A — owner/maintainer or authoritative public source,Subscription/account required for tool use,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0117,LCA-SW-0018,Makersite,Makersite GmbH,https://makersite.io/,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,"The provider presents Makersite as product-lifecycle intelligence software for automated LCA, PCF, EPD, Scope 3 and design decisions.",A — owner/maintainer or authoritative public source,Commercial use requires agreement,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0118,LCA-SW-0019,EOS — Environmental Operating System,Eaternity,https://eaternity.org/,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,"Eaternity describes EOS as an open-source platform for reproducible LCA of ingredients, meals, food systems and diets, with public documentation and repository links.",A — owner/maintainer or authoritative public source,Commercial products and hosted functions have separate terms,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0119,LCA-SW-0020,Matter PD,EarthShift Global,https://earthshiftglobal.com/matter-pd/,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,"EarthShift Global documents cloud product-design LCA with ecoinvent, multiple impact categories, Monte Carlo analysis and a paid account model.",A — owner/maintainer or authoritative public source,Account and subscription required,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0120,LCA-SW-0021,PackageSmart,EarthShift Global,https://earthshiftglobal.com/packagesmart,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,"The provider describes a cloud packaging LCA tool with scenario/comparative analysis and more than 8,000 internationally verified datasets.",A — owner/maintainer or authoritative public source,Commercial/account access,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0121,LCA-SW-0022,PIQET,PIQET service team,https://piqet.com/,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,PIQET's public site identifies a cloud packaging LCA service using ecoinvent and updated data to compare environmental impacts.,A — owner/maintainer or authoritative public source,Account/licence required,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0122,LCA-SW-0023,Real-Time LCA,Real-Time LCA,https://docs.realtimelca.com/,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,"Public documentation defines Real-Time LCA as a platform for embodied and operational carbon with projects, libraries and integrations.",B — authoritative distributor/project documentation,Account activation required for tool use,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0123,LCA-SW-0024,VoLCA,VoLCA maintainers,https://www.volca.run/,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,"VoLCA publicly documents imports, LCIA, checked exports and browser/desktop/self-host/API/Python/CLI/MCP access with an open-source engine.",A — owner/maintainer or authoritative public source,None for public metadata,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0124,LCA-SW-0025,Capillar Sustainable Cloud,Capillar,https://www.lcapillar.com/,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,"The official site describes Capillar as a one-stop cloud service for product LCA/PCF from data collection and modelling through analysis, scenarios, audit and reports.",A — owner/maintainer or authoritative public source,Trial/account required,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0125,LCA-SW-0026,EcoSemantic,EcoSemantic,https://docs.ecosemantic.com/,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,"Public docs identify an MCP server and visual LCA workspace with search, calculation, validation, graph and hotspot tools backed by ecoinvent.",A — owner/maintainer or authoritative public source,Account/credits and eligible client plan required,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0126,LCA-SW-0027,LCA CARE Tool,EU project 101139959 consortium,https://lca-care.eu/lca-care-tool/,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,"The project describes a free cloud tool for agri-food SMEs covering life-cycle assessment, process flowcharts, benchmarks and scenarios.",B — authoritative distributor/project documentation,Hosted tool requires account,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0127,LCA-FMT-0012,IDTA Carbon Footprint Submodel Template,IDTA office and admin-shell-io repository,https://github.com/admin-shell-io/submodel-templates,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,IDTA's official repository lists Carbon Footprint v1.0.1 as a published submodel template and documents maintenance/deprecation rules.,A — owner/maintainer or authoritative public source,None for public metadata,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0128,LCA-PLT-0004,Digital Product Passport Vocabulary Hub,Vocabulary Hub / Semantic Treehouse maintainers,https://dpp.vocabulary-hub.eu/,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,"The hub publicly lists versioned, licensed DPP ontologies with graph/tree views and TTL exports, including an LCA module.",A — owner/maintainer or authoritative public source,None for public metadata,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0129,LCA-NOM-0008,EUDPP Core Ontology Life Cycle Assessment Module,EUDPP ontology contributors via DPP Vocabulary Hub,https://dpp.vocabulary-hub.eu/,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,The public hub lists an EUDPP LCA module v2.0.maki dated 2026-06-03 under Apache 2.0 with graph/tree and TTL export.,A — owner/maintainer or authoritative public source,None for public metadata,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0130,LCA-PLT-0005,GBDI Open Building Data Platform,GBDI consortium,https://www.gbdi.io/platform,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,"GBDI describes an open platform for global building whole-life carbon data, prospective LCA, benchmarking, openBDF exchange and API integration.",A — owner/maintainer or authoritative public source,Platform use requires sign-up,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0131,LCA-FMT-0013,open Building Data Format,GBDI technical community,https://www.gbdi.io/open-data-format,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,"GBDI defines openBDF as an open, global, documented building-data protocol using the LCAx schema and providing protocol, schema and Python/JSON integrations.",A — owner/maintainer or authoritative public source,None for public metadata,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0132,LCA-DB-0035,BATTERS Battery Recycling Inventory Database,BATTERS / WELOOP experts,https://www.batters.fr/en/battery-recycling-inventory/,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,"The provider documents purchasable system/unit inventories for five battery-recycling processes with configurable black-mass composition, electricity and allocation.",A — owner/maintainer or authoritative public source,Purchase/contact required,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0133,LCA-DB-0036,BioEnergieDat,Legacy project portal; dataset owners include KIT and partners,https://www.bioenergiedat.de/software.html,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,"The legacy project publicly documents its bioenergy database, ILCD ZIP/node distribution, openLCA integration and parameterized modelling functions.",B — authoritative distributor/project documentation,None for public metadata,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0134,LCA-DB-0037,CPM LCA Database,"Chalmers University of Technology, Environmental Systems Analysis",https://cpmdatabase.cpm.chalmers.se/AboutDatabase.htm,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,"Chalmers documents an open/free reviewed LCA database owned by the Swedish Life Cycle Center with SPINE, ISO/TS 14048-compatible and ILCD representations.",A — owner/maintainer or authoritative public source,None for public metadata,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0135,LCA-DB-0038,ERASM Surfactant Life Cycle and Ecofootprinting Inventory,ERASM member-company collaboration,https://www.erasm.org/wp-content/uploads/2017/08/170727-SLE-Summary-Paper-IJLCA-1.pdf,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,"ERASM's public paper and fact sheets document 15 surfactants and 17 precursors, 2011 European production data, ISO/ILCD methods and external review.",A — owner/maintainer or authoritative public source,None for public metadata,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0136,LCA-DB-0039,CODDE Database,Bureau Veritas CODDE,https://codde.fr/evenement/eime-nouvelle-base-codde-2026-04,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,"Bureau Veritas announces CODDE 2026-04 with more than 2,000 updates, 352 new records and new microelectronics/digital sector databases in EIME.",A — owner/maintainer or authoritative public source,EIME licence required,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0137,LCA-DB-0040,IDEMAT Database,eco-costs/value maintainers,https://www.ecocostsvalue.com/data-tools-books/,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,The maintainer publishes a 2026 revision of Idemat data in Excel and LCA-software forms with multiple impact and engineering indicators.,B — authoritative distributor/project documentation,None for public metadata,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0138,LCA-DB-0041,POLARIIS+,CIRAIG / POLARIIS+ collaboration,https://ciraig.org/index.php/project/polariis-en/,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,"CIRAIG describes POLARIIS+ as a 2026 Canadian reference database/infrastructure building on public food, housing and hygiene datasets and expanding to all major sectors.",A — owner/maintainer or authoritative public source,None for public metadata,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0139,LCA-DB-0042,Evah Pigments and Dyes LCI Databases,Evah Associates,https://evah.institute/services,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,"Evah publicly lists inorganic and organic pigment/dye LCI databases, free-for-study and commercial distribution, and plug-ins for major LCA software.",B — authoritative distributor/project documentation,None for public metadata,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0140,LCA-DB-0043,EuGeos 15804-IA Database,Distributed historically through openLCA Nexus,https://nexus.openlca.org/ws/files/19559,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,Public distributor documentation identifies EuGeos 15804-IA as an ecoinvent extension for EN 15804 indicators and records its later comparison/succession by GreenDelta's add-on.,B — authoritative distributor/project documentation,Package requires ecoinvent/Nexus rights,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0141,LCA-NOM-0007,IUPAC International Chemical Identifier,InChI Trust,https://www.inchi-trust.org/about-the-inchi-standard/,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,"InChI Trust defines InChI and InChIKey as open, machine-readable chemical identifiers developed with IUPAC for interoperable database linking.",A — owner/maintainer or authoritative public source,None for public metadata,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0142,LCA-NOM-0009,PubChem Chemical Identifier System and Identifier Exchange Service,PubChem,https://pubchem.ncbi.nlm.nih.gov/docs/identifier-exchange-service,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,"PubChem documents public conversion among CID, SID, InChI, InChIKey, SMILES, registry IDs and synonyms, with REST/RDF services.",A — owner/maintainer or authoritative public source,None for public metadata,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0143,LCA-NOM-0010,SMILES Chemical Line Notation,Daylight for original specification; distributed implementer community,https://www.daylight.com/smiles/,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,Daylight publicly documents SMILES as a character-string language for molecular and reaction structure; interoperability depends on dialect and canonicalization rules.,B — authoritative distributor/project documentation,None for public metadata,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0144,LCA-SW-0028,Brightway Firefly,Eaternity open-source team,https://brightway.eaternity.ch/,Official product or technical page,2026-08-22,Identity; owner; scope; access; functions; version/maintenance,"The public Firefly site presents a modern open-source LCA interface with activity search, exchange editing, multiple impact methods and Brightway-based calculations.",A — owner/maintainer or authoritative public source,None for public web application and source metadata,Yes,"No registration, login, purchase or restricted-content download was used."
