organization_id,preferred_label,entity_type,normalization_status
ORG-0340,"TianGong LCA research team, Tsinghua University",University / research institution,Actor and role resolved from reviewed public evidence
ORG-0341,TianGong platform developers,Not typed in this review,Exact public label
ORG-0342,TianGong project / Carbon Footprint Industry Alliance ecosystem,Not typed in this review,Composite public label—review before splitting
ORG-0343,TIDAS development community,Not typed in this review,Exact public label
ORG-0344,tishchungoora/lca-ontology repository maintainer,Not typed in this review,Composite public label—review before splitting
ORG-0345,Together for Sustainability,Not typed in this review,Exact public label
ORG-0346,Trace One,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0347,Trayak,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0348,Tsinghua University,University / research institution,Actor and role resolved from reviewed public evidence
ORG-0349,U.S. Department of Energy,Public body,Actor and role resolved from reviewed public evidence
ORG-0350,U.S. Department of Energy / National Laboratory of the Rockies,Not typed in this review,Composite public label—review before splitting
ORG-0351,U.S. Environmental Protection Agency,Public body,Actor and role resolved from reviewed public evidence
ORG-0352,U.S. Federal LCA Commons agencies,Not typed in this review,Exact public label
ORG-0353,U.S. Federal LCA Commons partners,Not typed in this review,Exact public label
ORG-0354,Uhuru Corporation,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0355,UNEP-hosted Life Cycle Initiative,Not typed in this review,Exact public label
ORG-0356,United Nations Environment Programme,Not typed in this review,Exact public label
ORG-0357,United States Environmental Protection Agency,Not typed in this review,Exact public label
ORG-0358,University of Kassel authors / BBSR-funded project,Not typed in this review,Composite public label—review before splitting
ORG-0359,University of Oxford,University / research institution,Actor and role resolved from reviewed public evidence
ORG-0360,University of Oxford / HESTIA project,Not typed in this review,Composite public label—review before splitting
ORG-0361,University of Sheffield,University / research institution,Actor and role resolved from reviewed public evidence
ORG-0362,US Environmental Protection Agency,Not typed in this review,Exact public label
ORG-0363,US EPA Office of Research and Development,Not typed in this review,Composite public label—review before splitting
ORG-0364,US EPA research programme,Not typed in this review,Exact public label
ORG-0365,US EPA research team,Not typed in this review,Exact public label
ORG-0366,US National Library of Medicine / National Center for Biotechnology Information,Not typed in this review,Composite public label—review before splitting
ORG-0367,USDA National Agricultural Library with collaborating federal agencies,Not typed in this review,Exact public label
ORG-0368,VERSO GmbH,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0369,Vocabulary Hub / Semantic Treehouse maintainers,Not typed in this review,Composite public label—review before splitting
ORG-0370,Walloon Agricultural Research Centre (CRA-W),University / research institution,Actor and role resolved from reviewed public evidence
ORG-0371,WAP Sustainability,Not typed in this review,Exact public label
ORG-0372,"WAP Sustainability, LLC",Company,Actor and role resolved from reviewed public evidence
ORG-0373,Watershed Technology,Not typed in this review,Exact public label
ORG-0374,WeCarbon Technology Ltd,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0375,World Business Council for Sustainable Development,Not typed in this review,Exact public label
ORG-0376,World Resources Institute and World Business Council for Sustainable Development,Not typed in this review,Composite public label—review before splitting
ORG-0377,World Steel Association,Not typed in this review,Exact public label
ORG-0378,Worldly,Company,Actor and role resolved from reviewed public evidence
ORG-0379,worldsteel,Not typed in this review,Exact public label
ORG-0380,Wormhole Technologies Inc.,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0381,WP1 led by ADEME within the FOODTURE consortium,Not typed in this review,Exact public label
ORG-0382,WULCA,Not typed in this review,Exact public label
ORG-0383,WULCA working group / UNEP-SETAC Life Cycle Initiative community,Not typed in this review,Composite public label—review before splitting
ORG-0384,"Yantai Haiyi Software Co., Ltd.",Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0385,YuzeData Inc.,Company,Company identity resolved from official company publication
