scope_record_id,asset_id,official_name,current_asset_type,scope_class,working_count_status,extended_data_bearing_count,lifecycle_status,owner,owner_country_countries,developer_country_countries,geographic_data_coverage,sector_scope,first_release_year,current_version,latest_release_date,metadata_access,data_access,open_data_status,source_code_openness,registration,fee,licence_identifier_terms,redistribution_rights,canonical_access_download_url,schema_data_model,formats,software_compatibility,evidence_urls,evidence_as_of,information_status,scope_evidence_note
DBS-0029,LCA-DB-0030,ESU World Food LCA Database,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active; developed since 1996,ESU-services Ltd.,Switzerland,Switzerland,Worldwide with detailed Swiss-market coverage,"More than 2,600 LCIs for agriculture, processing, retail/household consumption, packaging, transport and food waste",Not publicly confirmed,Continuously maintained database using BAFU:2025+ESU background at access date,Not publicly confirmed,Public metadata page,Commercial or licence-restricted,Commercial/proprietary,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,Fee or commercial licence applies,Commercial ESU licence,Not publicly confirmed,https://esu-services.ch/data/fooddata/,Not publicly confirmed,EcoSpold v1; SimaPro library; other formats on request,EcoSpold v1 and SimaPro,https://esu-services.ch/data/fooddata/ | https://esu-services.ch/fileadmin/download/tender/ESU-partner-profile.pdf,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0030,LCA-DB-0031,Carbonfact Open Source LCA Database for Footwear & Apparel,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active with irregular data-driven updates,"Kanso, Inc. / Carbonfact",United States (legal entity); France (headquarters/development),France; United States,Global energy mix in first release; regional assembly data planned,"More than 300 LCIs across spinning, dyeing, weaving, finishing, printing, knitting, textile/shoe assembly, use phase and selected materials",2026,First public release,2026-07-01,Public metadata page,Public free CSV download from the official database page and Zenodo/GitHub release,Open licence confirmed for at least one official distribution,Not applicable to data rights; related software/code must be assessed separately,Not required,No fee,CC BY-SA 4.0,Permitted under CC BY-SA 4.0 with attribution/share-alike,https://www.carbonfact.com/database,Not publicly confirmed,CSV,CSV; future EcoSpold/openLCA/SimaPro/Brightway support stated as exploratory,https://www.carbonfact.com/database | https://www.carbonfact.com/legal-notice,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0031,LCA-DB-0032,CEPE Life Cycle Inventory Database,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active/regularly updated according to CEPE,"European Council of the Paint, Printing Ink and Artists' Colours Industry (CEPE)",Belgium,Belgium; European member companies,European averages,"Paints, printing inks, artists' colours and coatings; second version states 323 raw materials",2011 project,Second version,Exact public release date not confirmed,Public metadata page,Request- or membership-mediated,Request/membership-mediated,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,Not publicly confirmed,"Membership, valid ecoinvent licence and NDA conditions",Not publicly confirmed,https://cepe.org/sustainability/lci-project/,Not publicly confirmed,"GaBi, SimaPro and Excel","GaBi/Sphera, SimaPro and Excel",https://cepe.org/sustainability/lci-project/ | https://cepe.org/sustainability/how-to-access-the-database/ | https://cepe.org/sustainability/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0032,LCA-DB-0033,Open CEDA,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active; annual updates stated,Watershed Technology,United States,United States,148 countries representing 95% of global GDP as stated,400 economic sectors and global supply-chain greenhouse-gas intensities,2025,CEDA 2025,2025,Public metadata page,Open CEDA offered free by Watershed; access route may collect account/contact details,Open licence confirmed for at least one official distribution,Not applicable to data rights; related software/code must be assessed separately,Required or account-gated,No fee stated for at least one access route,CC BY-SA,Permitted under CC BY-SA with attribution/share-alike,https://openceda.org/,Not publicly confirmed,XLSX,XLSX and standard tabular analysis tools,https://registry.opendata.aws/open-ceda/ | https://openceda.org/ | https://watershed.com/solutions/ceda,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0033,LCA-DB-0034,NEEDS Life Cycle Inventory Database,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Legacy / no current project maintenance confirmed,European Commission-funded NEEDS project consortium,European Union-funded consortium,Multiple European countries,International/European technology scenarios,"Electricity supply technologies, future material supply and transport services",NEEDS project 2004–2008,openLCA conversion v2,2017-01-17,Public metadata page,Free or mixed access; registration required,"Free access with registration, use restrictions, or third-party dependency",Not applicable to data rights; related software/code must be assessed separately,Required or account-gated,No fee stated for at least one access route,Not publicly confirmed on the accessible documentation,Not publicly confirmed,https://nexus.openlca.org/database/NEEDS,Not publicly confirmed,Original EcoSpold 1; openLCA zolca/JSON-LD workflow,zolca and JSON-LD in openLCA; original EcoSpold 1,https://nexus.openlca.org/ws/files/9971 | https://nexus.openlca.org/database/NEEDS | https://cordis.europa.eu/project/id/502687,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0034,LCA-DB-0035,BATTERS Battery Recycling Inventory Database,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active,BATTERS,France,France,Configurable electricity/geography; European regulatory context,Lithium-ion battery recycling and recovered metals,2026,January 2026 release,2026-01,Public metadata page,Commercial or licence-restricted,Commercial/proprietary,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,Fee or commercial licence applies,Commercial purchase/licence,Not publicly confirmed,https://www.batters.fr/en/battery-recycling-inventory/,Not publicly confirmed,"Packages compatible with LCA for Experts, SimaPro and openLCA","LCA for Experts, SimaPro and openLCA",https://www.batters.fr/en/battery-recycling-inventory/ | https://www.weloop.org/contact/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0035,LCA-DB-0036,BioEnergieDat,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Legacy; public portal remains partly accessible,BioEnergieDat project consortium,Germany,Germany,Germany,"Biomass supply, biofuels, biogas and bioenergy conversion",Project completed 2013,Legacy ILCD dataset family,2013 project completion,Public metadata page,Publicly accessible or free-of-charge,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,Not required for stated public access,No fee stated for at least one access route,Dataset pages state copyright/owner fields; collection-level licence incomplete,Not publicly confirmed,https://www.bioenergiedat.de/software.html,Not publicly confirmed,ILCD ZIP and ILCD network services,ILCD import to openLCA,https://www.bioenergiedat.de/software.html | https://bioenergiedat.de/documents/10156/24192/anleitung-openLCA.pdf,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0036,LCA-DB-0037,CPM LCA Database,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Legacy/project-dependent; no stable funding since 2006,Swedish Life Cycle Center,Sweden,Sweden,Sweden with dataset-specific industrial scope,"Industrial processes, products, materials and supply chains",1996,Legacy live database,Current at 2026-08-22,Public metadata page,Publicly accessible or free-of-charge,"Free access with registration, use restrictions, or third-party dependency",Not applicable to data rights; related software/code must be assessed separately,Not required for stated public access,No fee stated for at least one access route,Open/free under CPM licence agreement,Not publicly confirmed,https://cpmdatabase.cpm.chalmers.se/AboutDatabase.htm,Not publicly confirmed,"SPINE, ISO/TS 14048-compatible view, ILCD and IA98",SPINE and ILCD views; IA98,https://cpmdatabase.cpm.chalmers.se/AboutDatabase.htm | https://www.lifecyclecenter.se/about-us/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0037,LCA-DB-0038,ERASM Surfactant Life Cycle and Ecofootprinting Inventory,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Legacy/static public collection,ERASM,Belgium,Belgium; European industry contributors,European market averages,15 surfactants and 17 precursors for detergents and personal care,2017,SLE 2017,2017,Public metadata page,Publicly accessible or free-of-charge,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,Not required for stated public access,No fee stated for at least one access route,Open publications; dataset-level use terms require confirmation,Not publicly confirmed,https://www.erasm.org/erasm-research/manufacturing/rawmaterial-sourcing/life-cycle-ecofootprinting-sle/,Not publicly confirmed,ILCD-style node/distribution documented,Former thinkstep LCDN node and public fact sheets,https://www.erasm.org/wp-content/uploads/2017/08/170727-SLE-Summary-Paper-IJLCA-1.pdf | https://specialty-chemicals.eu/erasm/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0038,LCA-DB-0039,CODDE Database,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active; annual updates,LCIE Bureau Veritas,France,France,International with French/EU sector focus,"Generic, electromechanical, infrastructure, textile, microelectronics and digital data",1996,2026-04,2026-04-15,Public metadata page,Commercial or licence-restricted,Commercial/proprietary,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,Fee or commercial licence applies,Commercial EIME licence,Not publicly confirmed,https://codde.fr/evenement/eime-nouvelle-base-codde-2026-04,Not publicly confirmed,Integrated EIME database,EIME v6/current product family,https://codde.fr/evenement/eime-nouvelle-base-codde-2026-04 | https://codde.fr/en/contact-us/contact,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0039,LCA-DB-0040,IDEMAT Database,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active periodic releases,Sustainable Impact Metrics Foundation / Delft University of Technology lineage,Netherlands,Netherlands,Mainly European/international engineering materials,"Materials, manufacturing, transport, energy and building applications",Not publicly confirmed,Idemat 2026RevB1,2026,Public metadata page,Public academic/non-commercial downloads; other packages and dependencies have separate terms,"Free access with registration, use restrictions, or third-party dependency",Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,No fee for identified academic download; commercial use restricted,CC BY-NC stated for the Excel database; software/package-specific and ecoinvent terms may apply,Non-commercial licence restrictions apply,https://www.ecocostsvalue.com/data-tools-books/,Not publicly confirmed,"XLSX, SimaPro import and openLCA packages","Excel, SimaPro and openLCA",https://www.ecocostsvalue.com/data-tools-books/ | https://www.ecocostsvalue.com/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0040,LCA-DB-0041,POLARIIS+,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active development,CIRAIG Sustainable Consumption Chair,Canada,Canada,Canada and provinces,"All major consumption and production sectors; initial food, housing and hygiene datasets",Not publicly confirmed,2026 infrastructure release,2026,Public metadata page,Publicly accessible or free-of-charge,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,No fee stated for at least one access route,Dataset-level Zenodo licences; infrastructure terms not fully stated,Not publicly confirmed,https://ciraig.org/index.php/project/polariis-en/,Not publicly confirmed,Zenodo dataset packages; infrastructure schema not confirmed,Not publicly confirmed,https://ciraig.org/index.php/project/polariis-en/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0041,LCA-DB-0042,Evah Pigments and Dyes LCI Databases,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active provider; versioned package metadata incomplete,The Evah Institute / Ecquate Pty Ltd,Australia,Australia,Multiple global production regions,"Pigments, dyes, coatings and related chemicals",Not publicly confirmed,Current database family; historical Pigments release plus continuing 2026 programme,Not publicly confirmed,Public metadata page,Commercial or licence-restricted,Commercial/proprietary,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,Fee or commercial licence applies,Package-specific free/commercial licence,Not publicly confirmed,https://evah.institute/services,Not publicly confirmed,"openLCA, SimaPro and LCADesign plug-ins; Nexus packages","openLCA, SimaPro and LCADesign",https://evah.institute/services | https://evah.institute/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0042,LCA-DB-0043,EuGeos 15804-IA Database,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Legacy/superseded,EuGeos / Chris Foster,United Kingdom,United Kingdom,European construction/EPD context,Construction products and services,Not publicly confirmed,3.1 documented; later superseded in practice by openLCA EN15804 add-on,2016–2020 legacy versions,Public metadata page,Commercial or licence-restricted,Commercial/proprietary,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,Fee or commercial licence applies,Commercial/ecoinvent-dependent licence,Not publicly confirmed,https://nexus.openlca.org/database/EuGeos'%2015804-IA,Not publicly confirmed,openLCA database based on ecoinvent,Older openLCA releases,https://nexus.openlca.org/ws/files/19559 | https://www.openlca.org/wp-content/uploads/2022/02/documentation_EN15804-addon-in-openLCA_10022022.pdf | https://www.eugeos.co.uk/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0043,LCA-DB-0044,DeforestationFootprint.earth dataset and dashboard,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active; next update announced for September–October 2026,Chalmers University of Technology-led DeDuCE team,Sweden,Sweden; international research contributors,More than 180 countries,"Agriculture, forestry commodities, trade and consumption",First public year not confirmed,v2.1,2026-03-11,Public metadata page,Publicly accessible or free-of-charge,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,No fee stated for at least one access route,CC BY 4.0 for visualisations; dataset/code release licences apply,Not publicly confirmed,https://deforestationfootprint.earth/,Not publicly confirmed,Zenodo dataset packages and dashboard,Downloadable open data and code,https://deforestationfootprint.earth/about,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0044,LCA-DB-0045,FOODTURE European Food LCI Database,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active development; complete public release not yet confirmed,FOODTURE Horizon Europe consortium,European research consortium,Spain-coordinated; multiple European countries and Peru,European food market with selected imported systems and Latin American cases,"Agriculture, aquaculture, fisheries, processed foods, packaging, transport and consumption",2025 project start,In development; no database release,2025–2028 project,Public metadata page,Database not yet publicly released; future open-access outputs are stated for the 2025–2028 project,Not yet publicly released / under development,Not applicable to data rights; related software/code must be assessed separately,Not applicable before release,Not applicable before release,Future dataset licence not yet publicly confirmed,Not yet determined,https://foodture-project.eu/,Not publicly confirmed,Not yet publicly confirmed,Not yet publicly confirmed,https://foodture-project.eu/work-packages/ | https://foodture-project.eu/about/ | https://foodture-project.eu/partners/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0045,LCA-DB-0046,HiQLCD,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active,"Shanghai HiQ Smart Data Co., Ltd.",China,China,China; intended for international LCA and compliance use,"25+ major industries, including energy, materials, manufacturing, construction, transport and waste",Not publicly confirmed,Live platform; public release identifier not confirmed,Not publicly confirmed,Public metadata page,Free or mixed access; registration required,"Free access with registration, use restrictions, or third-party dependency",Not applicable to data rights; related software/code must be assessed separately,Required or account-gated,No fee stated for at least one access route,Not publicly confirmed at dataset level,Not publicly confirmed,https://www.hiq.earth/,Not publicly confirmed,ILCD-aligned data stated; exact export formats not publicly confirmed,Provider states ILCD alignment,https://www.hiq.earth/ | https://www.hiqlcd.com/about,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0046,LCA-DB-0047,Minviro Battery Materials Database,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active,Minviro Ltd,United Kingdom,United Kingdom; China; Australia,Provider states approximately 70% coverage of global supply chains for key anode and cathode materials,"Mining, refining, cathode/anode materials, cells, batteries, recycling and second life",Not publicly confirmed,Current integrated database; release identifier not public,Not publicly confirmed,Public metadata page,Commercial or licence-restricted,Commercial/proprietary,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,Fee or commercial licence applies,Commercial proprietary database,Not publicly confirmed,https://www.minviro.com/xycle,Not publicly confirmed,Integrated XYCLE content; public export format not confirmed,Native XYCLE integration,https://www.minviro.com/xycle | https://www.minviro.com/contact,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0047,LCA-DB-0048,OpenEPD Database,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active,"WAP Sustainability, LLC",United States,United States,Global EPD aggregation,Construction products and other EPD-covered products,Not publicly confirmed,"Live database; provider reports more than 400,000 records",Not publicly confirmed,Public metadata page,Subscription/account access to searchable and downloadable EPD records,Commercial/proprietary,Not applicable to data rights; related software/code must be assessed separately,Required,Subscription applies,Platform and upstream EPD rights,Platform and upstream EPD rights apply,https://www.openepddatabase.com/,Not publicly confirmed,openEPD,openEPD structured data,https://www.openepddatabase.com/ | https://wapsustainability.com/contact/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0048,LCA-DB-0049,Athena LCA Databases,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active,Athena Sustainable Materials Institute,Canada,Canada; United States,Canada and United States,"Construction materials, energy, transport, construction, maintenance and demolition",Not publicly confirmed,Maintained database family; public release identifier not confirmed,Not publicly confirmed,Public metadata page,Publicly accessible or free-of-charge,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,No fee stated for at least one access route,Not publicly confirmed for standalone reuse,Not publicly confirmed,https://www.athenasmi.org/our-software-data/lca-databases/,Not publicly confirmed,Embedded software databases; standalone format not public,Native Athena tools,https://www.athenasmi.org/our-software-data/lca-databases/ | https://www.athenasmi.org/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0049,LCA-DB-0050,European Aluminium Environmental Profile LCI datasets,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active periodic reporting,European Aluminium,Belgium,Belgium; European member companies,Europe,"Primary aluminium, recycling, rolling, foil, extrusion and related production",Not publicly confirmed,"Environmental Profile Report 2024, issued May 2025",Not publicly confirmed,Public metadata page,Publicly accessible or free-of-charge,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,No fee stated for at least one access route,Publication terms; dataset reuse conditions require review,Not publicly confirmed,https://european-aluminium.eu/blog/environmental-profile-reports/,Not publicly confirmed,PDF reports and tables; machine-readable package not confirmed,Used to update LCA databases; exact exchanges not public,https://european-aluminium.eu/blog/environmental-profile-reports/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0050,LCA-DB-0051,JLCA Database,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active member resource,LCA Society of Japan / LCA Japan Forum,Japan,Japan,Japan,Cross-sector industry data from more than 50 associations,Not publicly confirmed,Live member database; current release identifier not public,Not publicly confirmed,Public metadata page,Request- or membership-mediated,Request/membership-mediated,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,No fee stated for at least one access route,Member-use terms,Not publicly confirmed,https://www.lca-forum.org/database/,Not publicly confirmed,Member database; export formats not public,Public page states linked JLCA–IDEA cradle-to-gate data,https://www.lca-forum.org/database/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0051,LCA-DB-0052,MexiLCA,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active/emerging,MexiLCA initiative,Mexico,Mexico,Mexico,"Construction, agri-food, energy, water, waste, transport and manufacturing",Not publicly confirmed,Live platform; around 250 connected datasets stated,Not publicly confirmed,Public metadata page,Publicly described access for non-commercial use with attribution; release/package route requires record-level confirmation,"Free access with registration, use restrictions, or third-party dependency",Not applicable to data rights; related software/code must be assessed separately,Required or account-gated,No fee stated for permitted non-commercial use,Non-commercial use with attribution; dataset-level licences are stated to be recorded,Restricted by non-commercial and dataset-level terms,https://ciclodevida.mx/,Not publicly confirmed,ILCD and GLAD interoperability are stated; exact downloads not verified,"Compatibility with openLCA, SimaPro and Brightway is stated",https://ciclodevida.mx/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0052,LCA-DB-0053,EUROFER Stainless LCI Data,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active request-based distribution,The European Steel Association (EUROFER),Belgium,Belgium; European steel companies,Europe,Stainless steel flat coil and quarto plate,Not publicly confirmed,Current request-based dataset; page updated 2026-07-06,Public page updated 2026-07-06,Public metadata page,Request- or membership-mediated,Request/membership-mediated,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,No fee stated for at least one access route,Use conditions assigned through the request process,Not publicly confirmed,https://www.eurofer.eu/issues/eurofer-stainless-and-specialty-steel/life-cycle-inventory-lci-enquiries,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://www.eurofer.eu/issues/eurofer-stainless-and-specialty-steel/life-cycle-inventory-lci-enquiries,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0053,LCA-DB-0009,Banca Dati Italiana LCA,Platform / repository / network,Named national LCA database/node,Core working count,Yes,Active; 2024–2029 maintenance and development agreement reported,ENEA,Italy,Italy,Italy,"More than 180 datasets across 23 supply chains reported in 2024; node lists energy, construction, agri-food, wood/furniture and other project stocks",Not publicly confirmed,Continuously updated node,Not publicly confirmed,Public metadata page,Public metadata/node access; downloads may require registration,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,Required or account-gated,No fee stated for at least one access route,Node EULA; sampled dataset metadata states ODbL/free use,Sampled record is open-licensed; collection-wide rights require record-level confirmation,https://bancadatiitalianalca.enea.it/Node/index.xhtml?stock=BDILCA,ILCD,ILCD XML,Not publicly confirmed,https://bancadatiitalianalca.enea.it/Node/index.xhtml?stock=BDILCA | https://www.arcadia.enea.it/la-banca-dati.html,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,Corrects a type inconsistency: the asset has a database ID and an official database description.
DBS-0054,LCA-PLT-0002,HESTIA Data Platform,Platform / repository / network,Environmental production-data platform,Extended count only,Yes,Active,University of Oxford / HESTIA project,United Kingdom,United Kingdom; international contributors,100+ countries stated on the current official page,"Crops, livestock, aquaculture and processed food",2025,v1.2 latest / v1.0 open-access,2026-04-30,Public metadata page,All public HESTIA data downloadable without an account; public API requires no authentication,Open licence confirmed for at least one official distribution,Not applicable to data rights; related software/code must be assessed separately,Not required for public data,No fee for public data,CC BY 4.0 for public data,Permitted under CC BY 4.0 with attribution,https://www.hestia.earth/,Not publicly confirmed,"CSV, XLSX and JSON-LD",Not publicly confirmed,https://www.hestia.earth/ | https://www.hestia.earth/guide/guide-accessing-data/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Data-bearing platform relevant to LCA, but broader than an LCA database."
DBS-0055,LCA-REP-0004,International EPD System Data Hub,Platform / repository / network,Digital EPD data repository,Extended count only,Yes,Active,EPD International AB,Sweden,Sweden; declaration owners worldwide,International,Verified environmental product declarations and programme reference data across sectors,1998 programme/first EPD,Continuously updated Data Hub,Current at 2026-08-22,Public metadata page,Publicly accessible or free-of-charge,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,Not required for stated public access,No fee stated for at least one access route,International EPD System general terms and declaration-level rights,Not publicly confirmed,https://data.environdec.com/index.xhtml,Not publicly confirmed,ILCD+EPD/soda4LCA node representation,ILCD+EPD-oriented digital records,https://data.environdec.com/index.xhtml | https://www.environdec.com/resources/epd-resources-hub | https://www.environdec.com/service-agreement,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,Data-bearing declaration repository.
DBS-0056,LCA-REP-0005,Textile Exchange Life Cycle Inventory Library,Platform / repository / network,Sector LCI library,Extended count only,Yes,Active; biannual updates stated,Textile Exchange,United States,International contributors,Dataset-specific; raw-material producing regions,Textile/apparel/footwear raw-material production and initial processing,2024,Continuously updated LCI Library,Current at 2026-08-22,Public metadata page,Publicly accessible or free-of-charge,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,Not required for stated public access,No fee stated for at least one access route,Described as open-source/free use; dataset-level source permissions and terms require checking,Not publicly confirmed,https://textileexchange.org/lci-library/,Not publicly confirmed,Not publicly confirmed,Downloadable/extractable inventory data; exact current export schema requires capture,https://textileexchange.org/lci-library/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,Named reusable LCI collection currently typed as a repository.
DBS-0057,LCA-PLT-0005,GBDI Open Building Data Platform,Platform / repository / network,Building LCA data platform,Extended count only,Yes,Active,Global Building Data Initiative under GLOBE,Switzerland,Switzerland; Austria; international partners,"Global, with stated Global South inclusion",Buildings and construction portfolios,2025 beta,Open Building Data Platform Beta,2025-02-26,Public metadata page,Free or mixed access; registration required,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,Required or account-gated,No fee stated for at least one access route,Open-source/open-data orientation; platform terms apply,Not publicly confirmed,https://www.gbdi.io/platform,Not publicly confirmed,openBDF,openBDF and API integrations,https://www.gbdi.io/platform | https://www.gbdi.io/about,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,Data-bearing building platform.
DBS-0058,LCA-REP-0007,AssessCCUS,Platform / repository / network,Sector assessment-data repository,Extended count only,Yes,Active,International CCU Assessment Harmonization Group,United States,United States; international expert group,Global,"Carbon capture, utilization and storage",Not publicly confirmed,Live 2026 repository,Not publicly confirmed,Public metadata page,Publicly accessible or free-of-charge,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,No fee stated for at least one access route,Item-specific publication and tool licences,Not publicly confirmed,https://assessccus.globalco2initiative.org/,Not publicly confirmed,"Web pages, PDFs, videos and spreadsheets",Spreadsheet templates and external databases,https://assessccus.globalco2initiative.org/ | https://assessccus.globalco2initiative.org/contact/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,Public repository of CCUS life-cycle and techno-economic resources.
