software_record_id,asset_id,product_name,product_type,primary_function_id,primary_function,functional_capabilities,capabilities_original,unresolved_capability_labels,source_software_class,market_scope_status,owner,developer,operator_maintainer,actor_role_summary,role_assertion_count,unresolved_role_label_count,role_resolution_status,sector_scope,geographic_coverage,standard_associations,standard_association_basis,ecoinvent_directory_status,lifecycle_status,access_model,official_product_url,discovery_source,evidence_urls,confidence_level,classification_basis,reviewed_at
SWR-0036,LCA-SW-0036,Theta LCA Software,Sector-specific workflow application,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; EPD and environmental reporting; PCF data exchange and interoperability; Environmental data and calculation models,LCA; EPD workflow; Data exchange / conversion; Domain calculation model,,,"Existing broader LCA/PCF software, API, model, or workflow asset","WAP Sustainability, LLC","WAP Sustainability, LLC","WAP Sustainability, LLC","WAP Sustainability, LLC (owner); WAP Sustainability, LLC (developer); WAP Sustainability, LLC (operator/maintainer)",3,0,Evidence-linked actors resolved,"Manufactured products, especially construction and EPD markets",Global product and EPD workflows,,,,Active,Public launch documentation; commercial use conditions not fully public,https://wapsustainability.com/2025/10/13/wap-sustainability-launches-omnichannel-lca-amp-epd-platform-built-on-openepd/,Prior Global LCA Asset inventory,https://wapsustainability.com/2025/10/13/wap-sustainability-launches-omnichannel-lca-amp-epd-platform-built-on-openepd/ ; Not publicly confirmed,High,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0037,LCA-SW-0037,epd.world,Sector-specific workflow application,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; EPD and environmental reporting; PCF data exchange and interoperability,LCA; EPD workflow; Data exchange / conversion,,,"Existing broader LCA/PCF software, API, model, or workflow asset","WAP Sustainability, LLC","WAP Sustainability, LLC","WAP Sustainability, LLC","WAP Sustainability, LLC (owner); WAP Sustainability, LLC (developer); WAP Sustainability, LLC (operator/maintainer)",3,0,Evidence-linked actors resolved,Construction and other EPD-reporting product sectors,Global EPD workflows,,,,Active,Public overview; account/commercial conditions apply,https://epd.world/,Prior Global LCA Asset inventory,https://epd.world/ ; https://wapsustainability.com/2025/10/13/wap-sustainability-launches-omnichannel-lca-amp-epd-platform-built-on-openepd/ ; Not publicly confirmed,High,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0038,LCA-SW-0038,Umberto,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; EPD and environmental reporting; Environmental data and calculation models,LCA; PCF calculation; EPD workflow; Domain calculation model,,,Qualifying PCF/LCA product or interoperability solution,,iPoint-systems GmbH,iPoint-systems GmbH,iPoint-systems GmbH (developer); iPoint-systems GmbH (operator/maintainer),2,1,Partial actor resolution,Manufacturing and cross-sector product systems,Global users,,,Listed in ecoinvent software tools directory at the evidence cut-off,Active,Public product documentation and free-trial route; licence required for continued use,https://www.ipoint-systems.com/software/umberto/,ecoinvent software tools partner directory,https://www.ipoint-systems.com/software/umberto/ ; Not publicly confirmed ; https://ecoinvent.org/partners/?category=software-tools,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0039,LCA-SW-0039,Athena Building LCA,Sector-specific workflow application,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Environmental data and calculation models,LCA; Domain calculation model,,,"Existing broader LCA/PCF software, API, model, or workflow asset",Athena Sustainable Materials Institute,Athena Sustainable Materials Institute,Athena Sustainable Materials Institute,Athena Sustainable Materials Institute (owner); Athena Sustainable Materials Institute (developer); Athena Sustainable Materials Institute (operator/maintainer),3,0,Evidence-linked actors resolved,"Whole buildings, construction materials and assemblies",North American building context,,,,Active beta,Free public web app; use conditions not fully reviewed,https://www.athenasmi.org/our-software-data/athena-building-lca/,Prior Global LCA Asset inventory,https://www.athenasmi.org/our-software-data/athena-building-lca/ ; Not publicly confirmed,Medium,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0040,LCA-SW-0040,Athena Impact Estimator for Buildings,Sector-specific workflow application,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling,LCA,,,"Existing broader LCA/PCF software, API, model, or workflow asset",Athena Sustainable Materials Institute,Athena Sustainable Materials Institute,Athena Sustainable Materials Institute,Athena Sustainable Materials Institute (owner); Athena Sustainable Materials Institute (developer); Athena Sustainable Materials Institute (operator/maintainer),3,0,Evidence-linked actors resolved,"Buildings, structural and envelope assemblies",Canada and United States,,,,Active/maintained while next-generation tool is in beta,Free software and remote Mac access stated,https://www.athenasmi.org/our-software-data/impact-estimator/,Prior Global LCA Asset inventory,https://www.athenasmi.org/our-software-data/impact-estimator/ ; Not publicly confirmed,High,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0041,LCA-SW-0041,Athena Pavement LCA,Sector-specific workflow application,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling,LCA,,,"Existing broader LCA/PCF software, API, model, or workflow asset",Athena Sustainable Materials Institute,Athena Sustainable Materials Institute,Athena Sustainable Materials Institute,Athena Sustainable Materials Institute (owner); Athena Sustainable Materials Institute (developer); Athena Sustainable Materials Institute (operator/maintainer),3,0,Evidence-linked actors resolved,"Roadways, pavements, materials, construction and maintenance",Canada and selected United States regions,,,,Active/publicly distributed,Free software package,https://www.athenasmi.org/our-software-data/pavement-lca/,Prior Global LCA Asset inventory,https://www.athenasmi.org/our-software-data/pavement-lca/ ; Not publicly confirmed,High,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0042,LCA-SW-0042,Automotive Life-Cycle Assessment Model,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Environmental data and calculation models,LCA; Domain calculation model,,,"Existing broader LCA/PCF software, API, model, or workflow asset",International Aluminium Institute; European Aluminium,International Aluminium Institute; European Aluminium,,International Aluminium Institute (owner); European Aluminium (owner); International Aluminium Institute (developer); European Aluminium (developer),4,1,Partial actor resolution,"Passenger vehicles, aluminium, steel and lightweighting",Global vehicle scenarios with region/country aluminium inputs,,,,Published tool; current maintenance not confirmed,Publicly described spreadsheet calculator; current download route requires confirmation,https://european-aluminium.eu/wp-content/uploads/2022/10/lma_jun_2019_p010_updated-automotive-lifecycle-assessment-model-launched-reprint-1.pdf,Prior Global LCA Asset inventory,https://european-aluminium.eu/wp-content/uploads/2022/10/lma_jun_2019_p010_updated-automotive-lifecycle-assessment-model-launched-reprint-1.pdf ; Not publicly confirmed,Medium,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0043,LCA-SW-0043,TIDAS Tools,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; PCF data exchange and interoperability; API and enterprise integration,LCA; Data exchange / conversion; API / developer tooling,,,"Existing broader LCA/PCF software, API, model, or workflow asset",Tsinghua University,"TianGong LCA research team, Tsinghua University","TianGong LCA research team, Tsinghua University","Tsinghua University (owner); TianGong LCA research team, Tsinghua University (developer); TianGong LCA research team, Tsinghua University (operator/maintainer)",3,0,Evidence-linked actors resolved,Cross-sector LCA and carbon-footprint datasets,China-led open-source project with global technical use,,,,Active public repository and release line,Public source code and prebuilt release archives,https://github.com/tiangong-lca/tidas-tools,Prior Global LCA Asset inventory,https://github.com/tiangong-lca/tidas-tools ; https://github.com/tiangong-lca/tidas-tools/releases/tag/v0.2.0 ; https://github.com/tiangong-lca/tidas-tools/blob/v0.2.0/docs/agents/cli-contract.md ; https://github.com/tiangong-lca/tidas-tools/blob/v0.2.0/docs/agents/repo-validation.md,High,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0044,LCA-SW-0044,3DEXPERIENCE Platform,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; Corporate carbon accounting,LCA; PCF calculation; CCF calculation,,,Qualifying PCF/LCA product or interoperability solution,,Dassault Systèmes,,Dassault Systèmes (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,Listed in ecoinvent software tools directory at the evidence cut-off,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.3ds.com/sustainability,WBCSD PACT Network solution directory; ecoinvent software tools partner directory,https://www.3ds.com/sustainability ; https://www.carbon-transparency.org/solutions/3dexperience-platform ; https://www.carbon-transparency.org/network ; https://www.3ds.com/sustainability/circular-economy/eco-design/lifecycle-assessment ; https://ecoinvent.org/partners/?category=software-tools,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0045,LCA-SW-0045,Altruistiq,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; Corporate carbon accounting,LCA; PCF calculation; CCF calculation,,,Qualifying PCF/LCA product or interoperability solution,,Expanding Circle Ltd (trading as Altruistiq),,Expanding Circle Ltd (trading as Altruistiq) (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://altruistiq.com/,WBCSD PACT Network solution directory,https://altruistiq.com/ ; https://www.carbon-transparency.org/solutions/altruistiq ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0046,LCA-SW-0046,ASUENE,Software application or platform,SF-01,LCA/PCF modelling and calculation,Product carbon footprint calculation; Corporate carbon accounting,PCF calculation; CCF calculation,,,Qualifying PCF/LCA product or interoperability solution,,ASUENE Inc.,,ASUENE Inc. (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://earthene.com/,WBCSD PACT Network solution directory,https://earthene.com/ ; https://www.carbon-transparency.org/solutions/asuene ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0047,LCA-SW-0047,ASUENE LCA,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; PCF data exchange and interoperability,LCA; PCF calculation; PCF exchange,,,Qualifying PCF/LCA product or interoperability solution,,ASUENE Inc.,,ASUENE Inc. (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://asuene.com/lca/en,WBCSD PACT Network solution directory,https://asuene.com/lca/en ; https://www.carbon-transparency.org/solutions/asuene-lca ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0048,LCA-SW-0048,ASUS ESG Carbon Data Management Platform,Software application or platform,SF-01,LCA/PCF modelling and calculation,Product carbon footprint calculation; Corporate carbon accounting,PCF calculation; CCF calculation,,,Qualifying PCF/LCA product or interoperability solution,,Taiwan Web Service Corporation,,Taiwan Web Service Corporation (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://asus.aplusesg.com,WBCSD PACT Network solution directory,https://asus.aplusesg.com ; https://www.carbon-transparency.org/solutions/asus-esg-carbon-data-management-platform ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0049,LCA-SW-0049,Atma.io,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; Supplier and product data management,LCA; PCF calculation; traceability,,,Qualifying PCF/LCA product or interoperability solution,,Avery Dennison Corporation,,Avery Dennison Corporation (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.atma.io/,WBCSD PACT Network solution directory,https://www.atma.io/ ; https://www.carbon-transparency.org/solutions/atma-io ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0050,LCA-SW-0050,BACUTI Enterprise Edition,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; Corporate carbon accounting,LCA; PCF calculation; CCF calculation,,,Qualifying PCF/LCA product or interoperability solution,,BACUTI,,BACUTI (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.bacuti.com,WBCSD PACT Network solution directory,https://www.bacuti.com ; https://www.carbon-transparency.org/solutions/bacuti-enterprise-edition ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0051,LCA-SW-0051,booost Sustainability PCF module,Software application or platform,SF-01,LCA/PCF modelling and calculation,Product carbon footprint calculation; Corporate carbon accounting,PCF calculation; CCF calculation,,,Qualifying PCF/LCA product or interoperability solution,,"Booost, Inc.",,"Booost, Inc. (developer)",1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://booost-tech.com,WBCSD PACT Network solution directory,https://booost-tech.com ; https://www.carbon-transparency.org/solutions/booost-inc ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0052,LCA-SW-0052,carbmee EIS,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; Corporate carbon accounting,LCA; PCF calculation; CCF calculation,,,Qualifying PCF/LCA product or interoperability solution,,carbmee,,carbmee (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,Listed in ecoinvent software tools directory at the evidence cut-off,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.carbmee.com,WBCSD PACT Network solution directory; ecoinvent software tools partner directory,https://www.carbmee.com ; https://www.carbon-transparency.org/solutions/carbmee ; https://www.carbon-transparency.org/network ; https://www.carbmee.com/ ; https://ecoinvent.org/partners/?category=software-tools,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0053,LCA-SW-0053,Carboledger,Data exchange or interoperability service,SF-02,PCF data exchange and interoperability,PCF data exchange and interoperability; Supplier and product data management,PCF exchange; supplier data collection,,PCF data exchange / interoperability,Qualifying PCF/LCA product or interoperability solution,,Carboledger Inc.,,Carboledger Inc. (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.carboledger.com,WBCSD PACT Network solution directory,https://www.carboledger.com ; https://www.carbon-transparency.org/solutions/carboledger ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0054,LCA-SW-0054,Carbon Maps,Sector-specific workflow application,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; PCF data exchange and interoperability; Corporate carbon accounting,LCA; PCF calculation; PCF exchange; CCF calculation,,,Qualifying PCF/LCA product or interoperability solution,,Carbon Maps SAS,,Carbon Maps SAS (developer),1,0,Evidence-linked actors resolved,"Food, agriculture, consumer goods and retail",Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.carbonmaps.io/,WBCSD PACT Network solution directory,https://www.carbonmaps.io/ ; https://www.carbon-transparency.org/solutions/carbon-maps ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0055,LCA-SW-0055,Carbon Trail,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; Corporate carbon accounting,LCA; PCF calculation; CCF calculation,,,Qualifying PCF/LCA product or interoperability solution,,CarbonTrail Tech LLP,,CarbonTrail Tech LLP (developer),1,0,Evidence-linked actors resolved,Fashion and retail,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://carbontrail.net,WBCSD PACT Network solution directory,https://carbontrail.net ; https://www.carbon-transparency.org/solutions/carbon-trail ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0056,LCA-SW-0056,CarbonBlock,Software application or platform,SF-01,LCA/PCF modelling and calculation,Product carbon footprint calculation; PCF data exchange and interoperability; Supplier and product data management,PCF calculation; PCF exchange; supplier data collection,,,Qualifying PCF/LCA product or interoperability solution,,CircularTree,,CircularTree (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://circulartree.com/carbonblock/,WBCSD PACT Network solution directory,https://circulartree.com/carbonblock/ ; https://www.carbon-transparency.org/solutions/carbonblock ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0057,LCA-SW-0057,CarbonBright,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; PCF data exchange and interoperability,LCA; PCF calculation; PCF exchange,,,Qualifying PCF/LCA product or interoperability solution,,CarbonBright AI,,CarbonBright AI (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://carbonbright.co,WBCSD PACT Network solution directory,https://carbonbright.co ; https://www.carbon-transparency.org/solutions/carbonbright ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0058,LCA-SW-0058,CARBONIX,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; Corporate carbon accounting,LCA; PCF calculation; CCF calculation,,,Qualifying PCF/LCA product or interoperability solution,,Sustech,,Sustech (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://sustech-inc.co.jp/carbonix/,WBCSD PACT Network solution directory,https://sustech-inc.co.jp/carbonix/ ; https://www.carbon-transparency.org/solutions/carbonix ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0059,LCA-SW-0059,CarbonStar,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; Corporate carbon accounting,LCA; PCF calculation; CCF calculation,,,Qualifying PCF/LCA product or interoperability solution,,Startrust,,Startrust (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://sites.google.com/view/startrustsystem-en,WBCSD PACT Network solution directory,https://sites.google.com/view/startrustsystem-en ; https://www.carbon-transparency.org/solutions/carbonstar ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0060,LCA-SW-0060,ClimateCamp,Software application or platform,SF-01,LCA/PCF modelling and calculation,Product carbon footprint calculation; Corporate carbon accounting; Supplier and product data management,PCF calculation; CCF calculation; supplier data collection,,,Qualifying PCF/LCA product or interoperability solution,,ClimateCamp BV,,ClimateCamp BV (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://climatecamp.io/,WBCSD PACT Network solution directory,https://climatecamp.io/ ; https://www.carbon-transparency.org/solutions/climatecamp ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0061,LCA-SW-0061,ClimatePoint Eco Report Builder,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; PCF data exchange and interoperability,LCA; PCF calculation; PCF exchange,,,Qualifying PCF/LCA product or interoperability solution,,ClimatePoint,,ClimatePoint (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.climatepoint.com/,WBCSD PACT Network solution directory,https://www.climatepoint.com/ ; https://www.carbon-transparency.org/solutions/climatepoint ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0062,LCA-SW-0062,Microsoft Cloud for Sustainability PACT connector,Data exchange or interoperability service,SF-02,PCF data exchange and interoperability,PCF data exchange and interoperability; API and enterprise integration,PCF exchange; API / connector,,PCF data exchange / interoperability,Qualifying PCF/LCA product or interoperability solution,,Microsoft,,Microsoft (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.microsoft.com/en-us/sustainability/cloud,WBCSD PACT Network solution directory,https://www.microsoft.com/en-us/sustainability/cloud ; https://www.carbon-transparency.org/solutions/cloud-for-sustainability ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0063,LCA-SW-0063,CO2 AI,Software application or platform,SF-01,LCA/PCF modelling and calculation,Product carbon footprint calculation; Corporate carbon accounting; Supplier and product data management,PCF calculation; CCF calculation; supplier data collection,,,Qualifying PCF/LCA product or interoperability solution,,CO2 AI SAS,,CO2 AI SAS (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.co2ai.com/,WBCSD PACT Network solution directory,https://www.co2ai.com/ ; https://www.carbon-transparency.org/solutions/co2-ai ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0064,LCA-SW-0064,CUCON,Software application or platform,SF-01,LCA/PCF modelling and calculation,Product carbon footprint calculation; PCF data exchange and interoperability; Supplier and product data management,PCF calculation; PCF exchange; data collaboration,,PCF data exchange / interoperability,Qualifying PCF/LCA product or interoperability solution,,Uhuru Corporation,,Uhuru Corporation (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://uhuru.co.jp/library/articles/cucon_smartsupplychain/,WBCSD PACT Network solution directory,https://uhuru.co.jp/library/articles/cucon_smartsupplychain/ ; https://www.carbon-transparency.org/solutions/cucon ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0065,LCA-SW-0065,DelZer0,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; PCF data exchange and interoperability; Corporate carbon accounting,LCA; PCF calculation; PCF exchange; CCF calculation,,,Qualifying PCF/LCA product or interoperability solution,,Delta Electronics,,Delta Electronics (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",http://www.delzer0.com/,WBCSD PACT Network solution directory,http://www.delzer0.com/ ; https://www.carbon-transparency.org/solutions/delzer0 ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0066,LCA-SW-0066,Digital Sustainability Cloud (DSC),Software application or platform,SF-01,LCA/PCF modelling and calculation,Product carbon footprint calculation; PCF data exchange and interoperability,PCF calculation; PCF exchange,,,Qualifying PCF/LCA product or interoperability solution,,"Institute for Information Industry, Digital Transformation Research Institute",,"Institute for Information Industry, Digital Transformation Research Institute (developer)",1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.dsce.com.tw/,WBCSD PACT Network solution directory,https://www.dsce.com.tw/ ; https://www.carbon-transparency.org/solutions/digital-sustainability-cloud-dsc ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
