version_audit_id,asset_id,official_name,audit_date,canonical_route,route_check_result,version_review_status,previous_version,reviewed_version,reviewed_release_date,evidence_url,audit_note
VA-0069,LCA-DB-0061,Quebec Life Cycle Inventory Database,2026-08-25,https://ciraig.org/index.php/project/quebec-life-cycle-inventory-database/,Public content returned,Rechecked; existing evidence-linked value retained,Quebec datasets distributed within ecoinvent,Quebec datasets distributed within ecoinvent,Current distribution depends on ecoinvent releases,https://ciraig.org/index.php/project/quebec-life-cycle-inventory-database/ | https://www.environnement.gouv.qc.ca/infuseur/communique.asp?no=3037 | https://helpdesk.lifecycleinitiative.org/distribution/data-formats/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0070,LCA-DB-0062,International Aluminium Institute Life Cycle Inventory Data,2026-08-25,https://international-aluminium.org/resources/2019-life-cycle-inventory-lci-data-and-environmental-metrics/,Public content returned,Rechecked; existing evidence-linked value retained,2019 LCI data v3,2019 LCI data v3,Published 2022,https://international-aluminium.org/resources/2019-life-cycle-inventory-lci-data-and-environmental-metrics/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0071,LCA-DB-0063,Nickel Institute Life Cycle Data,2026-08-25,https://nickelinstitute.org/en/sustainability/nickel-life-cycle-management/nickel-life-cycle-data,HTTP 403,Automated route check unresolved; prior evidence retained,2024 report / 2021 reference-year datasets,2024 report / 2021 reference-year datasets,2024 publication,https://nickelinstitute.org/en/sustainability/nickel-life-cycle-management/nickel-life-cycle-data,Nickel Institute canonical route blocked automated retrieval; prior public evidence retained.
VA-0072,LCA-DB-0064,International Zinc Association Life Cycle Inventory Data,2026-08-25,https://www.zinc.org/life-cycle-assessment/,Public content returned,Rechecked; existing evidence-linked value retained,2023 LCA update based on 2021 industry data,2023 LCA update based on 2021 industry data,2023,https://www.zinc.org/life-cycle-assessment/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0073,LCA-DB-0065,FEVE Container Glass Life Cycle Inventories,2026-08-25,https://feve.org/glass-industry-positions/life-cycle-assessment/,Public content returned,Rechecked; existing evidence-linked value retained,2019 production-data LCI set,2019 production-data LCI set,Independent review completed 2024; current official page at 2026-08-22,https://feve.org/glass-industry-positions/life-cycle-assessment/ | https://feve.org/new-life-cycle-assessment-proves-industry-success-reducing-environmental-footprint/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0074,LCA-DB-0066,Eurobitume Life Cycle Inventory,2026-08-25,https://eurobitume.eu/bitumen-life-cycle-assessment/,Public content returned,Rechecked; existing evidence-linked value retained,LCA 4.0,LCA 4.0,2024-05-27 public page,https://eurobitume.eu/bitumen-life-cycle-assessment/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0075,LCA-DB-0067,CORRIM Forestry and Forest Products LCI,2026-08-25,https://corrim.org/lcas-on-wood-products-library/,Public content returned,Rechecked; exact public version remains unconfirmed or not applicable,Current library and Federal LCA Commons repository,Current library and Federal LCA Commons repository,2025 report/library entries,https://corrim.org/lcas-on-wood-products-library/ | https://www.lcacommons.gov/lca-collaboration/CORRIM/Forestry_and_forest_products,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0076,LCA-DB-0068,International Copper Association Life Cycle Inventory Data,2026-08-25,https://copperalliance.org/wp-content/uploads/2021/08/ICA-EnvironmentalProfileHESD-201803-FINAL-LOWRES-1.pdf,Public content returned,Rechecked; existing evidence-linked value retained,2018 Copper Environmental Profile publication,2018 Copper Environmental Profile publication,2018 publication; current public file retained,https://copperalliance.org/wp-content/uploads/2021/08/ICA-EnvironmentalProfileHESD-201803-FINAL-LOWRES-1.pdf,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0077,LCA-DB-0069,GEMIS Model and Database,2026-08-25,https://iinas.org/downloads/gemis-downloads/,Public content returned,Rechecked; existing evidence-linked value retained,GEMIS 5.2,GEMIS 5.2,2026-07,https://iinas.org/downloads/gemis-downloads/ | https://iinas.org/en/work/gemis/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0078,LCA-DB-0070,EN15804 add-on,2026-08-25,https://nexus.openlca.org/ws/dataproviders/9901,Public content returned,Rechecked; existing evidence-linked value retained,EN15804 add-on to ecoinvent v3.12,EN15804 add-on to ecoinvent v3.12,2025-12-18,https://nexus.openlca.org/ws/dataproviders/9901,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0079,LCA-DB-0071,Circularity Package,2026-08-25,https://nexus.openlca.org/ws/dataproviders/10202,Public content returned,Rechecked; existing evidence-linked value retained,3.1,3.1,2026-08-12,https://nexus.openlca.org/ws/dataproviders/10202,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0080,LCA-DB-0072,PLEX,2026-08-25,https://nexus.openlca.org/ws/dataproviders/10451,Public content returned,Rechecked; existing evidence-linked value retained,4,4,2026-07-31,https://nexus.openlca.org/ws/dataproviders/10451,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0081,LCA-DB-0073,UVEK LCI Data,2026-08-25,https://nexus.openlca.org/ws/dataproviders/8951,Public content returned,Rechecked; existing evidence-linked value retained,DQRv2:2018,DQRv2:2018,2023-10-31 Nexus package date,https://nexus.openlca.org/ws/dataproviders/8951,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0082,LCA-DB-0074,ARVI database,2026-08-25,https://nexus.openlca.org/ws/dataproviders/8351,Public content returned,Rechecked; existing evidence-linked value retained,ARVI database for ecoinvent 3.01–3.3,ARVI database for ecoinvent 3.01–3.3,2017-02-15,https://nexus.openlca.org/ws/dataproviders/8351,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0083,LCA-DB-0075,OzLCI2019,2026-08-25,https://nexus.openlca.org/ws/dataproviders/9401,Public content returned,Rechecked; existing evidence-linked value retained,OzLCI2019,OzLCI2019,2020-02-04,https://nexus.openlca.org/ws/dataproviders/9401,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0084,LCA-DB-0076,Circularity Food Package,2026-08-25,https://nexus.openlca.org/ws/dataproviders/10201,Public content returned,Rechecked; existing evidence-linked value retained,Circularity Food Package,Circularity Food Package,2023-07-12,https://nexus.openlca.org/ws/dataproviders/10201,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0085,LCA-DB-0077,soca,2026-08-25,https://nexus.openlca.org/ws/dataproviders/8253,Public content returned,Rechecked; existing evidence-linked value retained,5,5,2026-07-14,https://nexus.openlca.org/ws/dataproviders/8253,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0086,LCA-DB-0078,EcoProfiles Recycled Plastics,2026-08-25,https://nexus.openlca.org/ws/dataproviders/10463,Public content returned,Rechecked; existing evidence-linked value retained,1.0,1.0,2025-09-03,https://nexus.openlca.org/ws/dataproviders/10463,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0087,LCA-DB-0079,LC-Inventories.ch,2026-08-25,https://nexus.openlca.org/ws/dataproviders/301,Public content returned,Rechecked; existing evidence-linked value retained,15 public Nexus database groups,15 public Nexus database groups,2014-01-23 latest listed group date,https://nexus.openlca.org/ws/dataproviders/301,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0088,LCA-DB-0080,My-Wood LCI,2026-08-25,https://nexus.openlca.org/ws/dataproviders/10466,Public content returned,Rechecked; existing evidence-linked value retained,My-Wood LCI public Nexus release,My-Wood LCI public Nexus release,2025-12-31,https://nexus.openlca.org/ws/dataproviders/10466,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
