distribution_id,database_asset_id,database_name,database_release,distribution_package,schema_profile,schema_version,access_route,access_category,licence_rights,registration,fee,compatible_software,software_version,direction,claimed_tested_status,evidence_url,evidence_as_of,known_constraint_next_test
DST-0047,LCA-DB-0023,worldsteel Life Cycle Inventory Database,2024 LCI dataset (released 2026-05),Full steel LCI datasets,Not publicly confirmed,Not publicly confirmed,https://worldsteel.org/wider-sustainability/life-cycle-thinking/lca-lciform/,Request/membership-mediated,worldsteel LCI data usage agreement; Redistribution: Full inventories may not be posted publicly or communicated externally without worldsteel agreement,Request form required for full LCI datasets,No fee stated; use agreement applies,LCA software not publicly specified,Not publicly confirmed,Database to consumer software/tool,Official request route; file format not public,https://worldsteel.org/wider-sustainability/life-cycle-thinking/lca-lciform/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0048,LCA-DB-0024,openIO-Canada,OpenIO v2.11,OpenIO-Canada model generator and outputs,Python model objects / tabular matrices,OpenIO-Canada 2.11.1,https://ciraig.org/index.php/project/open-io-canada/,Open licence confirmed for at least one official distribution,CC BY-SA 4.0; Redistribution: Permitted under CC BY-SA 4.0,Not required,No fee,Python,3.9 recommended,Database to consumer software/tool,Official repository; code-generated database,https://github.com/CIRAIG/OpenIO-Canada,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0049,LCA-DB-0025,Product Social Impact Life Cycle Assessment Database,4.0,Provider/public access distribution; machine-readable package not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://psilca.net/,Commercial/proprietary,Commercial licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,Not publicly confirmed,Not publicly confirmed,Database to consumer software/tool,"Public/provider evidence identifies the asset, but an exact package–schema–software pair is not published",https://psilca.net/ | https://www.greendelta.com/about-us/contact-us/,2026-08-22,Retain as an explicit public-information gap; do not infer a format from a web interface or software marketing claim.
DST-0050,LCA-DB-0026,Social Hotspots Database,Not publicly confirmed,Provider/public access distribution; machine-readable package not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://www.socialhotspot.org/,Commercial/proprietary,Commercial licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,Not publicly confirmed,Not publicly confirmed,Database to consumer software/tool,"Public/provider evidence identifies the asset, but an exact package–schema–software pair is not published",https://www.socialhotspot.org/ | https://www.socialhotspot.org/contact.html,2026-08-22,Retain as an explicit public-information gap; do not infer a format from a web interface or software marketing claim.
DST-0051,LCA-DB-0027,BONSAI Database,2.1.5,Footprint data,CSV,BONSAI 2.1.5,https://www.bonsai.uno/download,Open licence confirmed for at least one official distribution,CC BY 4.0 stated for footprint data; other distributions require file-level confirmation; Redistribution: Permitted for the CC BY 4.0 footprint distribution; other package rights require confirmation,Required for large data-file downloads,No fee stated,Spreadsheet/statistical software,Not publicly confirmed,Database to consumer software/tool,Provider download page; account required for large file,https://www.bonsai.uno/download,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0052,LCA-DB-0027,BONSAI Database,2.1.5,Recipe data,CSV,BONSAI 2.1.5,https://www.bonsai.uno/download,Open licence confirmed for at least one official distribution,CC BY 4.0 stated for footprint data; other distributions require file-level confirmation; Redistribution: Permitted for the CC BY 4.0 footprint distribution; other package rights require confirmation,Required for large data-file downloads,No fee stated,Spreadsheet/statistical software,Not publicly confirmed,Database to consumer software/tool,Provider download page; account required for large file,https://www.bonsai.uno/download,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0053,LCA-DB-0027,BONSAI Database,2.1.5,SimaPro export,SimaPro exchange output,Introduced in BONSAI 2.1.1,https://www.bonsai.uno/download,Open licence confirmed for at least one official distribution,CC BY 4.0 stated for footprint data; other distributions require file-level confirmation; Redistribution: Permitted for the CC BY 4.0 footprint distribution; other package rights require confirmation,Required for large data-file downloads,No fee stated,SimaPro,Not publicly confirmed,Database to consumer software/tool,Provider release note; not independently tested,https://www.bonsai.uno/download,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0054,LCA-DB-0028,European Commission Environmental Footprint Data Node,EF 3.1 and retained EF 2.0 data stocks,Environmental Footprint data packages,ILCD XML in ZIP; EF profile,EF 3.1 and retained EF 2.0,https://eplca.jrc.ec.europa.eu/EF-node/index.xhtml,Public/free access; licence or redistribution unclear or mixed,Dataset-level ownership and use restrictions recorded in ILCD metadata; Redistribution: Not publicly confirmed,Not required for stated public access,No fee stated for at least one access route,ILCD/EF-profile-capable LCA software,Not publicly confirmed,Database to consumer software/tool,Official public node packages,https://eplca.jrc.ec.europa.eu/EF-node/index.xhtml,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0055,LCA-DB-0029,ICE Database Educational,5.0,ICE Database Educational v5,Spreadsheet/PDF educational resource; machine-readable tab removed,5.0,https://circularecology.com/embodied-carbon-footprint-database.html,"Free access with registration, use restrictions, or third-party dependency","ICE Database Educational v5.0 terms; educational-only, no commercial/professional use; Redistribution: External redistribution prohibited; users must link to the official download page",Form/email confirmation required,No fee for educational download,Spreadsheet/PDF tools,Not publicly confirmed,Database to consumer software/tool,Provider-stated format limitation,https://circularecology.com/embodied-carbon-footprint-database.html,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0056,LCA-DB-0030,ESU World Food LCA Database,Continuously maintained database using BAFU:2025+ESU background at access date,EcoSpold v1 distribution,EcoSpold v1 XML,Current provider database,https://esu-services.ch/data/fooddata/,Commercial/proprietary,Commercial ESU licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,EcoSpold v1-capable LCA software,Not publicly confirmed,Database to consumer software/tool,Provider-documented format,https://esu-services.ch/fileadmin/download/tender/ESU-background-databases.pdf,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0057,LCA-DB-0030,ESU World Food LCA Database,Continuously maintained database using BAFU:2025+ESU background at access date,SimaPro library,SimaPro proprietary library/exchange,Current provider database,https://esu-services.ch/data/fooddata/,Commercial/proprietary,Commercial ESU licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,SimaPro,Not publicly confirmed,Database to consumer software/tool,Provider-documented format,https://esu-services.ch/fileadmin/download/tender/ESU-background-databases.pdf,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0058,LCA-DB-0030,ESU World Food LCA Database,Continuously maintained database using BAFU:2025+ESU background at access date,Other format delivery,Format on request,Not publicly confirmed,https://esu-services.ch/data/fooddata/,Commercial/proprietary,Commercial ESU licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,Software-specific on request,Not publicly confirmed,Database to consumer software/tool,Provider request route; exact format not public,https://esu-services.ch/data/fooddata/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0059,LCA-DB-0031,Carbonfact Open Source LCA Database for Footwear & Apparel,First public release,Open apparel/footwear impact dataset,CSV,First public release,https://www.carbonfact.com/database,Open licence confirmed for at least one official distribution,CC BY-SA 4.0; Redistribution: Permitted under CC BY-SA 4.0 with attribution/share-alike,Not required,No fee,Spreadsheet/statistical software,Not publicly confirmed,Database to consumer software/tool,Official public CSV; no background inventories,https://zenodo.org/records/21102756,2026-08-22,"Future EcoSpold/openLCA/SimaPro/Brightway support is exploratory, not current compatibility."
DST-0060,LCA-DB-0032,CEPE Life Cycle Inventory Database,Second version; no dated release identifier on the public project page,GaBi/Sphera package,GaBi proprietary database format,Second CEPE version,https://cepe.org/sustainability/lci-project/,Request/membership-mediated,"Membership, valid ecoinvent licence and NDA conditions; Redistribution: Not publicly confirmed",Not publicly confirmed,Not publicly confirmed,Sphera/GaBi,Not publicly confirmed,Database to consumer software/tool,Provider-stated package,https://cepe.org/sustainability/how-to-access-the-database/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0061,LCA-DB-0032,CEPE Life Cycle Inventory Database,Second version; no dated release identifier on the public project page,SimaPro package,SimaPro proprietary library/exchange,Second CEPE version,https://cepe.org/sustainability/lci-project/,Request/membership-mediated,"Membership, valid ecoinvent licence and NDA conditions; Redistribution: Not publicly confirmed",Not publicly confirmed,Not publicly confirmed,SimaPro,Not publicly confirmed,Database to consumer software/tool,Provider-stated package,https://cepe.org/sustainability/how-to-access-the-database/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0062,LCA-DB-0032,CEPE Life Cycle Inventory Database,Second version; no dated release identifier on the public project page,Excel package,XLSX,Second CEPE version,https://cepe.org/sustainability/lci-project/,Request/membership-mediated,"Membership, valid ecoinvent licence and NDA conditions; Redistribution: Not publicly confirmed",Not publicly confirmed,Not publicly confirmed,Spreadsheet/statistical software,Not publicly confirmed,Database to consumer software/tool,Provider-stated package,https://cepe.org/sustainability/how-to-access-the-database/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0063,LCA-DB-0033,Open CEDA,CEDA 2025,Open CEDA workbook,XLSX,CEDA 2025,https://openceda.org/,Open licence confirmed for at least one official distribution,CC BY-SA; Redistribution: Permitted under CC BY-SA with attribution/share-alike,Required or account-gated,No fee stated for at least one access route,Spreadsheet/statistical software,Not publicly confirmed,Database to consumer software/tool,Official open workbook,https://registry.opendata.aws/open-ceda/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0064,LCA-DB-0034,NEEDS Life Cycle Inventory Database,openLCA conversion version 2 documented in 2017,Original NEEDS processes,EcoSpold 1 XML,Original project release,https://nexus.openlca.org/database/NEEDS,"Free access with registration, use restrictions, or third-party dependency",Not publicly confirmed on the accessible documentation; Redistribution: Not publicly confirmed,Required or account-gated,No fee stated for at least one access route,EcoSpold 1-capable LCA software,Not publicly confirmed,Database to consumer software/tool,Historical project format,https://nexus.openlca.org/ws/files/9971,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0065,LCA-DB-0034,NEEDS Life Cycle Inventory Database,openLCA conversion version 2 documented in 2017,openLCA database package,ZOLCA,openLCA conversion v2,https://nexus.openlca.org/database/NEEDS,"Free access with registration, use restrictions, or third-party dependency",Not publicly confirmed on the accessible documentation; Redistribution: Not publicly confirmed,Required or account-gated,No fee stated for at least one access route,openLCA,Not publicly confirmed,Database to consumer software/tool,Provider conversion package; account route,https://nexus.openlca.org/database/NEEDS,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0066,LCA-DB-0034,NEEDS Life Cycle Inventory Database,openLCA conversion version 2 documented in 2017,openLCA exchange package,openLCA schema / JSON-LD,openLCA conversion v2,https://nexus.openlca.org/database/NEEDS,"Free access with registration, use restrictions, or third-party dependency",Not publicly confirmed on the accessible documentation; Redistribution: Not publicly confirmed,Required or account-gated,No fee stated for at least one access route,openLCA,Not publicly confirmed,Database to consumer software/tool,Provider conversion workflow; exact public file route not verified,https://nexus.openlca.org/ws/files/9971,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0067,LCA-DB-0035,BATTERS Battery Recycling Inventory Database,January 2026 analysis release,LCA for Experts package,Software-specific proprietary package,January 2026,https://www.batters.fr/en/battery-recycling-inventory/,Commercial/proprietary,Commercial purchase/licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,LCA for Experts,Not publicly confirmed,Database to consumer software/tool,Provider-stated compatibility,https://www.batters.fr/en/battery-recycling-inventory/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0068,LCA-DB-0035,BATTERS Battery Recycling Inventory Database,January 2026 analysis release,SimaPro package,SimaPro proprietary library/exchange,January 2026,https://www.batters.fr/en/battery-recycling-inventory/,Commercial/proprietary,Commercial purchase/licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,SimaPro,Not publicly confirmed,Database to consumer software/tool,Provider-stated compatibility,https://www.batters.fr/en/battery-recycling-inventory/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0069,LCA-DB-0035,BATTERS Battery Recycling Inventory Database,January 2026 analysis release,openLCA package,openLCA database package,January 2026,https://www.batters.fr/en/battery-recycling-inventory/,Commercial/proprietary,Commercial purchase/licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,openLCA,Not publicly confirmed,Database to consumer software/tool,Provider-stated compatibility,https://www.batters.fr/en/battery-recycling-inventory/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0070,LCA-DB-0036,BioEnergieDat,ILCD dataset versions commonly 01.00.000,BioEnergieDat download package,ILCD XML in ZIP,Dataset-specific 01.00.000 family,https://www.bioenergiedat.de/software.html,Public/free access; licence or redistribution unclear or mixed,Dataset pages state copyright/owner fields; collection-level licence incomplete; Redistribution: Not publicly confirmed,Not required for stated public access,No fee stated for at least one access route,openLCA and other ILCD-capable tools,Not publicly confirmed,Database to consumer software/tool,Official format and openLCA instruction,https://bioenergiedat.de/documents/10156/24192/anleitung-openLCA.pdf,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0071,LCA-DB-0036,BioEnergieDat,ILCD dataset versions commonly 01.00.000,BioEnergieDat network service,ILCD network service,Not publicly confirmed,https://www.bioenergiedat.de/software.html,Public/free access; licence or redistribution unclear or mixed,Dataset pages state copyright/owner fields; collection-level licence incomplete; Redistribution: Not publicly confirmed,Not required for stated public access,No fee stated for at least one access route,ILCD network clients,Not publicly confirmed,Database to consumer software/tool,Historical official network route,https://www.bioenergiedat.de/software.html,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0072,LCA-DB-0037,CPM LCA Database,Legacy live database,CPM native database view,SPINE,Legacy live database,https://cpmdatabase.cpm.chalmers.se/AboutDatabase.htm,"Free access with registration, use restrictions, or third-party dependency",Open/free under CPM licence agreement; Redistribution: Not publicly confirmed,Not required for stated public access,No fee stated for at least one access route,SPINE-capable tools,Not publicly confirmed,Database to consumer software/tool,Official database view,https://cpmdatabase.cpm.chalmers.se/AboutDatabase.htm,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0073,LCA-DB-0037,CPM LCA Database,Legacy live database,ISO/ILCD-oriented view/export,ISO/TS 14048-compatible / ILCD,Legacy live database,https://cpmdatabase.cpm.chalmers.se/AboutDatabase.htm,"Free access with registration, use restrictions, or third-party dependency",Open/free under CPM licence agreement; Redistribution: Not publicly confirmed,Not required for stated public access,No fee stated for at least one access route,ILCD-capable tools,Not publicly confirmed,Database to consumer software/tool,Official database view; exact profile not fixed,https://cpmdatabase.cpm.chalmers.se/AboutDatabase.htm,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0074,LCA-DB-0037,CPM LCA Database,Legacy live database,IA98 view/export,IA98,Legacy live database,https://cpmdatabase.cpm.chalmers.se/AboutDatabase.htm,"Free access with registration, use restrictions, or third-party dependency",Open/free under CPM licence agreement; Redistribution: Not publicly confirmed,Not required for stated public access,No fee stated for at least one access route,IA98-capable tools,Not publicly confirmed,Database to consumer software/tool,Official legacy view,https://cpmdatabase.cpm.chalmers.se/AboutDatabase.htm,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0075,LCA-DB-0038,ERASM Surfactant Life Cycle and Ecofootprinting Inventory,2017 SLE release,Surfactant LCI node distribution,ILCD-style node/package,2017 SLE release,https://www.erasm.org/erasm-research/manufacturing/rawmaterial-sourcing/life-cycle-ecofootprinting-sle/,Public/free access; licence or redistribution unclear or mixed,Open publications; dataset-level use terms require confirmation; Redistribution: Not publicly confirmed,Not required for stated public access,No fee stated for at least one access route,ILCD-capable tools,Not publicly confirmed,Database to consumer software/tool,Formal project documentation; former node status,https://www.erasm.org/wp-content/uploads/2017/08/170727-SLE-Summary-Paper-IJLCA-1.pdf,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0076,LCA-DB-0038,ERASM Surfactant Life Cycle and Ecofootprinting Inventory,2017 SLE release,Public inventory fact sheets,PDF,2017 SLE release,https://www.erasm.org/erasm-research/manufacturing/rawmaterial-sourcing/life-cycle-ecofootprinting-sle/,Public/free access; licence or redistribution unclear or mixed,Open publications; dataset-level use terms require confirmation; Redistribution: Not publicly confirmed,Not required for stated public access,No fee stated for at least one access route,PDF reader,Not publicly confirmed,Database to consumer software/tool,Public summary material,https://specialty-chemicals.eu/erasm/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0077,LCA-DB-0039,CODDE Database,2026-04,CODDE native database,EIME proprietary database model,2026-04,https://codde.fr/evenement/eime-nouvelle-base-codde-2026-04,Commercial/proprietary,Commercial EIME licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,EIME,v6/current product family,Database to consumer software/tool,Provider-native compatibility,https://codde.fr/evenement/eime-nouvelle-base-codde-2026-04,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0078,LCA-DB-0040,IDEMAT Database,Idemat 2026RevB1,Idemat Excel database,XLSX,2026RevB1,https://www.ecocostsvalue.com/data-tools-books/,"Free access with registration, use restrictions, or third-party dependency",CC BY-NC stated for the Excel database; software/package-specific and ecoinvent terms may apply; Redistribution: Non-commercial licence restrictions apply,Not publicly confirmed,No fee for identified academic download; commercial use restricted,Spreadsheet software,Not publicly confirmed,Database to consumer software/tool,Official academic/non-commercial download,https://www.ecocostsvalue.com/EVR/download.html,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0079,LCA-DB-0040,IDEMAT Database,Idemat 2026RevB1,Idemat SimaPro import,SimaPro exchange,2026RevB1,https://www.ecocostsvalue.com/data-tools-books/,"Free access with registration, use restrictions, or third-party dependency",CC BY-NC stated for the Excel database; software/package-specific and ecoinvent terms may apply; Redistribution: Non-commercial licence restrictions apply,Not publicly confirmed,No fee for identified academic download; commercial use restricted,SimaPro,Not publicly confirmed,Database to consumer software/tool,Provider-stated package,https://www.ecocostsvalue.com/EVR/download.html,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0080,LCA-DB-0040,IDEMAT Database,Idemat 2026RevB1,Idemat openLCA package,openLCA database package,2026RevB1,https://www.ecocostsvalue.com/data-tools-books/,"Free access with registration, use restrictions, or third-party dependency",CC BY-NC stated for the Excel database; software/package-specific and ecoinvent terms may apply; Redistribution: Non-commercial licence restrictions apply,Not publicly confirmed,No fee for identified academic download; commercial use restricted,openLCA,Not publicly confirmed,Database to consumer software/tool,Provider-stated package,https://www.ecocostsvalue.com/EVR/download.html,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0081,LCA-DB-0041,POLARIIS+,2026 infrastructure release,POLARIIS+ public dataset packages,Zenodo repository package; internal schema not confirmed,2026 infrastructure release,https://ciraig.org/index.php/project/polariis-en/,Public/free access; licence or redistribution unclear or mixed,Dataset-level Zenodo licences; infrastructure terms not fully stated; Redistribution: Not publicly confirmed,Not publicly confirmed,No fee stated for at least one access route,General data-analysis tools,Not publicly confirmed,Database to consumer software/tool,Public repository identified; file-level schema capture pending,https://ciraig.org/index.php/project/polariis-en/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0082,LCA-DB-0042,Evah Pigments and Dyes LCI Databases,Current database family; historical Pigments release plus continuing 2026 programme,Evah openLCA package,openLCA database package,Current family,https://evah.institute/services,Commercial/proprietary,Package-specific free/commercial licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,openLCA,Not publicly confirmed,Database to consumer software/tool,Provider-stated plug-in/package,https://evah.institute/services,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0083,LCA-DB-0042,Evah Pigments and Dyes LCI Databases,Current database family; historical Pigments release plus continuing 2026 programme,Evah SimaPro package,SimaPro library/exchange,Current family,https://evah.institute/services,Commercial/proprietary,Package-specific free/commercial licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,SimaPro,Not publicly confirmed,Database to consumer software/tool,Provider-stated plug-in/package,https://evah.institute/services,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0084,LCA-DB-0042,Evah Pigments and Dyes LCI Databases,Current database family; historical Pigments release plus continuing 2026 programme,Evah LCADesign plug-in,LCADesign-specific package,Current family,https://evah.institute/services,Commercial/proprietary,Package-specific free/commercial licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,LCADesign,Not publicly confirmed,Database to consumer software/tool,Provider-stated plug-in/package,https://evah.institute/services,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0085,LCA-DB-0043,EuGeos 15804-IA Database,3.1 documented; later superseded in practice by openLCA EN15804 add-on,EuGeos 15804-IA openLCA database,openLCA database package,3.1 legacy,https://nexus.openlca.org/database/EuGeos'%2015804-IA,Commercial/proprietary,Commercial/ecoinvent-dependent licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,openLCA,Older releases,Database to consumer software/tool,Historical provider package; maintenance superseded,https://nexus.openlca.org/ws/files/19559,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0086,LCA-DB-0044,DeforestationFootprint.earth dataset and dashboard,2.1,DeforestationFootprint public data archive,Zenodo dataset package,2.1,https://deforestationfootprint.earth/,Public/free access; licence or redistribution unclear or mixed,CC BY 4.0 for visualisations; dataset/code release licences apply; Redistribution: Not publicly confirmed,Not publicly confirmed,No fee stated for at least one access route,General data-analysis tools,Not publicly confirmed,Database to consumer software/tool,Official open-data package; file-level formats pending,https://deforestationfootprint.earth/about,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0087,LCA-DB-0044,DeforestationFootprint.earth dataset and dashboard,2.1,DeforestationFootprint dashboard,Web application,2.1,https://deforestationfootprint.earth/,Public/free access; licence or redistribution unclear or mixed,CC BY 4.0 for visualisations; dataset/code release licences apply; Redistribution: Not publicly confirmed,Not publicly confirmed,No fee stated for at least one access route,Web browser,Not publicly confirmed,Database to consumer software/tool,Official native access,https://deforestationfootprint.earth/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0088,LCA-DB-0045,FOODTURE European Food LCI Database,In development during 2025–2028 project,Planned FOODTURE database,Not publicly confirmed,Not publicly confirmed,https://foodture-project.eu/,Not yet publicly released / under development,Future dataset licence not yet publicly confirmed; Redistribution: Not yet determined,Not applicable before release,Not applicable before release,Not publicly confirmed,Not publicly confirmed,Database to consumer software/tool,No public distribution yet,https://foodture-project.eu/work-packages/,2026-08-22,Planned future openness is not current availability.
DST-0089,LCA-DB-0046,HiQLCD,Live platform; public release identifier not confirmed,HiQLCD public platform records,ILCD-aligned provider data model; export format not public,Live platform,https://www.hiq.earth/,"Free access with registration, use restrictions, or third-party dependency",Not publicly confirmed at dataset level; Redistribution: Not publicly confirmed,Required or account-gated,No fee stated for at least one access route,Provider platform; ILCD-capable tools not tested,Not publicly confirmed,Database to consumer software/tool,Provider compatibility statement only,https://www.hiq.earth/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0090,LCA-DB-0047,Minviro Battery Materials Database,Current integrated database; release identifier not public,Minviro battery-material data content,XYCLE proprietary internal model,Current integrated database,https://www.minviro.com/xycle,Commercial/proprietary,Commercial proprietary database; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,XYCLE,Not publicly confirmed,Database to consumer software/tool,Provider-native integration; export format not public,https://www.minviro.com/xycle,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0091,LCA-DB-0048,OpenEPD Database,"Live database; provider reports more than 400,000 records",OpenEPD Database structured records,openEPD,Provider does not state exact schema revision,https://www.openepddatabase.com/,Commercial/proprietary,Platform and upstream EPD rights; Redistribution: Platform and upstream EPD rights apply,Required,Subscription applies,OpenEPD-capable tools / provider platform,Not publicly confirmed,Database to consumer software/tool,Provider-native structured data; subscription access,https://www.openepddatabase.com/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0092,LCA-DB-0049,Athena LCA Databases,Maintained database family; public release identifier not confirmed,Athena building database content,Athena proprietary embedded model,Maintained family,https://www.athenasmi.org/our-software-data/lca-databases/,Public/free access; licence or redistribution unclear or mixed,Not publicly confirmed for standalone reuse; Redistribution: Not publicly confirmed,Not publicly confirmed,No fee stated for at least one access route,Athena Building LCA,Not publicly confirmed,Database to consumer software/tool,Provider-native compatibility,https://www.athenasmi.org/our-software-data/lca-databases/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0093,LCA-DB-0049,Athena LCA Databases,Maintained database family; public release identifier not confirmed,Athena impact-estimator database content,Athena proprietary embedded model,Maintained family,https://www.athenasmi.org/our-software-data/lca-databases/,Public/free access; licence or redistribution unclear or mixed,Not publicly confirmed for standalone reuse; Redistribution: Not publicly confirmed,Not publicly confirmed,No fee stated for at least one access route,Athena Impact Estimator for Buildings,Not publicly confirmed,Database to consumer software/tool,Provider-native compatibility,https://www.athenasmi.org/our-software-data/lca-databases/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0094,LCA-DB-0049,Athena LCA Databases,Maintained database family; public release identifier not confirmed,Athena pavement database content,Athena proprietary embedded model,Maintained family,https://www.athenasmi.org/our-software-data/lca-databases/,Public/free access; licence or redistribution unclear or mixed,Not publicly confirmed for standalone reuse; Redistribution: Not publicly confirmed,Not publicly confirmed,No fee stated for at least one access route,Athena Pavement LCA,Not publicly confirmed,Database to consumer software/tool,Provider-native compatibility,https://www.athenasmi.org/our-software-data/lca-databases/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0095,LCA-DB-0050,European Aluminium Environmental Profile LCI datasets,"Environmental Profile Report 2024, issued May 2025",Environmental Profile Report and LCI tables,PDF and embedded tables,2024 profile report issued 2025,https://european-aluminium.eu/blog/environmental-profile-reports/,Public/free access; licence or redistribution unclear or mixed,Publication terms; dataset reuse conditions require review; Redistribution: Not publicly confirmed,Not publicly confirmed,No fee stated for at least one access route,PDF/spreadsheet tools,Not publicly confirmed,Database to consumer software/tool,Official public report; standalone machine-readable package not confirmed,https://european-aluminium.eu/blog/environmental-profile-reports/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0096,LCA-DB-0051,JLCA Database,Live member database; current release identifier not public,JLCA member database,Member portal; linked JLCA–IDEA model,Current member database,https://www.lca-forum.org/database/,Request/membership-mediated,Member-use terms; Redistribution: Not publicly confirmed,Not publicly confirmed,No fee stated for at least one access route,JLCA member tools / IDEA linkage,Not publicly confirmed,Database to consumer software/tool,Official member-access statement; export format not public,https://www.lca-forum.org/database/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
