relationship_id,source_asset_id,source_asset_name,source_resolution,target_asset_id,target_asset_name,target_resolution,relationship_type,status,evidence,constraints,validation_question,mapping_artifact_id
REL-0100,LCA-MTH-0015,TfS Product Carbon Footprint Guideline for the Chemical Industry,Exact asset-name match,LCA-QA-0005,TfS PCF Verification and PCF Program Certification Framework,Exact asset-name match,verification/certification,Confirmed,The framework supports trust in PCFs calculated/reported through the TfS ecosystem.,Operational appointment is controlled.,Capture verifier/certifier status.,
REL-0101,LCA-MTH-0015,TfS Product Carbon Footprint Guideline for the Chemical Industry,Exact asset-name match,LCA-MTH-0013,PACT Methodology,Exact asset-name match,method comparison/alignment,Confirmed,TfS and PACT publish a joint guide explaining methodological and technical differences.,The methods are not interchangeable without reconciliation.,Use the joint guide as a maintained crosswalk.,
REL-0102,LCA-QA-0005,TfS PCF Verification and PCF Program Certification Framework,Exact asset-name match,LCA-MTH-0014,Catena-X Guidance Product Carbon Footprint Calculation,Exact asset-name match,pilot verification ecosystem,Confirmed by TfS,TfS states that the framework's trusted-actor process was first piloted by Catena-X.,Pilot status and current implementation need checking.,Confirm live registry and scope.,
REL-0103,LCA-NET-0006,Plastic Footprint Network,Exact asset-name match,LCA-MTH-0016,Plastic Footprint Network Assessment Methodology,Exact asset-name match,governs/develops,Confirmed,PFN convenes and maintains the modular assessment method.,Module maturity varies.,Cite each module/version used.,
REL-0104,LCA-MTH-0016,Plastic Footprint Network Assessment Methodology,Exact asset-name match,LCA-NET-0005,Life Cycle Initiative,Exact asset-name match,related life-cycle pollution guidance,Related,Both apply life-cycle approaches to plastic pollution and hotspot assessment.,"Methods, metrics and governance differ.",Map complementary scopes without conflating them.,
REL-0105,LCA-MTH-0017,IPCC AR6 Global Warming Potential characterization factors,Exact asset-name match,LCA-MTH-0013,PACT Methodology,Exact asset-name match,characterization-factor input,Confirmed,PACT v3 requires reporting the IPCC characterization-factor assessment version and points to AR6 as latest.,Time horizon/report version must be explicit.,Validate gas list and values.,
REL-0106,LCA-MTH-0017,IPCC AR6 Global Warming Potential characterization factors,Exact asset-name match,LCA-MTH-0009,GHG Protocol Product Life Cycle Accounting and Reporting Standard,Exact asset-name match,characterization-factor input,Generally applicable,Product GHG accounting converts gases using IPCC GWP factors.,Programmes may transition factors on different schedules.,Record adoption date and version.,
REL-0107,LCA-MTH-0017,IPCC AR6 Global Warming Potential characterization factors,Exact asset-name match,LCA-MTH-0010,IMPACT World+,Exact asset-name match,method component,Confirmed for current release family,IMPACT World+ documents use of current IPCC climate characterization components.,Package-specific implementation requires version capture.,Audit exact factor table.,
REL-0108,LCA-MTH-0017,IPCC AR6 Global Warming Potential characterization factors,Exact asset-name match,LCA-MTH-0002,ReCiPe 2016,Exact asset-name match,successor input comparison,Related,ReCiPe 2016 predates AR6 and may implement earlier IPCC values depending on package.,Do not relabel older packages as AR6-compliant.,Record climate-method source per implementation.,
REL-0109,LCA-DB-0028,European Commission Environmental Footprint Data Node,Exact asset-name match,LCA-MTH-0003,Product Environmental Footprint method,Exact asset-name match,method implementation/data supply,Confirmed,The Commission node publishes representative products and background data for current PEFCR/OEFSR and EF frameworks.,Data stocks span EF generations and providers.,Record EF method/reference-package version for every dataset.,
REL-0110,LCA-DB-0028,European Commission Environmental Footprint Data Node,Exact asset-name match,,ILCD/eILCD format family,External or unresolved endpoint,native data representation/profile,Confirmed,"Node records expose ILCD-format metadata, UUIDs and EF compliance declarations.",EF profiles add requirements beyond base ILCD.,Validate against the applicable EF profile and reference package.,
REL-0111,LCA-DB-0028,European Commission Environmental Footprint Data Node,Exact asset-name match,LCA-SW-0013,soda4LCA,Exact asset-name match,node implementation pattern,Confirmed at interface level,"The public node uses the soda4LCA-style stock, browse, XML and ZIP service pattern.",Deployment customizations and software version were not captured on the landing page.,Record deployment build and API profile.,
REL-0112,LCA-REP-0004,International EPD System Data Hub,Exact asset-name match,LCA-SW-0013,soda4LCA,Exact asset-name match,platform implementation,Confirmed,The hub footer identifies soda4LCA 7.23.6.,Programme-specific configuration and update cadence can differ from upstream.,Capture node version with extraction date.,
REL-0113,LCA-REP-0004,International EPD System Data Hub,Exact asset-name match,LCA-FMT-0003,ILCD+EPD data format,Exact asset-name match,digital EPD representation,Documented,The hub is an ILCD-oriented digital EPD node and exposes programme data stocks through the soda4LCA ecosystem.,Exact profile versions and stock-specific rules require confirmation.,Validate exported records against their declared ILCD+EPD profile.,
REL-0114,LCA-DB-0029,ICE Database Educational,Exact asset-name match,LCA-STD-0004,EN 15804:2012+A2:2019+AC:2021,Exact asset-name match,contextual construction-LCA relationship,"Related, not conformance","ICE supplies embodied-carbon factors for building materials, while EN 15804 governs EPD rules.",ICE factors are literature-based and should not be treated as verified EN 15804 EPDs.,Keep generic factors separate from product declarations.,
REL-0115,LCA-DB-0030,ESU World Food LCA Database,Exact asset-name match,LCA-DB-0005,BAFU:2025 life cycle inventory database,Exact asset-name match,background-data dependency,Confirmed,ESU states that BAFU:2025+ESU is the current background data for the food database.,The added ESU component and licensed release must be identified.,Record exact background package and purchase date.,
REL-0116,LCA-DB-0030,ESU World Food LCA Database,Exact asset-name match,LCA-FMT-0006,EcoSpold 1,Exact asset-name match,native distribution format,Confirmed,ESU documents all food data electronically in EcoSpold v1.,EcoSpold v1 is a legacy format.,Use a tested converter and retain loss logs.,
REL-0117,LCA-DB-0030,ESU World Food LCA Database,Exact asset-name match,LCA-SW-0001,SimaPro desktop edition,Exact asset-name match,software distribution,Confirmed,ESU sells all system processes as a SimaPro background library.,Commercial licences and version compatibility apply.,Record SimaPro and database release pair.,
REL-0118,LCA-DB-0031,Carbonfact Open Source LCA Database for Footwear & Apparel,Exact asset-name match,LCA-MTH-0003,Product Environmental Footprint method,Exact asset-name match,LCIA implementation,Confirmed by provider,Every dataset is published with all 16 PEFCR environmental indicators.,Indicator package and underlying characterization version must be recorded.,Capture the exact PEF/EF method release used.,
REL-0119,LCA-DB-0031,Carbonfact Open Source LCA Database for Footwear & Apparel,Exact asset-name match,LCA-DB-0001,ecoinvent database,Exact asset-name match,background-data dependency,Confirmed by provider,Carbonfact states that energy mixes draw on ecoinvent.,Licence compatibility and the source ecoinvent release require clarification.,Document the background release and share-alike implications.,
REL-0120,LCA-DB-0031,Carbonfact Open Source LCA Database for Footwear & Apparel,Exact asset-name match,LCA-REP-0005,Textile Exchange Life Cycle Inventory Library,Exact asset-name match,sector data complement,Comparative,Both publish textile/apparel inventory data with transparency goals.,"Their scopes, schemas, QA and licences are not equivalent.",Develop a dataset-level crosswalk and provenance test.,
REL-0121,LCA-DB-0032,CEPE Life Cycle Inventory Database,Exact asset-name match,LCA-DB-0001,ecoinvent database,Exact asset-name match,licence/background dependency,Confirmed,CEPE requires users to hold a valid ecoinvent licence and documents ecoinvent validation in its access process.,"Membership, NDA and ecoinvent rights constrain reuse.",Record the applicable ecoinvent version and NDA scope.,
REL-0122,LCA-DB-0032,CEPE Life Cycle Inventory Database,Exact asset-name match,LCA-SW-0001,SimaPro desktop edition,Exact asset-name match,software distribution,Confirmed,CEPE distributes the database in SimaPro format.,Software and database releases must be compatible.,Capture package version and import validation.,
REL-0123,LCA-DB-0032,CEPE Life Cycle Inventory Database,Exact asset-name match,LCA-SW-0005,Sphera LCA for Experts,Exact asset-name match,software distribution,Confirmed,CEPE distributes a GaBi-format database for member use.,Current Sphera/GaBi compatibility and licence terms apply.,Capture the exact target software version.,
REL-0124,LCA-DB-0033,Open CEDA,Exact asset-name match,LCA-DB-0007,EXIOBASE 3,Exact asset-name match,peer global MR-EEIO model,Comparative,Both provide multiregional environmentally extended input-output data for supply-chain analysis.,"Coverage, classifications, base years and extensions differ.",Build explicit country-sector-price-year concordances.,
REL-0125,LCA-DB-0033,Open CEDA,Exact asset-name match,LCA-DB-0010,US Environmentally-Extended Input-Output models,Exact asset-name match,peer EEIO model,Comparative,Both support spend-based life-cycle and Scope 3 analysis.,One is global MR-EEIO and the other is US-specific with different classifications.,Do not mix factors without currency and sector harmonization.,
REL-0126,LCA-DB-0034,NEEDS Life Cycle Inventory Database,Exact asset-name match,LCA-REP-0001,openLCA Nexus,Exact asset-name match,distribution,Confirmed,The documented version is distributed as an openLCA database through Nexus.,Download requires registration and current package metadata are incomplete.,"Record package date, checksum and licence when lawfully obtained.",
REL-0127,LCA-DB-0034,NEEDS Life Cycle Inventory Database,Exact asset-name match,LCA-FMT-0006,EcoSpold 1,Exact asset-name match,original source format,Confirmed,GreenDelta documents conversion from 794 original EcoSpold 1 datasets.,Earlier imports collapsed scenarios because of non-unique identifiers.,Preserve scenario-specific reference functions and UUID mappings.,
REL-0128,LCA-DB-0034,NEEDS Life Cycle Inventory Database,Exact asset-name match,LCA-DB-0001,ecoinvent database,Exact asset-name match,legacy product-flow mapping,Confirmed for documented conversion,The conversion maps selected NEEDS intermediate flows to ecoinvent v2.2 product-flow identifiers.,This does not imply compatibility with current ecoinvent releases.,Treat the mapping as version-specific legacy provenance.,
REL-0129,LCA-SW-0015,2050 Materials Sustainability Data API,Exact asset-name match,,EPD repositories,External or unresolved endpoint,data aggregation,Confirmed at provider level,"The API aggregates EPDs, supplier declarations and factors.",Source validity and rights vary by record.,"Retain programme, declaration and validity identifiers.",
REL-0130,LCA-SW-0015,2050 Materials Sustainability Data API,Exact asset-name match,LCA-FMT-0009,LCAx exchange format,Exact asset-name match,potential schema integration,Documented ecosystem use,Construction tools use the API alongside project data workflows.,No formal mapping was verified.,Develop and test an explicit field mapping.,
REL-0131,LCA-SW-0016,Climatiq Carbon Intelligence Platform,Exact asset-name match,LCA-DB-0001,ecoinvent database,Exact asset-name match,licensed data source,Confirmed,Climatiq lists ecoinvent among its datasets.,ecoinvent rights limit downstream redistribution.,Record source dataset/version per factor.,
REL-0132,LCA-SW-0016,Climatiq Carbon Intelligence Platform,Exact asset-name match,LCA-DB-0007,EXIOBASE 3,Exact asset-name match,data source,Confirmed,Climatiq lists EXIOBASE among its trusted datasets.,Sector/currency/year transformations affect factors.,Preserve EXIOBASE release and calculation provenance.,
REL-0133,LCA-SW-0016,Climatiq Carbon Intelligence Platform,Exact asset-name match,,GHG Protocol Product Standard,External or unresolved endpoint,method alignment,Provider-stated,Climatiq states GHG Protocol-compliant factors and PCF workflows.,Compliance claim needs scope-specific evidence.,Capture certification and method version.,
REL-0134,LCA-SW-0017,Higg Index,Exact asset-name match,LCA-REP-0005,Textile Exchange Life Cycle Inventory Library,Exact asset-name match,peer sector ecosystem,Comparative,Both support apparel/footwear product and material assessment.,"Data models, licences and verification differ.",Build material/fibre-level concordances.,
REL-0135,LCA-SW-0018,Makersite,Exact asset-name match,LCA-FMT-0008,PACT Technical Specifications for PCF Data Exchange,Exact asset-name match,potential reporting interface,Potential,Makersite produces PCFs that could be exchanged through PACT-compatible structures.,Public conformance was not verified.,Test an exported PCF against the current schema.,
REL-0136,LCA-SW-0019,EOS — Environmental Operating System,Exact asset-name match,,Eaternity commercial products,External or unresolved endpoint,shared owner/data-method ecosystem,Confirmed,"Eaternity distinguishes open EOS research infrastructure from Gastro, Forecast and Score products.",Open and commercial components may use different data or terms.,Document shared versus product-specific releases.,
REL-0137,LCA-SW-0020,Matter PD,Exact asset-name match,LCA-DB-0001,ecoinvent database,Exact asset-name match,background dependency,Confirmed,Matter PD includes the ecoinvent cut-off inventory.,Licence and version constrain reproducibility.,Record the exact database release per model.,
REL-0138,LCA-SW-0020,Matter PD,Exact asset-name match,LCA-MTH-0002,ReCiPe 2016,Exact asset-name match,method implementation,Confirmed at family level,Matter PD lists ReCiPe endpoint/midpoint categories.,Exact factor package/version is not stated.,Capture method implementation metadata.,
REL-0139,LCA-SW-0021,PackageSmart,Exact asset-name match,LCA-SW-0022,PIQET,Exact asset-name match,peer packaging software,Comparative,Both are packaging-focused cloud LCA tools.,"Indicators, data and scenario rules differ.",Define a common packaging comparison test case.,
REL-0140,LCA-SW-0023,Real-Time LCA,Exact asset-name match,,Speckle,External or unresolved endpoint,design-data integration,Confirmed,Real-Time LCA documentation includes a Speckle connection in project setup.,Object/property mapping and versions are not public.,Publish an integration mapping and round-trip test.,
REL-0141,LCA-SW-0024,VoLCA,Exact asset-name match,,ILCD Data Format,External or unresolved endpoint,import/export support,Confirmed,VoLCA lists ILCD import and export.,Semantic loss may occur across formats.,Version conversion profiles and validate samples.,
REL-0142,LCA-SW-0024,VoLCA,Exact asset-name match,LCA-FMT-0001,ecoSpold2,Exact asset-name match,import/export support,Confirmed,VoLCA lists EcoSpold 2 import and export.,Database licences and reference lists remain external.,Capture schema and elementary-flow versions.,MAP-0010
REL-0143,LCA-SW-0024,VoLCA,Exact asset-name match,LCA-SW-0002,Brightway,Exact asset-name match,data exchange/integration,Confirmed,VoLCA lists Brightway Excel import/export and Python use.,Calculation conventions may differ.,Run comparative numerical tests.,
REL-0144,LCA-SW-0025,Capillar Sustainable Cloud,Exact asset-name match,LCA-STD-0002,ISO 14040:2006,Exact asset-name match,method implementation,Provider-stated,The public site presents product LCA aligned with ISO 14040.,No independent conformance assessment reviewed.,Capture critical-review and method templates.,
REL-0145,LCA-SW-0026,EcoSemantic,Exact asset-name match,LCA-DB-0001,ecoinvent database,Exact asset-name match,licensed data and activity access,Confirmed,Public docs state support for multiple ecoinvent releases and activities.,Account/licence and version selection affect results.,Return source version and activity UUID in every result.,
REL-0146,LCA-SW-0026,EcoSemantic,Exact asset-name match,LCA-SW-0002,Brightway,Exact asset-name match,calculation engine,Confirmed,EcoSemantic documents Brightway-based calculation structures.,Service abstraction can hide calculation defaults.,"Expose allocation, solver and method settings.",
REL-0147,LCA-SW-0027,LCA CARE Tool,Exact asset-name match,,BPMN,External or unresolved endpoint,workflow integration,Provider-stated,The project states integration with Business Process Model and Notation.,Implementation details and claimed version need verification.,Publish mapping and executable example.,
REL-0148,LCA-FMT-0012,IDTA Carbon Footprint Submodel Template,Exact asset-name match,,Asset Administration Shell,External or unresolved endpoint,native submodel,Confirmed,The Carbon Footprint template is an official AAS submodel.,AAS transport does not validate PCF calculation quality.,Pair with method and verification metadata.,
REL-0149,LCA-FMT-0012,IDTA Carbon Footprint Submodel Template,Exact asset-name match,,Catena-X PCF Data Model,External or unresolved endpoint,potential semantic mapping,Potential,Both represent product carbon-footprint information in industrial data ecosystems.,No current official crosswalk was confirmed.,Develop a versioned semantic crosswalk.,
REL-0150,LCA-PLT-0004,Digital Product Passport Vocabulary Hub,Exact asset-name match,LCA-NOM-0008,EUDPP Core Ontology Life Cycle Assessment Module,Exact asset-name match,hosts/publishes,Confirmed,The hub publishes graph/tree views and Turtle exports for the LCA module.,Hub status does not imply regulatory adoption.,Retain module version and licence in exports.,
REL-0151,LCA-NOM-0008,EUDPP Core Ontology Life Cycle Assessment Module,Exact asset-name match,LCA-FMT-0012,IDTA Carbon Footprint Submodel Template,Exact asset-name match,potential semantic mapping,Potential,Both convey lifecycle/carbon information within product/digital-twin ecosystems.,Model scopes and version semantics differ.,"Map product, boundary, unit, impact and provenance concepts.",
REL-0152,LCA-PLT-0005,GBDI Open Building Data Platform,Exact asset-name match,LCA-FMT-0013,open Building Data Format,Exact asset-name match,native exchange format,Confirmed,GBDI states that platform exchange uses openBDF.,Schema version and platform deployment may diverge.,Publish paired release identifiers.,
REL-0153,LCA-FMT-0013,open Building Data Format,Exact asset-name match,LCA-FMT-0009,LCAx exchange format,Exact asset-name match,schema dependency,Confirmed,GBDI states that openBDF utilizes the LCAx data schema.,openBDF-specific profile constraints are not fully public.,Define validation rules and supported LCAx versions.,
REL-0154,LCA-DB-0035,BATTERS Battery Recycling Inventory Database,Exact asset-name match,LCA-SW-0003,openLCA,Exact asset-name match,software distribution,Confirmed,BATTERS states compatibility with openLCA.,Exact package format/version was not disclosed.,"Capture package, checksum and import test.",
REL-0155,LCA-DB-0035,BATTERS Battery Recycling Inventory Database,Exact asset-name match,LCA-SW-0005,Sphera LCA for Experts,Exact asset-name match,software distribution,Confirmed,BATTERS states compatibility with LCA for Experts.,Commercial software/data rights apply.,Record compatible versions.,
REL-0156,LCA-DB-0036,BioEnergieDat,Exact asset-name match,,ILCD Data Format,External or unresolved endpoint,native exchange format,Confirmed,The project distributes ILCD ZIPs and documented ILCD-network import.,Legacy nodes and profiles may no longer interoperate reliably.,Archive packages and validate against current schemas.,
REL-0157,LCA-DB-0036,BioEnergieDat,Exact asset-name match,LCA-SW-0013,soda4LCA,Exact asset-name match,historical node infrastructure,Confirmed,Project documentation describes its soda4LCA/ILCD online database.,Historical endpoints may be unstable.,Preserve an offline archival snapshot.,
REL-0158,LCA-DB-0037,CPM LCA Database,Exact asset-name match,,SPINE,External or unresolved endpoint,native information model,Confirmed,The database is built on SPINE.,SPINE is a legacy model with limited modern tooling.,Maintain the published ILCD/ISO mappings.,
REL-0159,LCA-DB-0037,CPM LCA Database,Exact asset-name match,LCA-STD-0006,ISO/TS 14048:2002,Exact asset-name match,documentation mapping,Confirmed,CPM publishes ISO/TS 14048-compatible views and mappings.,Mapping may not cover newer data-model concepts.,Review semantic loss against current requirements.,
REL-0160,LCA-DB-0038,ERASM Surfactant Life Cycle and Ecofootprinting Inventory,Exact asset-name match,,ILCD Data Format,External or unresolved endpoint,distribution/method alignment,Confirmed historically,ERASM states ILCD entry-level compliance and node access.,The historical node may be unavailable.,Archive the full machine-readable collection.,
REL-0161,LCA-DB-0039,CODDE Database,Exact asset-name match,,EIME,External or unresolved endpoint,native software distribution,Confirmed,CODDE 2026-04 is integrated in EIME.,Data and technical note are licence restricted.,Pair database and EIME version identifiers.,
REL-0162,LCA-DB-0040,IDEMAT Database,Exact asset-name match,LCA-SW-0003,openLCA,Exact asset-name match,software distribution,Confirmed,IDEMAT provides an openLCA package under academic/commercial conditions.,Rights differ from the public Excel file.,Maintain a channel-specific licence matrix.,
REL-0163,LCA-DB-0041,POLARIIS+,Exact asset-name match,,Quebec consumption LCI datasets,External or unresolved endpoint,lineage,Confirmed,"POLARIIS+ builds on and expands public food, housing and hygiene datasets.",Predecessor and new records may differ methodologically.,Publish lineage and change logs.,
REL-0164,LCA-DB-0041,POLARIIS+,Exact asset-name match,LCA-MTH-0010,IMPACT World+,Exact asset-name match,likely LCIA ecosystem,Documented institutional relationship,Both are CIRAIG lifecycle assets used for regionalized impact work.,A formal current implementation link was not confirmed.,State the LCIA package used by each release.,
REL-0165,LCA-DB-0042,Evah Pigments and Dyes LCI Databases,Exact asset-name match,LCA-REP-0001,openLCA Nexus,Exact asset-name match,distribution,Confirmed,Evah lists openLCA/Nexus distribution for its LCI bundles.,Package versions and licences vary.,"Capture exact product, version and checksum.",
REL-0166,LCA-DB-0043,EuGeos 15804-IA Database,Exact asset-name match,,openLCA EN15804 add-on,External or unresolved endpoint,successor/benchmark,Confirmed,GreenDelta documents using EuGeos as the previous implementation and comparison benchmark.,Results differ because ecoinvent and method logic changed.,Keep versions separate in longitudinal studies.,
REL-0167,LCA-DB-0043,EuGeos 15804-IA Database,Exact asset-name match,LCA-DB-0001,ecoinvent database,Exact asset-name match,background dependency,Confirmed,EuGeos 15804-IA extends an ecoinvent cut-off database.,Requires compatible ecoinvent licence/version.,Record exact ecoinvent release.,
REL-0168,LCA-NOM-0007,IUPAC International Chemical Identifier,Exact asset-name match,LCA-NOM-0009,PubChem Chemical Identifier System and Identifier Exchange Service,Exact asset-name match,identifier support/mapping,Confirmed,PubChem accepts and returns InChI and InChIKey.,Standardization policies can alter record matches.,Record match operation and source identifiers.,
REL-0169,LCA-NOM-0010,SMILES Chemical Line Notation,Exact asset-name match,LCA-NOM-0009,PubChem Chemical Identifier System and Identifier Exchange Service,Exact asset-name match,identifier/representation conversion,Confirmed,PubChem accepts SMILES and converts it to identifiers/records.,Canonical/isomeric dialect behavior matters.,Record toolkit/dialect and preserve original strings.,
REL-0170,LCA-NOM-0007,IUPAC International Chemical Identifier,Exact asset-name match,,LCA elementary-flow nomenclatures,External or unresolved endpoint,potential chemical crosswalk,Potential,InChI could add structure-based identity to named chemical flows.,"Many LCA flows are mixtures, groups or compartment-specific emissions.","Use identifiers as annotations, not replacements for flow semantics.",
REL-0171,LCA-SW-0028,Brightway Firefly,Exact asset-name match,LCA-SW-0002,Brightway,Exact asset-name match,user interface and calculation engine,Confirmed,Firefly publicly identifies Brightway as its LCA framework and project-data foundation.,"Results depend on the installed project, databases and package versions.","Record Firefly, Brightway, database and LCIA versions together.",
REL-0172,LCA-SW-0028,Brightway Firefly,Exact asset-name match,LCA-SW-0019,EOS — Environmental Operating System,Exact asset-name match,shared maintainer ecosystem,Confirmed,Both are Eaternity open-source LCA resources and are presented within the same research/software ecosystem.,They are distinct projects with potentially different data and release cycles.,"Document shared data, services and licences at component level.",
REL-0173,LCA-SW-0029,Agent Net Zero,Exact asset-name match,,LCA databases,External or unresolved endpoint,automated database matching,"Demonstrated, source-level details pending",Public demonstrations show AI-assisted matching of inventory items to databases.,"Database identity, licence, version and match validation are not publicly specified.","Require source UUIDs, confidence scores and human approval for every match.",
REL-0174,LCA-NET-0007,Climate Farm Demo,Exact asset-name match,LCA-SW-0030,DECiDE,Exact asset-name match,tool discovery and field-use context,Documented project context,Climate Farm Demo publishes farm MRV/tool resources and DECiDE is one regional LCA-based farm tool relevant to this landscape.,No common calculation boundary or exchange format is confirmed.,Compare a common farm case with declared boundaries and factor versions.,
REL-0175,LCA-REP-0006,Cornerstone Sustainability Data Hub,Exact asset-name match,LCA-DB-0033,Open CEDA,Exact asset-name match,stewardship and distribution,Confirmed,Cornerstone lists CEDA as one of its maintained downloadable core datasets.,The enterprise CEDA service and public Open CEDA release have different terms.,"Preserve release, licence and distribution channel.",
REL-0176,LCA-REP-0006,Cornerstone Sustainability Data Hub,Exact asset-name match,LCA-DB-0010,US Environmentally-Extended Input-Output models,Exact asset-name match,stewardship and planned unification,Confirmed,Cornerstone states that it maintains USEEIO and is unifying it with CEDA into a global open MRIO.,The combined model is not yet a completed release.,Keep source-model identities and concordances in the combined release.,
REL-0177,LCA-DB-0044,DeforestationFootprint.earth dataset and dashboard,Exact asset-name match,,GLORIA MRIO,External or unresolved endpoint,hybrid trade-model input,Confirmed for version 2.1,The public changelog states that version 2.1 switched the hybrid MRIO framework from EXIOBASE to GLORIA.,MRIO aggregation reduces demand-side commodity resolution.,Record GLORIA version and concordance with every footprint release.,
REL-0178,LCA-NET-0008,Départ de Sentier,Exact asset-name match,LCA-PLT-0006,Sentier Platform,Exact asset-name match,ownership and governance,Confirmed,DdS publicly identifies Sentier as infrastructure it is developing and staffing.,Platform governance may evolve as contributors and funders join.,Publish a formal stewardship and release policy.,
REL-0179,LCA-NET-0008,Départ de Sentier,Exact asset-name match,LCA-SW-0002,Brightway,Exact asset-name match,ecosystem stewardship and community support,Confirmed,DdS states that the Brightway open-source ecosystem is at the core of its activities and organizes Brightcon/training.,Community support does not imply sole ownership of Brightway.,Distinguish project governance from community convening.,
REL-0180,LCA-PLT-0006,Sentier Platform,Exact asset-name match,LCA-SW-0002,Brightway,Exact asset-name match,intended technical ecosystem,Documented,DdS public materials place Sentier in the open-source LCA/Brightway ecosystem.,Stable import/export interfaces and version support are not yet published.,Define conformance tests and versioned integration profiles.,
REL-0181,LCA-DB-0045,FOODTURE European Food LCI Database,Exact asset-name match,LCA-DB-0004,AGRIBALYSE,Exact asset-name match,planned source integration,Confirmed project plan,FOODTURE reports integration of leading datasets including AGRIBALYSE in its emerging food LCI framework.,"Source licences, release versions and transformations must be retained.",Publish record-level lineage and change logs.,
REL-0182,LCA-DB-0045,FOODTURE European Food LCI Database,Exact asset-name match,LCA-DB-0001,ecoinvent database,Exact asset-name match,planned background-data integration,Confirmed project plan,FOODTURE identifies ecoinvent among leading datasets integrated into its infrastructure.,Open-access commitments must respect ecoinvent redistribution rights.,Separate licensed backgrounds from shareable foreground data.,
REL-0183,LCA-DB-0045,FOODTURE European Food LCI Database,Exact asset-name match,LCA-MTH-0003,Product Environmental Footprint method,Exact asset-name match,method alignment,Planned/confirmed objective,The project states that the database will align with PEF and cover whole food value chains.,Final method profile and reference package are not yet released.,Publish the applicable EF/PEF version with every dataset.,
REL-0184,LCA-NET-0009,Forum for Sustainability through Life Cycle Innovation,Exact asset-name match,,MarILCA,External or unresolved endpoint,research support,Confirmed,FSLCI lists administrative and communication support for the Marine Litter Impacts in LCA project.,Support does not imply ownership of the method outputs.,Record output-specific owners and licences.,
REL-0185,LCA-REP-0007,AssessCCUS,Exact asset-name match,LCA-SW-0031,ESTIMATe,Exact asset-name match,hosts and documents,Confirmed,AssessCCUS links and explains ESTIMATe within its LCA templates and videos resources.,The external Zenodo tool has its own version and licence.,"Cite the exact ESTIMATe release, not only the repository page.",
REL-0186,LCA-SW-0031,ESTIMATe,Exact asset-name match,LCA-DB-0001,ecoinvent database,Exact asset-name match,licensed background dependency,Confirmed,AssessCCUS states that ESTIMATe integrates ecoinvent impact data and therefore requires a licence.,Tool openness does not permit redistribution of licensed data.,Keep the workbook/tool separate from user-supplied ecoinvent data.,
REL-0187,LCA-MTH-0018,Green Carbon Cycle conceptual framework,Exact asset-name match,LCA-MTH-0017,IPCC AR6 Global Warming Potential characterization factors,Exact asset-name match,method comparison/context,Related,The framework evaluates biogenic-carbon accounting approaches used alongside climate characterization.,No standardized implementation or factor package is defined.,State temporal assumptions and selected GWP implementation explicitly.,
REL-0188,LCA-SW-0032,Green Gold Label GHG Tool,Exact asset-name match,,ISO 14065,External or unresolved endpoint,verification requirement,Confirmed,GGL requires independent verification by an approved certification body in line with ISO 14065.,Tool output alone is not certified or verified.,"Retain verifier identity, scope and applicable scheme version.",
REL-0189,LCA-NET-0010,GreenGrocer project,Exact asset-name match,LCA-PLT-0002,HESTIA Data Platform,Exact asset-name match,funded improvement and deployment,Confirmed project plan,"GreenGrocer states that it will strengthen HESTIA and deploy its farm sustainability toolkit to about 20,000 farms.",Future GreenGrocer outputs may not share HESTIA release/licence terms.,Track deliverable-to-platform version lineage.,
REL-0190,LCA-NET-0010,GreenGrocer project,Exact asset-name match,LCA-DB-0007,EXIOBASE 3,Exact asset-name match,funded improvement and PEF/FAIR alignment,Confirmed project plan,The project names EXIOBASE among major food-footprint databases to be strengthened and standardized.,Planned improvements are not current EXIOBASE releases.,Create separate records for released GreenGrocer-derived versions.,
REL-0191,LCA-NET-0010,GreenGrocer project,Exact asset-name match,,Trase,External or unresolved endpoint,funded improvement and supply-chain traceability,Confirmed project plan,GreenGrocer explicitly includes Trase in work on food supply-chain specificity and deforestation blind spots.,Trase is not a conventional process-LCI database.,Define mappings from trade/deforestation evidence to LCI processes.,
REL-0192,LCA-MTH-0019,2019 Refinement to the 2006 IPCC Guidelines — Volume 4 AFOLU,Exact asset-name match,LCA-SW-0030,DECiDE,Exact asset-name match,potential emission-factor/method source,Potential,DECiDE models agricultural GHG emissions while IPCC Volume 4 supplies authoritative AFOLU estimation guidance.,No public implementation crosswalk was confirmed.,"Document equations, tiers and parameters actually used by DECiDE.",
REL-0193,LCA-NET-0011,LIFE ECO FOOD CHOICE,Exact asset-name match,LCA-MTH-0003,Product Environmental Footprint method,Exact asset-name match,methodological foundation,Confirmed project basis,The project states that its harmonized food methods build on the European PEF framework.,Project beta rules may extend or deviate from generic PEF.,Publish a clause-level profile and versioned deviations.,
REL-0194,LCA-NET-0011,LIFE ECO FOOD CHOICE,Exact asset-name match,LCA-DB-0004,AGRIBALYSE,Exact asset-name match,database extrapolation and foundation,Confirmed,The project publishes a method for adapting national food LCA databases and cites AGRIBALYSE as a methodological foundation.,Country transfer can reduce representativeness.,Retain source-country data and explicit extrapolation parameters.,
